pair,leg,direction,entry_date,entry_px,exit_date,exit_px,units,R,reason,route,bars_held
EURUSD,leg1,short,2005-04-28,1.2893,2005-05-12,1.2737156626379125,9625.04831067829,0.7500000000000004,target,c1 flip,10
EURUSD,leg2,short,2005-04-28,1.2893,2005-06-03,1.2340005192731,9625.04831067829,2.661300867759169,stop,c1 flip,26
EURUSD,leg1,short,2006-03-09,1.1912,2006-03-13,1.19638,11937.105801832735,-0.3091710402674656,baseline cross,baseline cross,2
EURUSD,leg2,short,2006-03-09,1.1912,2006-03-13,1.19638,11937.105801832735,-0.3091710402674656,baseline cross,baseline cross,2
EURUSD,leg1,long,2006-06-02,1.29177,2006-06-07,1.279616315979962,8227.957863239455,-0.4999999999999979,stop,baseline cross,3
EURUSD,leg2,long,2006-06-02,1.29177,2006-06-07,1.279616315979962,8227.957863239455,-0.4999999999999979,stop,baseline cross,3
EURUSD,leg1,long,2006-09-04,1.2873,2006-09-06,1.2789061668659576,11913.508215267559,-0.5000000000000028,stop,c1 flip,2
EURUSD,leg2,long,2006-09-04,1.2873,2006-09-06,1.2789061668659576,11913.508215267559,-0.5000000000000028,stop,c1 flip,2
EURUSD,leg1,short,2007-06-08,1.33734,2007-06-13,1.32686015766127,14313.192427108297,0.7499999999999961,target,c1 flip,3
EURUSD,leg2,short,2007-06-08,1.33734,2007-06-15,1.33734,14313.192427108297,0.0,stop,c1 flip,5
EURUSD,leg1,short,2008-06-10,1.54672,2008-06-20,1.5625832441655092,6303.880779785688,-0.5000000000000014,stop,baseline cross,8
EURUSD,leg2,short,2008-06-10,1.54672,2008-06-20,1.5625832441655092,6303.880779785688,-0.5000000000000014,stop,baseline cross,8
EURUSD,leg1,short,2008-12-01,1.26102,2008-12-02,1.27144,3861.740762427099,-0.20119669372244942,baseline cross,baseline cross,1
EURUSD,leg2,short,2008-12-01,1.26102,2008-12-02,1.27144,3861.740762427099,-0.20119669372244942,baseline cross,baseline cross,1
EURUSD,leg1,long,2009-06-23,1.40774,2009-06-24,1.39291,5130.547370005312,-0.38043008748589124,baseline cross,baseline cross,1
EURUSD,leg2,long,2009-06-23,1.40774,2009-06-24,1.39291,5130.547370005312,-0.38043008748589124,baseline cross,baseline cross,1
EURUSD,leg1,long,2009-06-26,1.40555,2009-07-07,1.39239,5282.741038018144,-0.34760436030159547,exit indicator,baseline cross,7
EURUSD,leg2,long,2009-06-26,1.40555,2009-07-07,1.39239,5282.741038018144,-0.34760436030159547,exit indicator,baseline cross,7
EURUSD,leg1,long,2009-07-15,1.41065,2009-07-29,1.40498,6252.76952075806,-0.177266015913493,exit indicator,baseline cross,10
EURUSD,leg2,long,2009-07-15,1.41065,2009-07-29,1.40498,6252.76952075806,-0.177266015913493,exit indicator,baseline cross,10
