label,trades,expectancy_R,total_R,win_rate,avg_win_R,avg_loss_R,profit_factor,sharpe,sortino,max_dd_R,calmar,ulcer_R,both_touched,blocked_late,blocked_stale,bars,first
AUDCAD,70,0.21772454193589952,15.240717935512967,0.4714285714285714,0.9156897171726931,-0.4047849386807003,2.017605291582564,2.3423885833293143,12.480280617970346,4.10114500135536,3.7162104559766025,1.636138780689319,0,43,19,5888,2003-12-01
AUDCHF,94,-0.1528025575112872,-14.363440406060999,0.2765957446808511,0.5583487667747924,-0.4247133579736118,0.5026597095913836,-2.9591229446895295,-10.6191844800907,14.04546592748131,-1.02263894129404,9.226309876587548,0,55,20,5860,2003-12-01
AUDJPY,72,0.024215327330622285,1.7435035678048045,0.3472222222222222,0.8299614178742992,-0.4043730187032483,1.0917366364119725,0.32770576136581275,1.957475165420864,10.771028246160462,0.16186974242002472,6.238168790433013,1,58,15,5888,2003-12-01
AUDNZD,80,0.08427262353400378,6.741809882720302,0.4,0.7743173800815218,-0.3757572141643415,1.3737902221492515,1.1222450344541517,4.803588476953029,6.117355137197867,1.1020792044138987,2.6799930614714143,1,74,41,5888,2003-12-01
AUDUSD,64,-0.15187192748537942,-9.719803359064283,0.265625,0.6075246414919296,-0.42654728222185306,0.515166699195987,-2.4716430621454166,-11.905303423166108,11.232368106447813,-0.8653387484233837,5.7479353098582235,0,37,23,5247,2006-05-15
CADCHF,94,-0.09825755846322853,-9.236210495543482,0.26595744680851063,0.6833540992262986,-0.38145018806088327,0.6490809879940249,-1.8316541932315527,-7.121936723241582,11.877831402331438,-0.7776007406310342,6.752533600229357,0,70,22,5885,2003-12-01
CADJPY,86,-0.034351194204871864,-2.9542027016189802,0.3023255813953488,0.7384174596687407,-0.3692176108834372,0.8666458201280284,-0.5643071106940873,-2.2057397867565247,7.95551386279173,-0.37134027450268287,4.176346664168496,0,70,27,5699,2004-08-19
CHFJPY,72,0.09298294100082566,6.694771752059448,0.4027777777777778,0.7294783133406875,-0.33628137987954615,1.462982417827392,1.1468342541283043,4.694907628987665,6.259999316624099,1.069452473306309,3.3031648634925133,0,51,45,5887,2003-12-01
EURAUD,76,-0.12087862264839262,-9.186775321277839,0.2631578947368421,0.6630916497638989,-0.4008680056527824,0.5907641493079727,-1.9799894950027468,-9.510131222863729,11.970639865799026,-0.767442294168845,4.846564508260138,0,52,20,5885,2003-12-01
EURCAD,64,0.03379638720335654,2.1629687810148184,0.328125,0.8426825666290964,-0.36124104926037687,1.1392466323012687,0.3730063468407655,1.7382975073434879,3.8029981166992473,0.5687535766891553,2.1061275816315512,0,83,15,5872,2003-12-01
EURCHF,74,0.7811019732590491,57.80154602116963,0.35135135135135137,2.832225080146261,-0.3299230429715239,4.64993867841165,1.0053452275086785,46.3034696427882,8.850084623046447,6.531185687270041,3.0629894768542942,0,80,22,6091,2003-01-23
EURGBP,104,-0.020996620124099072,-2.1836484929063036,0.3076923076923077,0.8416015755309204,-0.40437359597077444,0.924998932688579,-0.32466935716276174,-1.5457037274888357,10.079406361941594,-0.21664455370620336,6.1046235948925816,1,71,46,7164,1999-01-04
EURJPY,96,-0.010019926493198994,-0.9619129433471034,0.3125,0.8804811585620106,-0.41479314697283975,0.9648633574543685,-0.13692366923963428,-0.8250886680090491,10.014573080154108,-0.0960513179791286,5.337849755450931,0,89,21,6093,2003-01-23
EURNZD,84,0.06163790258767951,5.177583817365079,0.39285714285714285,0.7085414203773182,-0.3569467265703219,1.2844156950151588,0.9412061493774211,3.71121411698745,6.819352014633891,0.759248650935502,2.950039636604492,0,77,19,5886,2003-12-01
EURUSD,94,0.024228173413548302,2.2774483008735404,0.3404255319148936,0.817114434192673,-0.3850034450530967,1.095409632258739,0.3549298676834445,1.7179798862087956,10.796304061677231,0.21094703223092937,5.5084591398749065,0,91,21,5869,2003-12-01
GBPAUD,62,0.25813308762482035,16.00425143273886,0.5645161290322581,0.7605960893198135,-0.3932078404983188,2.507472618839951,3.0212584222629233,19.744942955739397,5.00000000000001,3.200850286547766,2.234258876930047,0,63,22,6015,2003-06-02
GBPCAD,84,0.11324944957267295,9.512953764104529,0.39285714285714285,0.8433387057445891,-0.3591612455973905,1.5193447440808057,1.4447697442853586,6.29446731806068,5.790642267084085,1.642814963407304,2.075897232374921,0,53,9,5886,2003-12-01
GBPCHF,68,-0.07427269500046428,-5.050543260031571,0.25,0.8327442107098935,-0.37661166357058345,0.7370494077062513,-0.9470669633943668,-4.069194164711074,8.237984628121144,-0.613079956812624,4.962146762928625,0,29,8,5927,2003-09-30
GBPJPY,92,0.07594124255576379,6.986594315130269,0.34782608695652173,0.9711509632465076,-0.40150394181263294,1.2900176722046834,0.95203792510515,5.139305439264978,7.192754138032008,0.9713378465403593,2.8106160913215046,0,74,25,5885,2003-12-01
GBPNZD,92,0.07702400872512652,7.086208802711639,0.358695652173913,0.8375455068594734,-0.34835242243476244,1.344780820253253,1.1321052621991414,4.4174384678990295,6.284944428222535,1.1274894923320289,2.60774924029143,0,56,24,6013,2003-06-02
GBPUSD,70,-0.047439883697703474,-3.320791858839243,0.2714285714285714,0.9770439922060679,-0.42911034726969666,0.8482591569420512,-0.5393789180890691,-3.3932222835016654,10.397303370523968,-0.31938972447929,5.980096132070031,0,26,15,5881,2003-12-01
NZDCAD,78,-0.019368605874238807,-1.5107512581906268,0.2948717948717949,0.8534619125214293,-0.3843704590215183,0.9285371597903226,-0.2589075613573074,-1.296395691779202,6.46947859471644,-0.2335197861887112,3.452344552989994,0,46,21,5885,2003-12-01
NZDCHF,100,-0.0895167680333024,-8.95167680333024,0.26,0.7290320676865985,-0.3771150076105648,0.6792262227460085,-1.6305195087050786,-5.69939443809094,12.988844589395157,-0.6891819161989902,7.649604059334419,0,101,25,5858,2003-12-01
NZDJPY,60,-0.07053986853901567,-4.23239211234094,0.25,0.6738689554095406,-0.3186761431885344,0.7048628833304997,-1.0789851918098914,-3.4392132529660793,7.685301501585564,-0.5507125662497105,4.043359479989976,0,83,21,5885,2003-12-01
NZDUSD,84,0.028006790271136728,2.352570382775485,0.36904761904761907,0.7866352190172117,-0.4157192718256242,1.1067742667661193,0.39607189229847384,3.1646223528102926,6.24246563824075,0.3768655718925969,2.9095721934010905,0,96,15,5871,2003-12-01
USDCAD,106,-0.10361127762411533,-10.982795428156225,0.27358490566037735,0.7101359074281351,-0.41008749017626156,0.6521871301222437,-1.984189398197951,-7.6891844846296875,14.560650840158067,-0.7542791561120216,6.470049891303761,0,109,32,5937,2003-09-16
USDCHF,108,0.12564014832192272,13.569136018767654,0.4444444444444444,0.8196011784530256,-0.4295286757829596,1.5265126165726253,1.8112192013346913,11.185726206408582,4.999999999999993,2.7138272037535347,1.754307072419095,1,110,41,5935,2003-09-16
USDJPY,102,-0.0707461507809278,-7.216107379654636,0.3333333333333333,0.6456075363057189,-0.4289229943242511,0.7525914264900212,-1.2378538254435576,-5.193645397646049,13.244256693205294,-0.5448480459727663,8.81806720668272,0,133,32,7299,1998-05-29
