pair,entry_date,direction,status,ours_px,tv_px,rel_px,cause,route,reason
EURUSD,2008-12-01,short,matched,1.259906,1.2617,0.0014218910993105123,,baseline cross,baseline cross
EURUSD,2009-03-02,short,matched,1.256408,1.2559,0.00040449080340787714,,c1 flip,stop
EURUSD,2009-06-25,long,matched,1.405304,1.3994,0.00421895097899109,price gap > 0.40%,baseline cross,baseline cross
EURUSD,2009-07-03,long,matched,1.397702,1.3974,0.00021611564333764454,,baseline cross,exit indicator
EURUSD,2010-03-18,short,matched,1.361396,1.3607,0.0005115014330859337,,baseline cross,target
EURUSD,2012-07-05,short,matched,1.239157,1.23899,0.00013478720570789775,,c1 flip,target
EURUSD,2014-04-30,long,matched,1.386924,1.38651,0.00029859142739694375,,baseline cross,target
EURUSD,2014-07-04,short,matched,1.358843,1.35908,0.00017438267063016357,,baseline cross,baseline cross
EURUSD,2015-10-06,long,matched,1.126799,1.12684,3.6384934862054715e-05,,baseline cross,target
EURUSD,2016-09-26,long,matched,1.124986,1.12517,0.00016353084422794954,,c1 flip,stop
EURUSD,2016-10-06,short,matched,1.114455,1.11466,0.00018391258320923934,,c1 flip,target
EURUSD,2018-03-26,long,matched,1.245749,1.24569,4.736330868838254e-05,,baseline cross,stop
EURUSD,2020-04-22,short,matched,1.080964,1.08058,0.0003553647115437449,,c1 flip,stop
EURUSD,2020-05-06,short,matched,1.079855,1.07976,8.798251463284084e-05,,c1 flip,stop
EURUSD,2020-07-06,long,matched,1.131286,1.1312,7.602545968885299e-05,,baseline cross,target
EURUSD,2020-08-28,long,matched,1.191824,1.19058,0.001044868887433035,,baseline cross,stop
EURUSD,2021-08-06,short,matched,1.17495,1.17583,0.0007484075078880382,,baseline cross,exit indicator
EURUSD,2022-08-15,short,matched,1.016198,1.01612,7.676258709603443e-05,,baseline cross,target
EURUSD,2023-05-02,long,matched,1.101091,1.10104,4.631984305749405e-05,,baseline cross,baseline cross
EURUSD,2023-09-01,short,matched,1.077586,1.07727,0.00029333407595123133,,c1 flip,target
EURUSD,2025-05-20,long,matched,1.128796,1.12821,0.0005194068480158618,,baseline cross,exit indicator
EURUSD,2025-09-05,long,matched,1.171317,1.17199,0.0005742369815443354,,baseline cross,target
EURUSD,2004-04-01,short,ours only,1.2129,,,,baseline cross,target
EURUSD,2006-03-09,short,ours only,1.190405,,,,baseline cross,baseline cross
EURUSD,2006-07-24,short,ours only,1.2584,,,,c1 flip,stop
EURUSD,2006-09-01,long,ours only,1.285694,,,,c1 flip,stop
EURUSD,2008-06-09,short,ours only,1.546408,,,,baseline cross,stop
EURUSD,2008-07-09,long,ours only,1.578507,,,,c1 flip,exit indicator
EURUSD,2009-02-23,short,ours only,1.267813,,,,baseline cross,exit indicator
EURUSD,2009-04-24,short,ours only,1.301897,,,,baseline cross,stop
EURUSD,2009-06-22,long,ours only,1.407202,,,,baseline cross,baseline cross
EURUSD,2010-01-19,short,ours only,1.428102,,,,baseline cross,target
EURUSD,2010-11-03,long,ours only,1.403607,,,,baseline cross,stop
EURUSD,2011-01-06,short,ours only,1.315686,,,,baseline cross,target
EURUSD,2011-04-20,long,ours only,1.4514,,,,c1 flip,target
EURUSD,2012-03-21,long,ours only,1.323767,,,,baseline cross,exit indicator
EURUSD,2012-06-22,short,ours only,1.253761,,,,baseline cross,stop
EURUSD,2014-04-09,long,ours only,1.385502,,,,baseline cross,exit indicator
EURUSD,2014-10-30,short,ours only,1.26328,,,,baseline cross,target
EURUSD,2014-12-18,short,ours only,1.233898,,,,baseline cross,target
EURUSD,2015-02-27,short,ours only,1.120536,,,,c1 flip,target
EURUSD,2015-06-02,long,ours only,1.115001,,,,baseline cross,target
EURUSD,2015-08-04,short,ours only,1.088898,,,,c1 flip,baseline cross
EURUSD,2016-01-18,long,ours only,1.092001,,,,baseline cross,stop
EURUSD,2016-01-25,short,ours only,1.079902,,,,c1 flip,stop
EURUSD,2016-04-29,long,ours only,1.146303,,,,c1 flip,target
EURUSD,2018-03-07,long,ours only,1.241665,,,,baseline cross,stop
EURUSD,2018-04-10,long,ours only,1.236308,,,,baseline cross,stop
EURUSD,2018-08-01,short,ours only,1.166589,,,,baseline cross,target
EURUSD,2018-12-03,short,ours only,1.134224,,,,baseline cross,baseline cross
EURUSD,2018-12-28,long,ours only,1.143105,,,,baseline cross,stop
EURUSD,2019-01-08,long,ours only,1.147974,,,,c1 flip,stop
EURUSD,2019-03-27,short,ours only,1.127485,,,,baseline cross,exit indicator
EURUSD,2019-11-25,short,ours only,1.102256,,,,baseline cross,stop
EURUSD,2021-01-06,long,ours only,1.230027,,,,c1 flip,stop
EURUSD,2021-03-02,short,ours only,1.20511,,,,c1 flip,target
EURUSD,2021-11-01,short,ours only,1.155668,,,,baseline cross,baseline cross
EURUSD,2021-11-05,short,ours only,1.155535,,,,baseline cross,target
EURUSD,2022-01-05,short,ours only,1.128363,,,,c1 flip,baseline cross
EURUSD,2022-01-07,short,ours only,1.129688,,,,baseline cross,baseline cross
EURUSD,2022-11-08,long,ours only,1.001863,,,,c1 flip,target
EURUSD,2023-01-10,long,ours only,1.073318,,,,c1 flip,target
EURUSD,2025-02-03,short,ours only,1.024779,,,,baseline cross,stop
EURUSD,2025-05-29,long,ours only,1.137838,,,,baseline cross,target
EURUSD,2025-08-12,long,ours only,1.167706,,,,baseline cross,exit indicator
EURUSD,2026-01-23,long,ours only,1.175461,,,,baseline cross,target
EURUSD,2026-06-17,short,ours only,1.150735,,,,baseline cross,target
EURUSD,2001-06-28,short,tv only,,0.8444,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2001-06-28,short,tv only,,0.8444,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-01-14,long,tv only,,0.8945,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-01-14,long,tv only,,0.8945,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-01-15,short,tv only,,0.8836,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-01-15,short,tv only,,0.8836,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-08-15,long,tv only,,0.9827,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-08-15,long,tv only,,0.9827,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-10-09,long,tv only,,0.9902,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2002-10-09,long,tv only,,0.9902,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-20,long,tv only,,1.0823,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-20,long,tv only,,1.0823,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-24,long,tv only,,1.0789,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-24,long,tv only,,1.0789,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-26,long,tv only,,1.079,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-26,long,tv only,,1.079,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-28,long,tv only,,1.08,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-02-28,long,tv only,,1.08,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-08-06,short,tv only,,1.1337,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-08-06,short,tv only,,1.1337,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-08-08,short,tv only,,1.1308,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2003-08-08,short,tv only,,1.1308,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2004-04-02,short,tv only,,1.2137,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2004-04-02,short,tv only,,1.2137,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2004-05-18,short,tv only,,1.1955,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2004-05-18,short,tv only,,1.1955,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2005-04-27,short,tv only,,1.2926,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2005-04-27,short,tv only,,1.2926,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2006-01-03,long,tv only,,1.2016,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2006-01-03,long,tv only,,1.2016,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2006-09-04,long,tv only,,1.2863,,EXPECTED if a continuation entry past the bridge,,
EURUSD,2006-09-04,long,tv only,,1.2863,,EXPECTED if a continuation entry past the bridge,,
