area,claim,statistic,null,verdict,ref
nine-box scale axis,separates on realised_vol,"0.920 vs surrogate 0.513, corrected +0.407",iid,HOLDS (p=0.016),16.4e
nine-box scale axis,separates on avg_abs_move,"1.002 vs surrogate 0.895, corrected +0.107",iid,HOLDS (p=0.016),16.4e
nine-box scale axis,separates on realised_vol,"0.920 vs surrogate 0.906, corrected +0.014",sign (degenerate here),p=0.344,16.4e
nine-box scale axis,separates on avg_abs_move,"1.002 vs surrogate 0.976, corrected +0.026",sign (degenerate here),p=0.230,16.4e
shape separation,structural raw,"real 0.271 vs surrogate 0.231, corrected +0.041",sign,FAILS (p=0.040),16.4c
shape separation,structural M=5,"real 0.265 vs surrogate 0.215, corrected +0.050",sign,FAILS (p=0.025),16.4c
shape separation,product M=5,"real 0.337 vs surrogate 0.313, corrected +0.024",sign,FAILS (p=0.209),16.4c
shape separation,grid,"real 0.526 vs surrogate 0.515, corrected +0.011",sign,FAILS (p=0.393),16.4c
shape separation,structural raw,"real 0.271 vs surrogate 0.216, corrected +0.055",iid,FAILS (p=0.020),16.4c
shape separation,structural M=5,"real 0.265 vs surrogate 0.202, corrected +0.063",iid,FAILS (p=0.020),16.4c
shape separation,product M=5,"real 0.337 vs surrogate 0.286, corrected +0.051",iid,FAILS (p=0.065),16.4c
shape separation,grid,"real 0.526 vs surrogate 0.489, corrected +0.036",iid,FAILS (p=0.085),16.4c
"shape separation, EPISODE basis",structural M=5,"real 0.258 vs surrogate 0.220, corrected +0.038",sign,FAILS (p=0.082),16.4e
"shape separation, EPISODE basis",product M=5,"real 0.330 vs surrogate 0.295, corrected +0.035",sign,FAILS (p=0.148),16.4e
"shape separation, EPISODE basis",grid,"real 0.383 vs surrogate 0.408, corrected -0.025",sign,FAILS (p=0.918),16.4e
"shape separation, EPISODE basis",structural M=5,"real 0.258 vs surrogate 0.218, corrected +0.040",iid,FAILS (p=0.066),16.4e
"shape separation, EPISODE basis",product M=5,"real 0.330 vs surrogate 0.286, corrected +0.044",iid,FAILS (p=0.066),16.4e
"shape separation, EPISODE basis",grid,"real 0.383 vs surrogate 0.410, corrected -0.027",iid,FAILS (p=0.902),16.4e
"structural cell, IS-selected",N=3 B=2 D=0.25 R=0.75,"holdout 0.417 vs surrogate 0.426, corrected -0.008",sign,FAILS (p=0.587),16.4d
"structural cell, IS-selected",N=3 B=2 D=0.25 R=0.75,"holdout 0.417 vs surrogate 0.412, corrected +0.005",iid,FAILS (p=0.388),16.4d
excursion,structure: non-trending minus trending / bars_to_peak,"observed +0.1815, published t 1.15",block bootstrap 21/63/126,FAILS (p 0.324/0.293/0.280),16.4e
excursion,structure: non-trending minus trending / ratio,"observed +0.0245, published t --",block bootstrap 21/63/126,FAILS (p 0.633/0.657/0.644),16.4e
excursion,structure: non-trending minus trending / path_eff,"observed +0.0007, published t 0.19",block bootstrap 21/63/126,FAILS (p 0.850/0.951/0.958),16.4e
excursion,grid: strong chop minus strong trend / path_eff,"observed +0.0112, published t 1.65",block bootstrap 21/63/126,FAILS (p 0.401/0.406/0.390),16.4e
excursion,grid: strong chop minus strong trend / bars_to_peak,"observed +0.7359, published t 2.41",block bootstrap 21/63/126,HOLDS (p 0.044/0.036/0.016),16.4e
excursion,grid: strong chop minus strong trend / mfe,"observed -0.0010, published t -1.35",block bootstrap 21/63/126,FAILS (p 0.606/0.617/0.591),16.4e
excursion,grid: strong chop minus strong trend / ratio,"observed +0.0533, published t --",block bootstrap 21/63/126,FAILS (p 0.664/0.655/0.498),16.4e
excursion,tier: all differ minus all agree / ratio,"observed +0.0877, published t --",block bootstrap 21/63/126,FAILS (p 0.306/0.285/0.338),16.4e
excursion,tier: all differ minus all agree / bars_to_peak,"observed +0.0840, published t 0.37",block bootstrap 21/63/126,FAILS (p 0.798/0.750/0.737),16.4e
excursion,tier: all differ minus all agree / path_eff,"observed -0.0098, published t -1.87",block bootstrap 21/63/126,FAILS (p 0.100/0.096/0.074),16.4e
settling vs transitional,are they the same bars,"lift 0.999, Cramers V 0.0004",-,INDEPENDENT,16.4f
regime change counts,shape only,"3037 changes, 3.940% of bars, mean gap 25.4 bars",-,COUNT,16.4k
regime change counts,activity only,"3186 changes, 4.133% of bars, mean gap 24.2 bars",-,COUNT,16.4k
regime change counts,both,"130 changes, 0.169% of bars, mean gap 593.0 bars",-,COUNT,16.4k
regime change counts,split-join any,"6353 changes, 8.242% of bars, mean gap 12.1 bars",-,COUNT,16.4k
regime change counts,combined (shipped),"5151 changes, 6.682% of bars, mean gap 15.0 bars",-,COUNT,16.4k
"failed swings, IS-selected cell",X=0.97 Y=1.50 on both,"IS excess +0.320, holdout lift 2.632 vs surrogate 1.203, excess +1.430",sign,FAILS (p=0.085),16.4l
"failed swings, IS-selected cell",X=0.97 Y=1.50 on both,"IS excess +0.320, holdout lift 2.632 vs surrogate 1.172, excess +1.460",iid,FAILS (p=0.060),16.4l
"lead-time, IS-selected cell",rng fast=44 slow=92 on product M=5,"IS excess +0.246, holdout lift 0.920 vs surrogate 1.003, excess -0.083",sign,FAILS (p=0.706),16.4i
"lead-time, IS-selected cell",rng fast=44 slow=92 on product M=5,"IS excess +0.246, holdout lift 0.920 vs surrogate 1.006, excess -0.085",iid,FAILS (p=0.697),16.4i
