signal,batch,family,in_1999,in_2002,to_1999,si_1999,ao_1999,mo_1999,dec_1999,tsb_1999,to_2002,si_2002,ao_2002,mo_2002,dec_2002,tsb_2002,fails_in_other
cx1.5_x150_ch,trend-duration,cx1._x,True,False,-15.43,-0.02234,0.893,-0.975,1.082,5.0,-15.41,-0.01521,0.893,-0.981,1.759,5.0,effect >= 0.0221
cx1.5_x15_ph,trend-duration,cx1._x,False,True,-16.52,-0.01873,0.893,-0.95,1.452,5.0,-16.44,-0.03294,0.893,-0.962,0.92,5.0,effect >= 0.0221
cx2_m8_ph,trend-duration,cx_m,False,True,-14.13,-0.0173,0.893,-0.976,1.341,6.0,-13.58,-0.02516,0.893,-0.976,1.015,4.0,effect >= 0.0221
cx4_m375,trend-duration,cx_m,True,False,-21.75,-0.02353,0.929,-0.958,1.449,6.0,-22.13,-0.02098,0.929,-0.952,1.89,6.0,effect >= 0.0221
hz500_bu_5_pl,trend-duration,hz_bu,False,True,-14.61,-0.01422,0.893,-0.988,1.62,6.0,-14.21,-0.02218,0.929,-0.984,1.135,6.0,effect >= 0.0221
hz500_bu_8_pl,trend-duration,hz_bu,False,True,-15.06,-0.01618,0.893,-0.984,1.466,6.0,-14.52,-0.02374,0.893,-0.978,1.085,6.0,effect >= 0.0221
hz500_dd0.01_pl,trend-duration,hz_dd,False,True,-18.34,-0.01515,0.929,-0.954,1.928,5.0,-18.26,-0.02227,0.964,-0.95,1.474,5.0,effect >= 0.0221
hz500_fl_3_pl,trend-duration,hz_fl,False,True,-14.09,-0.01278,0.893,-0.978,1.75,6.0,-13.95,-0.02211,0.893,-0.978,1.132,6.0,effect >= 0.0221
hz500_hi_8_pl,trend-duration,hz_hi,False,True,-14.13,-0.01499,0.893,-0.987,1.487,6.0,-13.72,-0.02357,0.893,-0.977,1.033,6.0,effect >= 0.0221
hz500_md_5_pl,trend-duration,hz_md,False,True,-13.53,-0.01501,0.929,-0.989,1.435,6.0,-13.24,-0.02472,0.929,-0.988,0.963,6.0,effect >= 0.0221
hz500_sg1_v10_pl,trend-duration,hz_sg,False,True,-12.79,-0.0156,0.893,-0.974,1.301,6.0,-12.74,-0.02705,0.893,-0.976,0.844,6.0,effect >= 0.0221
hz500_sg1_v20_pl,trend-duration,hz_sg,False,True,-12.83,-0.01569,0.929,-0.978,1.299,6.0,-12.76,-0.02719,0.929,-0.979,0.843,6.0,effect >= 0.0221
hz500_sg1_v40_pl,trend-duration,hz_sg,False,True,-12.49,-0.01684,0.893,-0.964,1.179,6.0,-12.52,-0.02817,0.893,-0.972,0.797,6.0,effect >= 0.0221
hz500_sg1_v60_pl,trend-duration,hz_sg,False,True,-12.17,-0.01604,0.893,-0.953,1.207,6.0,-12.24,-0.02573,0.929,-0.958,0.856,6.0,effect >= 0.0221
hz500_su1_v10_pl,trend-duration,hz_su,False,True,-12.9,-0.01464,0.893,-0.99,1.401,6.0,-12.73,-0.0245,0.893,-0.987,0.935,6.0,effect >= 0.0221
hz750_mu_5_pl,trend-duration,hz_mu,False,True,-11.82,-0.01866,0.893,-0.991,1.044,6.0,-11.71,-0.02255,0.893,-0.989,0.967,6.0,effect >= 0.0221
hz750_sd1_v60_pl,trend-duration,hz_sd,False,True,-11.62,-0.0236,0.857,-0.963,0.811,6.0,-11.4,-0.02997,0.893,-0.968,0.707,5.0,agree >= 0.893
ps_coexmax_D375,regime-v5,ps_coexmax,False,True,-18.36,-0.01951,0.929,-0.959,1.484,,-18.68,-0.02583,0.929,-0.958,1.27,,effect >= 0.0221
ra_cx2.5_m10,trend-duration,cx2._m,True,False,-9.1,-0.02226,0.893,-0.978,0.669,5.0,-9.11,-0.02291,0.857,-0.982,0.747,5.0,agree >= 0.893
ra_cx2.5_m120,trend-duration,cx2._m,True,False,-14.39,-0.02404,0.964,-0.96,0.982,6.0,-14.27,-0.01276,0.964,-0.961,2.092,5.0,effect >= 0.0221
ra_cx2_m75_ch,trend-duration,cx_m,True,False,-12.4,-0.0225,0.929,-0.996,0.914,6.0,-10.93,-0.01063,0.893,-0.989,1.931,5.0,effect >= 0.0221
ra_cx2_x25_ch,trend-duration,cx_x,True,False,-13.86,-0.02383,0.893,-0.972,0.988,5.0,-13.87,-0.01546,0.893,-0.981,1.717,5.0,effect >= 0.0221
ra_ep750_fl_8_pl,trend-duration,ep_fl,True,False,13.56,0.02253,0.929,0.99,1.077,5.0,13.62,0.01834,0.964,0.993,1.564,5.0,effect >= 0.0221
ra_oc750_fl_8_pl,trend-duration,oc_fl,True,False,14.22,0.02267,0.893,0.978,1.125,5.0,14.3,0.01908,0.857,0.982,1.587,5.0,effect >= 0.0221;agree >= 0.893
rb_dts_60_750_ch,trend-duration,dts,True,False,-17.87,-0.0221,0.929,-0.953,1.461,5.0,-17.88,-0.01931,0.929,-0.961,1.98,5.0,effect >= 0.0221
rb_pdm_50_ch,trend-duration,pdm,True,False,16.14,0.02592,0.893,0.98,1.012,6.0,15.26,0.02524,0.857,0.983,1.115,6.0,agree >= 0.893
rb_xsctop_r20_pd,trend-nonmomentum,cross-sectional,False,True,-19.98,-0.02136,0.893,-0.996,1.525,6.0,-19.75,-0.02937,0.893,-0.993,1.254,6.0,effect >= 0.0221
rc_ats_120_750_ch,trend-duration,ats,True,False,-12.79,-0.02284,0.929,-0.958,0.998,5.0,-12.67,-0.02477,0.857,-0.964,1.079,5.0,agree >= 0.893
rc_ats_60_500_ch,trend-duration,ats,True,False,-10.51,-0.02244,0.893,-0.983,0.805,5.0,-10.43,-0.02191,0.893,-0.976,0.947,5.0,effect >= 0.0221
rc_cx1.5_x180_ch,trend-duration,cx1._x,True,True,-10.42,-0.02316,0.893,-0.959,0.746,6.0,-10.71,-0.0245,0.893,-0.959,0.821,5.0,
rc_cx3_s30,trend-duration,cx_s,True,False,-19.49,-0.02326,0.893,-0.989,1.275,6.0,-19.28,-0.01386,0.893,-0.995,2.407,6.0,effect >= 0.0221
rc_pvr_375_ch,trend-duration,pvr,False,True,-9.11,-0.0283,0.893,-0.965,0.555,6.0,-8.98,-0.02738,0.929,-0.952,0.641,5.0,decay >= 0.60
rc_xsctop_r10_pd,trend-nonmomentum,cross-sectional,False,True,-17.78,-0.01809,0.893,-0.958,1.579,6.0,-18.1,-0.02946,0.893,-0.959,1.1,6.0,effect >= 0.0221
