day,pair,dir,size,entry,stop
2016-01-04,EURCHF,1,3.0,0.0,0.0
2016-01-04,NZDJPY,-1,3.0,0.0,0.0
2016-01-04,USDJPY,-1,1.0,0.0,0.0
2016-01-05,AUDUSD,-1,1.0,0.0,0.0
2016-01-05,EURCHF,1,3.0,0.0,0.0
2016-01-05,NZDJPY,-1,3.0,0.0,0.0
2016-01-05,USDJPY,-1,1.0,0.0,0.0
2016-01-06,AUDCHF,-1,3.0,0.0,0.0
2016-01-06,AUDUSD,-1,1.0,0.0,0.0
2016-01-06,EURCHF,1,3.0,0.0,0.0
2016-01-06,NZDJPY,-1,3.0,0.0,0.0
2016-01-06,USDJPY,-1,1.0,0.0,0.0
2016-01-07,AUDCHF,-1,2.9551944897444553,0.0,0.0
2016-01-07,AUDUSD,-1,0.9850648299148184,0.0,0.0
2016-01-07,EURCHF,1,2.9551944897444553,0.0,0.0
2016-01-07,GBPCHF,-1,0.9850648299148184,0.0,0.0
2016-01-07,NZDCHF,-1,2.9551944897444553,0.0,0.0
2016-01-07,NZDJPY,-1,0.9850648299148184,0.0,0.0
2016-01-07,USDJPY,-1,0.9850648299148184,0.0,0.0
2016-01-08,EURCHF,1,3.0,0.0,0.0
2016-01-08,GBPCHF,-1,1.0,0.0,0.0
2016-01-08,NZDCHF,-1,3.0,0.0,0.0
2016-01-08,USDJPY,-1,1.0,0.0,0.0
2016-01-11,EURCHF,1,3.0,0.0,0.0
2016-01-11,GBPCHF,-1,1.0,0.0,0.0
2016-01-11,NZDCHF,-1,3.0,0.0,0.0
2016-01-11,NZDUSD,-1,1.0,0.0,0.0
2016-01-11,USDJPY,-1,1.0,0.0,0.0
2016-01-12,EURCHF,1,3.0,0.0,0.0
2016-01-12,GBPCHF,-1,1.0,0.0,0.0
2016-01-12,NZDCHF,-1,3.0,0.0,0.0
2016-01-12,NZDUSD,-1,1.0,0.0,0.0
2016-01-13,EURCHF,1,3.0,0.0,0.0
2016-01-13,GBPCHF,-1,1.0,0.0,0.0
2016-01-13,NZDCHF,-1,3.0,0.0,0.0
2016-01-13,NZDUSD,-1,3.0,0.0,0.0
2016-01-14,EURCHF,1,3.0,0.0,0.0
2016-01-14,EURUSD,-1,1.0,0.0,0.0
2016-01-14,GBPCHF,-1,1.0,0.0,0.0
2016-01-14,NZDCHF,-1,3.0,0.0,0.0
2016-01-14,NZDUSD,-1,3.0,0.0,0.0
2016-01-15,EURCHF,1,3.0,0.0,0.0
2016-01-15,GBPCHF,-1,1.0,0.0,0.0
2016-01-15,NZDCHF,-1,3.0,0.0,0.0
2016-01-15,NZDUSD,-1,3.0,0.0,0.0
2016-01-18,EURCHF,1,3.0,0.0,0.0
2016-01-18,EURUSD,1,1.0,0.0,0.0
2016-01-18,NZDUSD,-1,3.0,0.0,0.0
2016-01-19,EURCHF,1,3.0,0.0,0.0
2016-01-19,EURUSD,1,1.0,0.0,0.0
2016-01-19,NZDUSD,-1,3.0,0.0,0.0
2016-01-20,AUDNZD,1,1.0,0.0,0.0
2016-01-20,EURCHF,1,3.0,0.0,0.0
2016-01-20,EURUSD,1,1.0,0.0,0.0
2016-01-20,GBPAUD,-1,3.0,0.0,0.0
2016-01-20,NZDUSD,-1,3.0,0.0,0.0
2016-01-21,AUDNZD,1,0.7661615343781921,0.0,0.0
2016-01-21,EURCHF,1,2.2984846031345763,0.0,0.0
2016-01-21,EURUSD,1,0.7661615343781921,0.0,0.0
2016-01-21,GBPAUD,-1,2.2984846031345763,0.0,0.0
2016-01-21,GBPCAD,-1,4.5969692062691525,0.0,0.0
2016-01-21,NZDCAD,-1,2.2984846031345763,0.0,0.0
2016-01-21,NZDUSD,-1,2.2984846031345763,0.0,0.0
2016-01-22,AUDNZD,1,0.7661615343781921,0.0,0.0
2016-01-22,EURCHF,1,2.2984846031345763,0.0,0.0
2016-01-22,GBPAUD,-1,2.2984846031345763,0.0,0.0
2016-01-22,GBPCAD,-1,4.5969692062691525,0.0,0.0
2016-01-22,NZDCAD,-1,2.2984846031345763,0.0,0.0
2016-01-22,NZDUSD,-1,2.2984846031345763,0.0,0.0
2016-01-25,AUDNZD,1,0.7661615343781921,0.0,0.0
2016-01-25,EURCHF,1,2.2984846031345763,0.0,0.0
2016-01-25,GBPAUD,-1,2.2984846031345763,0.0,0.0
2016-01-25,GBPCAD,-1,4.5969692062691525,0.0,0.0
2016-01-25,NZDCAD,-1,2.2984846031345763,0.0,0.0
2016-01-25,NZDUSD,-1,2.2984846031345763,0.0,0.0
2016-01-26,AUDNZD,1,0.689545380940373,0.0,0.0
2016-01-26,EURCHF,1,0.689545380940373,0.0,0.0
2016-01-26,GBPAUD,-1,2.068636142821119,0.0,0.0
2016-01-26,GBPCAD,-1,4.137272285642238,0.0,0.0
2016-01-26,GBPNZD,1,2.068636142821119,0.0,0.0
2016-01-26,NZDCAD,-1,2.068636142821119,0.0,0.0
2016-01-26,NZDUSD,-1,2.068636142821119,0.0,0.0
2016-01-27,AUDNZD,1,0.689545380940373,0.0,0.0
