pair,day,level,size,dir,r,pnl,base_ccy,quote_ccy
EURCHF,2016-01-04,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
NZDJPY,2016-01-04,2,3.0,-1,0.6666666666666665,1.9999999999999996,NZD,JPY
USDJPY,2016-01-04,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
AUDUSD,2016-01-05,1,1.0,-1,0.6833333333333332,0.6833333333333332,AUD,USD
EURCHF,2016-01-05,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
NZDJPY,2016-01-05,2,3.0,-1,0.6666666666666665,1.9999999999999996,NZD,JPY
USDJPY,2016-01-05,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
AUDCHF,2016-01-06,2,3.0,-1,0.8375000000000001,2.5125,AUD,CHF
AUDUSD,2016-01-06,1,1.0,-1,0.6833333333333332,0.6833333333333332,AUD,USD
EURCHF,2016-01-06,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
NZDJPY,2016-01-06,2,3.0,-1,0.6666666666666665,1.9999999999999996,NZD,JPY
USDJPY,2016-01-06,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
AUDCHF,2016-01-07,2,2.9551944897444553,-1,0.8375000000000001,2.4749753851609815,AUD,CHF
AUDUSD,2016-01-07,1,0.9850648299148185,-1,0.6833333333333332,0.6731276337751259,AUD,USD
EURCHF,2016-01-07,2,2.9551944897444553,1,0.08477444327236264,0.25052496762964,EUR,CHF
GBPCHF,2016-01-07,1,0.9850648299148185,-1,0.2714285714285714,0.26737473954830787,GBP,CHF
NZDCHF,2016-01-07,2,2.9551944897444553,-1,0.22857142857142854,0.675473026227304,NZD,CHF
NZDJPY,2016-01-07,1,0.9850648299148185,-1,0.7499999999999999,0.7387986224361137,NZD,JPY
USDJPY,2016-01-07,1,0.9850648299148185,-1,0.4833333333333342,0.47611466779216316,USD,JPY
EURCHF,2016-01-08,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
GBPCHF,2016-01-08,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-08,2,3.0,-1,0.22857142857142854,0.6857142857142856,NZD,CHF
USDJPY,2016-01-08,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
EURCHF,2016-01-11,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
GBPCHF,2016-01-11,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-11,2,3.0,-1,0.22857142857142854,0.6857142857142856,NZD,CHF
NZDUSD,2016-01-11,1,1.0,-1,-0.05555555555555558,-0.05555555555555558,NZD,USD
USDJPY,2016-01-11,1,1.0,-1,0.4833333333333342,0.4833333333333342,USD,JPY
EURCHF,2016-01-12,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
GBPCHF,2016-01-12,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-12,2,3.0,-1,0.22857142857142854,0.6857142857142856,NZD,CHF
NZDUSD,2016-01-12,1,1.0,-1,-0.05555555555555558,-0.05555555555555558,NZD,USD
EURCHF,2016-01-13,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
GBPCHF,2016-01-13,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-13,2,3.0,-1,0.22857142857142854,0.6857142857142856,NZD,CHF
NZDUSD,2016-01-13,2,3.0,-1,-0.059027777777777894,-0.17708333333333368,NZD,USD
EURCHF,2016-01-14,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
EURUSD,2016-01-14,1,1.0,-1,-0.5000000000000021,-0.5000000000000021,EUR,USD
GBPCHF,2016-01-14,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-14,2,3.0,-1,0.22857142857142854,0.6857142857142856,NZD,CHF
NZDUSD,2016-01-14,2,3.0,-1,-0.059027777777777894,-0.17708333333333368,NZD,USD
EURCHF,2016-01-15,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
GBPCHF,2016-01-15,1,1.0,-1,0.2714285714285714,0.2714285714285714,GBP,CHF
NZDCHF,2016-01-15,2,3.0,-1,0.22857142857142854,0.6857142857142856,NZD,CHF
NZDUSD,2016-01-15,2,3.0,-1,-0.059027777777777894,-0.17708333333333368,NZD,USD
EURCHF,2016-01-18,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
EURUSD,2016-01-18,1,1.0,1,-0.1085077403956057,-0.1085077403956057,EUR,USD
NZDUSD,2016-01-18,2,3.0,-1,-0.059027777777777894,-0.17708333333333368,NZD,USD
EURCHF,2016-01-19,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
EURUSD,2016-01-19,1,1.0,1,-0.3333333333333322,-0.3333333333333322,EUR,USD
NZDUSD,2016-01-19,2,3.0,-1,-0.059027777777777894,-0.17708333333333368,NZD,USD
AUDNZD,2016-01-20,1,1.0,1,0.2928571428571417,0.2928571428571417,AUD,NZD
EURCHF,2016-01-20,2,3.0,1,0.08477444327236264,0.25432332981708794,EUR,CHF
EURUSD,2016-01-20,1,1.0,1,-0.3333333333333322,-0.3333333333333322,EUR,USD
GBPAUD,2016-01-20,2,3.0,-1,0.05468749999999982,0.16406249999999944,GBP,AUD
NZDUSD,2016-01-20,2,3.0,-1,-0.059027777777777894,-0.17708333333333368,NZD,USD
AUDNZD,2016-01-21,1,0.7661615343781921,1,0.2928571428571417,0.2243758779250411,AUD,NZD
EURCHF,2016-01-21,2,2.2984846031345763,1,0.08477444327236264,0.19485275260083113,EUR,CHF
EURUSD,2016-01-21,1,0.7661615343781921,1,-0.3333333333333322,-0.25538717812606315,EUR,USD
GBPAUD,2016-01-21,2,2.2984846031345763,-1,0.05468749999999982,0.12569837673392173,GBP,AUD
GBPCAD,2016-01-21,4,4.5969692062691525,-1,0.06823141544149272,0.3136577156846996,GBP,CAD
NZDCAD,2016-01-21,2,2.2984846031345763,-1,0.11389677682409154,0.26178998787682944,NZD,CAD
NZDUSD,2016-01-21,2,2.2984846031345763,-1,-0.059027777777777894,-0.1356744383794718,NZD,USD
AUDNZD,2016-01-22,1,0.7661615343781921,1,0.2928571428571417,0.2243758779250411,AUD,NZD
EURCHF,2016-01-22,2,2.2984846031345763,1,0.08477444327236264,0.19485275260083113,EUR,CHF
GBPAUD,2016-01-22,2,2.2984846031345763,-1,0.05468749999999982,0.12569837673392173,GBP,AUD
GBPCAD,2016-01-22,4,4.5969692062691525,-1,0.06823141544149272,0.3136577156846996,GBP,CAD
NZDCAD,2016-01-22,2,2.2984846031345763,-1,0.11389677682409154,0.26178998787682944,NZD,CAD
NZDUSD,2016-01-22,2,2.2984846031345763,-1,-0.059027777777777894,-0.1356744383794718,NZD,USD
AUDNZD,2016-01-25,1,0.7661615343781921,1,0.2928571428571417,0.2243758779250411,AUD,NZD
EURCHF,2016-01-25,2,2.2984846031345763,1,0.08477444327236264,0.19485275260083113,EUR,CHF
GBPAUD,2016-01-25,2,2.2984846031345763,-1,0.05468749999999982,0.12569837673392173,GBP,AUD
GBPCAD,2016-01-25,4,4.5969692062691525,-1,0.06823141544149272,0.3136577156846996,GBP,CAD
NZDCAD,2016-01-25,2,2.2984846031345763,-1,0.11389677682409154,0.26178998787682944,NZD,CAD
NZDUSD,2016-01-25,2,2.2984846031345763,-1,-0.059027777777777894,-0.1356744383794718,NZD,USD
AUDNZD,2016-01-26,1,0.689545380940373,1,0.2928571428571417,0.201938290132537,AUD,NZD
EURCHF,2016-01-26,1,0.689545380940373,1,0.08673638654472501,0.059808674701373854,EUR,CHF
GBPAUD,2016-01-26,2,2.068636142821119,-1,0.05468749999999982,0.11312853906052955,GBP,AUD
GBPCAD,2016-01-26,4,4.137272285642238,-1,0.06823141544149272,0.28229194411622965,GBP,CAD
GBPNZD,2016-01-26,2,2.068636142821119,1,-0.04906220058005232,-0.1014918413662355,GBP,NZD
NZDCAD,2016-01-26,2,2.068636142821119,-1,0.11389677682409154,0.23561098908914652,NZD,CAD
NZDUSD,2016-01-26,2,2.068636142821119,-1,-0.059027777777777894,-0.12210699454152461,NZD,USD
AUDNZD,2016-01-27,1,0.689545380940373,1,0.2928571428571417,0.201938290132537,AUD,NZD
EURCHF,2016-01-27,1,0.689545380940373,1,0.08673638654472501,0.059808674701373854,EUR,CHF
GBPAUD,2016-01-27,2,2.068636142821119,-1,0.05468749999999982,0.11312853906052955,GBP,AUD
GBPCAD,2016-01-27,4,4.137272285642238,-1,0.06823141544149272,0.28229194411622965,GBP,CAD
GBPNZD,2016-01-27,2,2.068636142821119,1,-0.04906220058005232,-0.1014918413662355,GBP,NZD
NZDCAD,2016-01-27,2,2.068636142821119,-1,0.11389677682409154,0.23561098908914652,NZD,CAD
NZDUSD,2016-01-27,2,2.068636142821119,-1,-0.059027777777777894,-0.12210699454152461,NZD,USD
AUDNZD,2016-01-28,1,0.7661615343781921,1,0.2928571428571417,0.2243758779250411,AUD,NZD
EURCHF,2016-01-28,1,0.7661615343781921,1,0.08673638654472501,0.0664540830015265,EUR,CHF
GBPAUD,2016-01-28,2,2.2984846031345763,-1,0.05468749999999982,0.12569837673392173,GBP,AUD
GBPCAD,2016-01-28,4,4.5969692062691525,-1,0.06823141544149272,0.3136577156846996,GBP,CAD
GBPNZD,2016-01-28,2,2.2984846031345763,1,-0.04906220058005232,-0.11276871262915054,GBP,NZD
NZDCAD,2016-01-28,1,0.7661615343781921,-1,0.05279355364818263,0.040448390068369006,NZD,CAD
NZDUSD,2016-01-28,2,2.2984846031345763,-1,-0.059027777777777894,-0.1356744383794718,NZD,USD
EURCHF,2016-01-29,1,0.7661615343781921,1,0.08673638654472501,0.0664540830015265,EUR,CHF
GBPAUD,2016-01-29,2,2.2984846031345763,-1,0.05468749999999982,0.12569837673392173,GBP,AUD
GBPCAD,2016-01-29,4,4.5969692062691525,-1,0.06823141544149272,0.3136577156846996,GBP,CAD
GBPNZD,2016-01-29,2,2.2984846031345763,1,-0.04906220058005232,-0.11276871262915054,GBP,NZD
NZDCAD,2016-01-29,1,0.7661615343781921,-1,0.05279355364818263,0.040448390068369006,NZD,CAD
NZDUSD,2016-01-29,2,2.2984846031345763,-1,-0.059027777777777894,-0.1356744383794718,NZD,USD
EURCHF,2016-02-01,1,0.9850648299148185,1,0.08673638654472501,0.08544096385910549,EUR,CHF
GBPAUD,2016-02-01,1,0.9850648299148185,-1,0.0,0.0,GBP,AUD
GBPCAD,2016-02-01,4,5.910388979488911,-1,0.06823141544149272,0.4032742058803281,GBP,CAD
NZDCAD,2016-02-01,1,0.9850648299148185,-1,0.05279355364818263,0.05200507294504587,NZD,CAD
NZDUSD,2016-02-01,2,2.9551944897444553,-1,-0.059027777777777894,-0.17443856363074944,NZD,USD
EURCHF,2016-02-02,1,0.9850648299148185,1,0.08673638654472501,0.08544096385910549,EUR,CHF
GBPAUD,2016-02-02,1,0.9850648299148185,-1,0.0,0.0,GBP,AUD
GBPCAD,2016-02-02,4,5.910388979488911,-1,0.06823141544149272,0.4032742058803281,GBP,CAD
GBPNZD,2016-02-02,2,2.9551944897444553,1,-0.25000000000000083,-0.7387986224361163,GBP,NZD
NZDCAD,2016-02-02,1,0.9850648299148185,-1,0.05279355364818263,0.05200507294504587,NZD,CAD
NZDUSD,2016-02-02,2,2.9551944897444553,-1,-0.059027777777777894,-0.17443856363074944,NZD,USD
AUDNZD,2016-02-03,1,0.9850648299148185,-1,0.013364998719805262,0.013165390190736736,AUD,NZD
EURCHF,2016-02-03,1,0.9850648299148185,1,0.08673638654472501,0.08544096385910549,EUR,CHF
GBPAUD,2016-02-03,1,0.9850648299148185,-1,0.0,0.0,GBP,AUD
GBPCAD,2016-02-03,4,5.910388979488911,-1,0.06823141544149272,0.4032742058803281,GBP,CAD
GBPNZD,2016-02-03,2,2.9551944897444553,1,-0.25000000000000083,-0.7387986224361163,GBP,NZD
NZDCAD,2016-02-03,1,0.9850648299148185,-1,0.05279355364818263,0.05200507294504587,NZD,CAD
NZDUSD,2016-02-03,2,2.9551944897444553,-1,-0.059027777777777894,-0.17443856363074944,NZD,USD
AUDCHF,2016-02-04,1,1.0,-1,0.47500000000000014,0.47500000000000014,AUD,CHF
AUDNZD,2016-02-04,1,1.0,-1,0.013364998719805262,0.013364998719805262,AUD,NZD
AUDUSD,2016-02-04,1,1.0,1,-0.49999999999999845,-0.49999999999999845,AUD,USD
EURCHF,2016-02-04,1,1.0,1,0.08673638654472501,0.08673638654472501,EUR,CHF
GBPCAD,2016-02-04,4,6.0,-1,0.06823141544149272,0.4093884926489563,GBP,CAD
USDJPY,2016-02-04,2,3.0,-1,0.4300000000000006,1.2900000000000018,USD,JPY
AUDCHF,2016-02-05,4,4.137272285642238,-1,0.30420419869923826,1.258575600454363,AUD,CHF
AUDNZD,2016-02-05,1,0.689545380940373,-1,0.013364998719805262,0.009215773133515716,AUD,NZD
EURCHF,2016-02-05,1,0.689545380940373,1,0.08673638654472501,0.059808674701373854,EUR,CHF
GBPAUD,2016-02-05,2,2.068636142821119,1,-0.07142857142857115,-0.1477597244872222,GBP,AUD
GBPCAD,2016-02-05,4,4.137272285642238,-1,0.06823141544149272,0.28229194411622965,GBP,CAD
GBPJPY,2016-02-05,2,2.068636142821119,-1,0.24041164888206185,0.49732422603265364,GBP,JPY
USDJPY,2016-02-05,2,2.068636142821119,-1,0.4300000000000006,0.8895135414130824,USD,JPY
AUDCHF,2016-02-08,4,3.761156623311125,-1,0.30420419869923826,1.1441596367766935,AUD,CHF
AUDNZD,2016-02-08,1,0.6268594372185209,-1,0.013364998719805262,0.008377975575923378,AUD,NZD
AUDUSD,2016-02-08,1,0.6268594372185209,-1,-0.1428571428571427,-0.08955134817407433,AUD,USD
EURJPY,2016-02-08,1,0.6268594372185209,-1,0.5610236220472443,0.3516829519828317,EUR,JPY
GBPAUD,2016-02-08,2,1.8805783116555626,1,-0.07142857142857115,-0.1343270222611111,GBP,AUD
GBPCAD,2016-02-08,4,3.761156623311125,-1,0.06823141544149272,0.25662904010566334,GBP,CAD
GBPJPY,2016-02-08,2,1.8805783116555626,-1,0.24041164888206185,0.45211293275695785,GBP,JPY
USDJPY,2016-02-08,2,1.8805783116555626,-1,0.4300000000000006,0.8086486740118931,USD,JPY
AUDCHF,2016-02-09,4,3.761156623311125,-1,0.30420419869923826,1.1441596367766935,AUD,CHF
AUDNZD,2016-02-09,1,0.6268594372185209,-1,0.013364998719805262,0.008377975575923378,AUD,NZD
AUDUSD,2016-02-09,1,0.6268594372185209,-1,-0.1428571428571427,-0.08955134817407433,AUD,USD
EURJPY,2016-02-09,1,0.6268594372185209,-1,0.5610236220472443,0.3516829519828317,EUR,JPY
GBPAUD,2016-02-09,2,1.8805783116555626,1,-0.07142857142857115,-0.1343270222611111,GBP,AUD
GBPCAD,2016-02-09,4,3.761156623311125,-1,0.06823141544149272,0.25662904010566334,GBP,CAD
GBPJPY,2016-02-09,2,1.8805783116555626,-1,0.24041164888206185,0.45211293275695785,GBP,JPY
USDJPY,2016-02-09,2,1.8805783116555626,-1,0.4300000000000006,0.8086486740118931,USD,JPY
AUDCHF,2016-02-10,2,1.5912585714008607,-1,0.12924173073181006,0.20565701180967477,AUD,CHF
AUDNZD,2016-02-10,1,0.5304195238002869,-1,0.013364998719805262,0.007089056256550551,AUD,NZD
AUDUSD,2016-02-10,1,0.5304195238002869,-1,-0.1428571428571427,-0.0757742176857552,AUD,USD
CHFJPY,2016-02-10,2,1.5912585714008607,-1,0.09013952287536833,0.14343528839741382,CHF,JPY
EURJPY,2016-02-10,3,3.1825171428017214,-1,0.38626713327500733,1.229301773348588,EUR,JPY
GBPAUD,2016-02-10,2,1.5912585714008607,1,-0.07142857142857115,-0.11366132652863246,GBP,AUD
GBPCAD,2016-02-10,4,3.1825171428017214,-1,0.06823141544149272,0.21714764932017666,GBP,CAD
GBPJPY,2016-02-10,1,0.5304195238002869,-1,0.18915663109745692,0.10033237019037965,GBP,JPY
NZDUSD,2016-02-10,1,0.5304195238002869,1,-0.19999999999999946,-0.1060839047600571,NZD,USD
USDJPY,2016-02-10,2,1.5912585714008607,-1,0.4300000000000006,0.684241185702371,USD,JPY
AUDCHF,2016-02-11,2,1.8805783116555626,-1,0.12924173073181006,0.2430491957750702,AUD,CHF
AUDNZD,2016-02-11,1,0.6268594372185209,-1,0.013364998719805262,0.008377975575923378,AUD,NZD
AUDUSD,2016-02-11,1,0.6268594372185209,-1,-0.1428571428571427,-0.08955134817407433,AUD,USD
CHFJPY,2016-02-11,2,1.8805783116555626,-1,0.09013952287536833,0.16951443174239816,CHF,JPY
EURJPY,2016-02-11,3,3.761156623311125,-1,0.38626713327500733,1.4528111866846949,EUR,JPY
GBPAUD,2016-02-11,2,1.8805783116555626,1,-0.07142857142857115,-0.1343270222611111,GBP,AUD
GBPCAD,2016-02-11,4,3.761156623311125,-1,0.06823141544149272,0.25662904010566334,GBP,CAD
GBPJPY,2016-02-11,1,0.6268594372185209,-1,0.18915663109745692,0.11857461931590321,GBP,JPY
NZDUSD,2016-02-11,1,0.6268594372185209,1,-0.19999999999999946,-0.12537188744370384,NZD,USD
USDJPY,2016-02-11,1,0.6268594372185209,-1,0.4500000000000008,0.2820867467483349,USD,JPY
AUDCHF,2016-02-12,1,0.9850648299148185,-1,-0.09151653853638039,-0.09014972346773248,AUD,CHF
AUDNZD,2016-02-12,1,0.9850648299148185,-1,0.013364998719805262,0.013165390190736736,AUD,NZD
AUDUSD,2016-02-12,1,0.9850648299148185,-1,-0.1428571428571427,-0.14072354713068821,AUD,USD
CHFJPY,2016-02-12,2,2.9551944897444553,-1,0.09013952287536833,0.2663798213094828,CHF,JPY
EURJPY,2016-02-12,2,2.9551944897444553,-1,0.29888888888888876,0.8832747974902868,EUR,JPY
GBPAUD,2016-02-12,2,2.9551944897444553,1,-0.07142857142857115,-0.2110853206960317,GBP,AUD
GBPCAD,2016-02-12,4,5.910388979488911,-1,0.06823141544149272,0.4032742058803281,GBP,CAD
GBPJPY,2016-02-12,1,0.9850648299148185,-1,0.18915663109745692,0.18633154463927648,GBP,JPY
NZDUSD,2016-02-12,1,0.9850648299148185,1,-0.19999999999999946,-0.19701296598296317,NZD,USD
AUDCHF,2016-02-15,1,1.0,-1,-0.09151653853638039,-0.09151653853638039,AUD,CHF
