ticker,detector,idx,date,label_full,label_trunc,PASS
USDCHF,markov_naive,4133,2015-06-11,A,A,True
GBPAUD,vol_regime,1435,2004-09-16,B,B,True
EURNZD,trend_sma200,2206,2007-10-08,A,A,True
USDCAD,markov_naive,6439,2024-09-04,B,B,True
AUDUSD,markov_naive,6772,2026-01-06,A,A,True
NZDCHF,markov_naive,4320,2016-03-11,A,A,True
AUDCAD,hmm_2state,2791,2010-02-04,A,A,True
USDCAD,markov_naive,1215,2003-10-31,A,A,True
GBPCHF,hmm_2state,4381,2016-06-07,A,A,True
EURGBP,hmm_2state,5388,2020-06-18,B,B,True
USDCHF,trend_sma200,1712,2005-10-21,A,A,True
USDJPY,trend_sma200,4307,2016-02-23,B,B,True
EURNZD,vol_regime,3961,2014-10-01,B,B,True
GBPCHF,vol_regime,1362,2004-06-03,A,A,True
EURGBP,trend_sma200,1247,2003-12-18,A,A,True
NZDUSD,markov_naive,4914,2018-07-24,A,A,True
GBPAUD,markov_naive,5585,2021-04-07,B,B,True
GBPCAD,vol_regime,6923,2026-08-12,B,B,True
USDCAD,hmm_2state,3378,2012-06-06,A,A,True
NZDCAD,hmm_2state,4933,2018-08-20,A,A,True
