classifier,null,prop,real,surrogate,sd,corrected,p
grid,sign,realised_vol,0.9203932662868471,0.9062474813630318,0.0318247513082981,0.014145784923815352,0.3442622950819672
grid,sign,avg_abs_move,1.0020105388160765,0.9758971609234482,0.025298485996549262,0.026113377892628242,0.22950819672131148
product M=5,sign,realised_vol,0.8458061762342736,0.8306786374438201,0.041795052499332457,0.015127538790453476,0.3114754098360656
product M=5,sign,avg_abs_move,0.9644993805988027,0.9316793662040184,0.041093290595999456,0.032820014394784325,0.21311475409836064
structural M=5,sign,realised_vol,0.20929484166539403,0.06384462592349455,0.03471800992085941,0.14545021574189948,0.01639344262295082
structural M=5,sign,avg_abs_move,0.23029364394052018,0.07362679682262163,0.04220980571538674,0.15666684711789855,0.01639344262295082
grid,iid,realised_vol,0.9203932662868471,0.5131091934369533,0.03857820769291215,0.4072840728498939,0.01639344262295082
grid,iid,avg_abs_move,1.0020105388160765,0.8953057283985584,0.0394138934502669,0.10670481041751811,0.01639344262295082
product M=5,iid,realised_vol,0.8458061762342736,0.4145414081437383,0.054515272602305986,0.43126476809053527,0.01639344262295082
product M=5,iid,avg_abs_move,0.9644993805988027,0.7436443111951528,0.0632107400921975,0.22085506940364985,0.01639344262295082
structural M=5,iid,realised_vol,0.20929484166539403,0.08983999819679028,0.03677693698721207,0.11945484346860374,0.01639344262295082
structural M=5,iid,avg_abs_move,0.23029364394052018,0.09791145393334125,0.04719249544309803,0.13238219000717893,0.01639344262295082
