family,fast,slow,state,lead,is_lift,is_surr,is_excess,is_z
mas,1,2,product M=5,1,0.7546598184134431,0.7213165165732427,0.0333433018402004,1.204356000758691
mas,1,2,structural M=5,1,0.6586700736207275,0.6448595643396556,0.013810509281071859,0.4770635207769356
mas,1,2,nine-box,1,0.9142135145216205,0.9512927775125661,-0.03707926299094566,-2.326410154006203
mas,1,2,product M=5,3,0.7614928793251855,0.7396095627014574,0.02188331662372811,1.6500140435715345
mas,1,2,structural M=5,3,0.6772071264385419,0.6546351417400768,0.02257198469846511,1.5212885258363695
mas,1,2,nine-box,3,0.963809373455864,0.9812230597658349,-0.017413686309970866,-2.216054020353665
mas,1,3,product M=5,1,0.7405588218375715,0.700827472346499,0.03973134949107249,1.3079605448862928
mas,1,3,structural M=5,1,0.6453798052546367,0.6104082818590327,0.03497152339560394,1.1466532417322475
mas,1,3,nine-box,1,0.9306971372619286,0.9439225047403624,-0.013225367478433836,-0.831658337415195
mas,1,3,product M=5,3,0.7441813090681478,0.7349704099073027,0.009210899160845165,0.6658108292291093
mas,1,3,structural M=5,3,0.6803706354121763,0.6491482754855653,0.031222359926611043,2.093393903972014
mas,1,3,nine-box,3,0.9760806155759786,0.9783622279465813,-0.002281612370602759,-0.21841440636521148
mas,1,4,product M=5,1,0.7998381158576158,0.7850708323979658,0.01476728345964995,0.453360488452
mas,1,4,structural M=5,1,0.7489781955902066,0.7041960882397287,0.04478210735047794,1.369317429433188
mas,1,4,nine-box,1,0.9293311040641656,0.9516092010665524,-0.02227809700238681,-1.1249788829330192
mas,1,4,product M=5,3,0.7928922868319277,0.7613719902900385,0.03152029654188915,2.0658807023557113
mas,1,4,structural M=5,3,0.7407292470843775,0.6787663125660011,0.06196293451837642,3.7499032510475603
mas,1,4,nine-box,3,0.9681143938910437,0.9809505311555979,-0.012836137264554237,-0.9929983642044826
mas,1,5,product M=5,1,0.7486600387804893,0.760960947036242,-0.012300908255752696,-0.39455086582878607
mas,1,5,structural M=5,1,0.697061841070165,0.6869350701450927,0.010126770925072304,0.2991619434874246
mas,1,5,nine-box,1,0.972531445706918,0.96047571558762,0.012055730119297947,0.6107665285995686
mas,1,5,product M=5,3,0.7637075061629262,0.76532829316813,-0.0016207870052038498,-0.10614321746537399
mas,1,5,structural M=5,3,0.6948645840076387,0.6819589241564772,0.012905659851161544,0.7092213240020089
mas,1,5,nine-box,3,0.9814735715370386,0.984120360601762,-0.002646789064723376,-0.221623861468528
mas,1,6,product M=5,1,0.7407203503714542,0.7259529261667037,0.014767424204750523,0.50772334261852
mas,1,6,structural M=5,1,0.6768382003514494,0.6340461845899424,0.04279201576150693,1.462087348059628
