sid,pnl,dd,rows,sortino,expectancy_R,profit_factor,calmar,gate3_composite,slice
A-chop|chop|adx_dmi_signals|chandelier_exit_signals|chaikin_volatility_volume_signals|alma_baseline,0.040280536,-0.00026897626,2010.0,11.641371262542073,0.16794373039792923,1.2919576168060303,2.5221596,3.9717803278688524,A-chop
A-chop|chop|adx_dmi_signals|chandelier_exit_signals|efficiency_ratio_volume_signals|vidya,0.00846863,-0.0005986122,812.0,19.999885450751396,0.2635612256939287,1.4121970534324646,2.341967,3.614139344262295,A-chop
A-chop|chop|adx_dmi_signals|dpo_signals|chaikin_volatility_volume_signals|alma_baseline,0.0076640816,-0.00011691192,717.0,64.54362548585314,0.10735458717630708,1.1943855285644531,0.69788945,2.3269803278688523,A-chop
A-chop|chop|adx_dmi_signals|dpo_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline,0.011515598,-0.0014773429,810.0,55.210809901767966,0.09178168350923147,1.144457995891571,0.72108656,2.2753016393442627,A-chop
A-chop|chop|adx_dmi_signals|dpo_signals|vertical_horizontal_filter_volume_signals|frama_baseline,0.012765439,0.0,461.0,53.74236493450998,0.2091367764330827,1.3115312457084656,1.6939609,3.8025360655737703,A-chop
A-chop|chop|adx_dmi_signals|dspo_signals|variance_volume_signals|alma_baseline,0.0077907606,-0.00051355857,672.0,-7.217864655470915,-0.09221628506978352,0.858807235956192,-0.4479999,0.043854098360655736,A-chop
A-chop|chop|adx_dmi_signals|glitch_index_signals|efficiency_ratio_volume_signals|alma_baseline,0.0054289526,-0.0006345926,327.0,5.161008623572016,0.07305970262917248,1.1150662899017334,0.507874,1.2889639344262296,A-chop
A-chop|chop|adx_dmi_signals|halftrend_signals|chaikin_volatility_volume_signals|alma_baseline,0.011488444,-0.0013810664,601.0,16.374604147108936,0.10790952170942503,1.1841989755630493,1.6079907,3.0644622950819675,A-chop
A-chop|chop|adx_dmi_signals|halftrend_signals|chaikin_volatility_volume_signals|vidya,0.0048350873,0.0,424.0,4.617133736896177,0.05125755080873576,1.0907022953033447,0.5288473,1.260516393442623,A-chop
A-chop|chop|adx_dmi_signals|halftrend_signals|volatility_ratio_volume_signals|vidya,0.008876469,0.0,503.0,14.199675623753123,0.17205462531437948,1.3067380785942078,1.8075441,2.5308590163934426,A-chop
A-chop|chop|adx_dmi_signals|hieken_ashi_smoothed_signals|damiani_volatmeter_volume_signals|alma_baseline,0.008236098,0.0,482.0,29.267438340651395,0.3018938877149356,1.5101225972175598,3.6428792,4.698390163934426,A-chop
