n,yardstick,seed,dipb,median_year_pct,max_dd_pct,worst_year_pct,profit_factor,budget
3375,sortino,-1,3.6,2.806377613260036,1.6820140208786647,0.9696985880185751,1.2835977992866225,team1
3375,expectancy_R,-1,3.6,4.71630253212684,1.6742881082051948,1.6848824659716692,1.4129561504760215,team1
3375,profit_factor,-1,3.6,0.43560027983620253,1.304052996029272,0.14849721402334753,1.1377817821561085,team1
3375,calmar,-1,3.6,4.8218768259912625,1.6135465566894887,2.1747441813232893,1.4058887138123448,team1
3375,gate3_composite,-1,3.6,2.1309748929233714,1.617273043220905,1.3307859433653444,1.277939467454847,team1
3375,random,20260924,3.6,4.915504490534179,2.0386939913546414,3.9673690288704084,1.4655129296600429,team1
3375,random,20260925,3.6,4.108769594846495,2.154894814975222,3.0389738269423203,1.4254310432398203,team1
3375,random,20260926,3.6,5.219436862961087,1.8326447558167391,2.841300660598995,1.4519682334803317,team1
3375,random,20260927,3.6,5.128054415468586,1.9454260441936526,3.549317467458386,1.4923109913402202,team1
3375,random,20260928,3.6,4.470824733487512,2.2191572235489474,3.209302874581719,1.414875304076471,team1
3375,random,20260929,3.6,4.723294908174089,1.7297917569818893,3.0123467192931455,1.4380423107167677,team1
3375,random,20260930,3.6,5.40255237395347,2.0746798622398934,3.043240881223362,1.468299179898045,team1
3375,random,20260931,3.6,4.807957525452602,2.0456538371910504,3.878001175081408,1.481345875388809,team1
3375,random,20260932,3.6,4.325558095869132,2.025839904462078,2.2225831221153127,1.4537391738909733,team1
3375,random,20260933,3.6,4.674971184625809,2.16695855147006,3.1086062655299593,1.4867242232171942,team1
3375,random,20260934,3.6,5.063155378142125,1.7983536294682025,3.3410783863701883,1.4722155887537012,team1
3375,random,20260935,3.6,5.266697370148733,2.077322295365942,3.0398330997805085,1.472281717440237,team1
3375,random,20260936,3.6,4.608571235369415,2.0114465359005926,3.182505818231929,1.4623092711669303,team1
3375,random,20260937,3.6,4.8725993358755595,1.922309678760488,3.31241648920037,1.4705363743735882,team1
3375,random,20260938,3.6,4.085496986433795,1.7117853472059963,3.3442984922480994,1.4687027651628914,team1
3375,random,20260939,3.6,4.255199300586402,1.8128208623883602,3.5115060862241045,1.4601690831228176,team1
3375,random,20260940,3.6,4.806346021255359,1.9227527993133418,2.711148302113458,1.44833052876064,team1
3375,random,20260941,3.6,4.789511840283294,1.8738764840180124,3.2010248730185187,1.4541387675776174,team1
3375,random,20260942,3.6,5.017056522676835,1.8594462995875745,3.625525120574126,1.481258301827394,team1
3375,random,20260943,3.6,5.364763999499621,2.1845113056146737,3.3545177260071375,1.4605318860617205,team1
3375,random,20260944,3.6,5.10062480334424,1.9977942660512547,3.641210059703876,1.4828329140252012,team1
3375,random,20260945,3.6,5.203100766493456,1.8597112833038167,3.131278839825998,1.4652290240684256,team1
3375,random,20260946,3.6,4.584632878287672,1.8895012029928004,3.7526352373520053,1.4526252419801258,team1
3375,random,20260947,3.6,4.79061355844697,1.840017863936069,3.3148776745648743,1.4499104314009659,team1
3375,random,20260948,3.6,4.748543945229297,2.19126111144805,3.6490730603582,1.4759523616258985,team1
5272,sortino,-1,3.6,5.090344556868082,1.92388591969927,2.695009606218296,1.45405812663025,team1
5272,expectancy_R,-1,3.6,6.121261876954023,2.405872819741333,4.042435344344891,1.5159980755215159,team1
5272,profit_factor,-1,3.6,5.189252335458408,1.7446062625071654,3.4999439250306197,1.4733277592768868,team1
5272,calmar,-1,3.6,5.815287456672093,2.154214931790218,3.980462509561691,1.493651559417187,team1
5272,gate3_composite,-1,3.6,5.690661277417861,2.1073703172322986,4.166279348557587,1.488567321593271,team1
5272,random,20260924,3.6,5.117601428316191,2.089248565769381,3.2392990781237554,1.4843715066434138,team1
5272,random,20260925,3.6,5.155844776054653,2.015982444974803,3.433866581627816,1.4871938739351465,team1
5272,random,20260926,3.6,5.306731139519339,1.9430708145018087,3.6127429837543366,1.4710566147207904,team1
5272,random,20260927,3.6,4.841222297438559,1.9029566983941528,2.5777040404302425,1.4312984613778057,team1
5272,random,20260928,3.6,5.113531805038625,1.9629466042947747,3.926178479926401,1.477525665250525,team1
5272,random,20260929,3.6,5.330343011239305,1.8543145633754783,2.662696758331703,1.448379106720808,team1
5272,random,20260930,3.6,5.667676658145149,1.7924011711340206,3.5949959391305457,1.4922521994013311,team1
5272,random,20260931,3.6,4.487151078563272,2.0807264019931644,3.637211808805019,1.4657673587531206,team1
5272,random,20260932,3.6,5.216866385034381,1.9424264699735296,2.8211627009766804,1.4780211387701676,team1
5272,random,20260933,3.6,5.137444517066692,1.9908061120330203,3.7594588576531853,1.4981268060274315,team1
5272,random,20260934,3.6,5.595652448273375,1.8822218363612677,3.517257939364061,1.4980942369819163,team1
5272,random,20260935,3.6,5.103707311310789,1.6992815811156419,3.27819468052307,1.4846385811003624,team1
5272,random,20260936,3.6,4.946770547811847,1.8382376470063981,2.998791469993145,1.482247502011479,team1
5272,random,20260937,3.6,5.202338729820781,1.9984222761010848,3.530855436075859,1.4860629245101191,team1
5272,random,20260938,3.6,5.26436501106958,1.814029000111283,3.598249642255288,1.4648820623160104,team1
5272,random,20260939,3.6,5.4254822589667215,1.961968449395286,3.5112973202166122,1.485532078401931,team1
5272,random,20260940,3.6,5.338792663958324,1.9838049323176428,3.3954509997737303,1.469968032621528,team1
5272,random,20260941,3.6,5.054161430988572,2.0007643621900684,3.6931569501624835,1.4924427484480443,team1
5272,random,20260942,3.6,4.847550056587159,1.9885404304567693,3.229499496567524,1.481362953262322,team1
5272,random,20260943,3.6,5.037023198843942,1.8629018245476168,3.929727417585107,1.486159981367443,team1
5272,random,20260944,3.6,5.2129286043352705,1.769612793601869,3.003336430757528,1.466879258464309,team1
5272,random,20260945,3.6,5.428771864512079,2.046869857584916,3.4245735362376033,1.4739485849457694,team1
5272,random,20260946,3.6,4.913567849473156,1.9907137769873113,2.6719859798543326,1.4297192121302305,team1
5272,random,20260947,3.6,4.976214215711467,2.1707960522949037,3.412937325393773,1.4851033705728434,team1
5272,random,20260948,3.6,4.593244194395727,1.936642831690932,3.0992286719333855,1.4676884099363845,team1
3375,sortino,-1,5.4,4.209566419890055,2.5230210313179953,1.454547882027863,1.2835977992866228,team2
3375,expectancy_R,-1,5.4,7.074453798190261,2.5114321623077807,2.527323698957504,1.4129561504760213,team2
3375,profit_factor,-1,5.4,0.6534004197543036,1.956079494043907,0.22274582103502136,1.1377817821561085,team2
