,strong trend,medium trend,weak trend,strong transitional,medium transitional,weak transitional,strong chop,medium chop,weak chop
EURGBP,0.09026162790697674,0.09781976744186047,0.1068313953488372,0.09520348837209303,0.13313953488372093,0.12892441860465118,0.10421511627906976,0.1373546511627907,0.10625
EURAUD,0.11031976744186046,0.10261627906976745,0.07776162790697674,0.10566860465116279,0.15290697674418605,0.11148255813953488,0.0938953488372093,0.1433139534883721,0.10203488372093024
EURNZD,0.1129360465116279,0.09593023255813954,0.09316860465116279,0.10290697674418604,0.12718023255813954,0.12034883720930233,0.09520348837209303,0.14651162790697675,0.1058139534883721
EURUSD,0.08982558139534884,0.09593023255813954,0.08909883720930233,0.1001453488372093,0.14026162790697674,0.12761627906976744,0.10610465116279069,0.13372093023255813,0.11729651162790698
EURCAD,0.09200581395348838,0.10421511627906976,0.08212209302325581,0.1001453488372093,0.13023255813953488,0.11017441860465116,0.12645348837209303,0.12441860465116279,0.13023255813953488
EURCHF,0.11555232558139535,0.11497093023255814,0.08284883720930232,0.10872093023255813,0.14040697674418604,0.10523255813953489,0.09273255813953489,0.13517441860465115,0.10436046511627907
EURJPY,0.09447674418604651,0.10450581395348837,0.08633720930232558,0.10770348837209302,0.14665697674418604,0.11555232558139535,0.09200581395348838,0.12892441860465118,0.12383720930232558
GBPAUD,0.10552325581395348,0.11787790697674419,0.08938953488372094,0.12063953488372094,0.12267441860465116,0.11598837209302326,0.08909883720930233,0.12703488372093022,0.11177325581395349
GBPNZD,0.10799418604651163,0.09447674418604651,0.09927325581395349,0.1188953488372093,0.1251453488372093,0.10944767441860465,0.09752906976744186,0.1296511627906977,0.11758720930232558
GBPUSD,0.10523255813953489,0.1002906976744186,0.09011627906976744,0.10290697674418604,0.14927325581395348,0.11686046511627907,0.09215116279069767,0.12005813953488371,0.12311046511627907
GBPCAD,0.10668604651162791,0.09796511627906977,0.09447674418604651,0.10566860465116279,0.13517441860465115,0.12180232558139535,0.09665697674418605,0.11409883720930232,0.12747093023255815
GBPCHF,0.09694767441860465,0.13226744186046513,0.09462209302325582,0.09651162790697675,0.13241279069767442,0.11947674418604651,0.10232558139534884,0.11002906976744187,0.11540697674418604
GBPJPY,0.1129360465116279,0.10799418604651163,0.09026162790697674,0.09491279069767442,0.13459302325581396,0.11540697674418604,0.09622093023255814,0.1444767441860465,0.10319767441860465
AUDNZD,0.10494186046511628,0.11322674418604652,0.08851744186046512,0.11700581395348837,0.11613372093023255,0.11831395348837209,0.08430232558139535,0.13444767441860464,0.12311046511627907
AUDUSD,0.09636627906976744,0.1125,0.0816860465116279,0.09781976744186047,0.14069767441860465,0.1127906976744186,0.09941860465116278,0.13924418604651162,0.11947674418604651
AUDCAD,0.09171511627906977,0.11468023255813954,0.09665697674418605,0.09752906976744186,0.14098837209302326,0.10450581395348837,0.09854651162790698,0.1380813953488372,0.11729651162790698
AUDCHF,0.10959302325581395,0.10886627906976744,0.08502906976744186,0.1184593023255814,0.1252906976744186,0.11656976744186047,0.10363372093023256,0.1318313953488372,0.10072674418604652
AUDJPY,0.10392441860465117,0.11962209302325581,0.07223837209302325,0.10813953488372093,0.1385174418604651,0.10799418604651163,0.09491279069767442,0.14723837209302326,0.10741279069767441
NZDUSD,0.09607558139534884,0.11061046511627907,0.09941860465116278,0.10610465116279069,0.12732558139534883,0.10363372093023256,0.10174418604651163,0.1498546511627907,0.10523255813953489
NZDCAD,0.09011627906976744,0.11104651162790698,0.0936046511627907,0.10755813953488372,0.12558139534883722,0.12630813953488373,0.10450581395348837,0.1377906976744186,0.10348837209302325
NZDCHF,0.10450581395348837,0.09941860465116278,0.09127906976744186,0.11976744186046512,0.1313953488372093,0.11438953488372093,0.10218023255813953,0.14098837209302326,0.09607558139534884
NZDJPY,0.11337209302325581,0.10261627906976745,0.07398255813953489,0.11351744186046511,0.1373546511627907,0.09636627906976744,0.10465116279069768,0.14200581395348838,0.11613372093023255
USDCAD,0.08372093023255814,0.13401162790697674,0.09040697674418605,0.09840116279069767,0.12936046511627908,0.1325581395348837,0.10159883720930232,0.11526162790697675,0.11468023255813954
USDCHF,0.08415697674418604,0.11090116279069767,0.09447674418604651,0.11090116279069767,0.13357558139534884,0.1184593023255814,0.09258720930232558,0.13997093023255813,0.11497093023255814
USDJPY,0.11526162790697675,0.08023255813953488,0.10537790697674419,0.09956395348837209,0.14084302325581396,0.12325581395348838,0.08343023255813954,0.1486918604651163,0.10334302325581396
CADCHF,0.0872093023255814,0.10348837209302325,0.08866279069767442,0.10857558139534884,0.14069767441860465,0.12034883720930233,0.09738372093023256,0.12267441860465116,0.1309593023255814
CADJPY,0.11802325581395348,0.10043604651162791,0.07311046511627907,0.09854651162790698,0.13415697674418606,0.12747093023255815,0.08270348837209303,0.1376453488372093,0.12790697674418605
CHFJPY,0.10363372093023256,0.10654069767441861,0.09622093023255814,0.10872093023255813,0.14113372093023255,0.11031976744186046,0.09927325581395349,0.12151162790697674,0.11264534883720931
