,strong trend,medium trend,weak trend,strong transitional,medium transitional,weak transitional,strong chop,medium chop,weak chop
EURGBP,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0
EURAUD,6.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0
EURNZD,6.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,3.0
EURUSD,7.0,6.0,5.0,4.0,3.0,3.0,5.0,4.0,5.0
EURCAD,6.0,4.0,4.5,3.0,3.0,3.0,4.0,4.0,4.0
EURCHF,6.0,5.0,5.0,3.0,3.0,2.0,4.0,4.0,4.0
EURJPY,6.0,4.0,6.0,3.0,3.0,3.0,5.0,4.0,4.0
GBPAUD,6.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0
GBPNZD,5.0,3.0,5.5,4.0,3.0,3.0,4.0,4.0,4.0
GBPUSD,6.0,4.0,6.0,3.0,3.0,3.0,4.0,4.0,5.0
GBPCAD,6.0,5.0,5.0,3.0,3.0,3.0,4.0,3.0,4.0
GBPCHF,5.0,5.0,5.0,3.0,2.0,3.0,4.0,4.0,3.0
GBPJPY,7.0,4.0,6.0,3.5,3.0,2.0,5.0,4.0,4.0
AUDNZD,6.0,5.0,6.0,4.0,3.0,3.0,4.0,4.0,4.0
AUDUSD,6.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,5.0
AUDCAD,5.0,4.0,4.0,3.0,3.0,3.0,5.0,4.0,4.0
AUDCHF,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0
AUDJPY,6.0,5.0,4.5,3.0,3.0,3.0,5.0,4.0,4.5
NZDUSD,7.0,5.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0
NZDCAD,5.0,4.0,5.0,3.0,3.0,3.0,4.0,4.0,3.0
NZDCHF,5.0,3.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0
NZDJPY,8.0,5.0,5.0,3.0,3.0,3.0,4.0,4.0,4.0
USDCAD,5.0,5.0,5.0,4.0,3.0,3.0,4.5,4.0,4.5
USDCHF,5.0,4.0,4.0,3.0,3.0,3.0,5.0,3.0,4.0
USDJPY,7.0,4.0,5.0,3.0,3.0,3.0,5.0,4.0,4.0
CADCHF,6.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
CADJPY,8.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0
CHFJPY,5.5,4.0,6.0,3.0,2.0,3.0,4.0,3.0,4.0
