sleeve,cell,net,retdd,pf,trades,win,avg,expo,retexp,sharpe,data_pct,imp_retexp,imp_retdd,imp_pf,imp_win,imp_avg
mean_reversion,BASELINE,378563.24991834443,8.781608397865032,1.0425674704561383,2108,0.4939952318352978,179.58408440149165,0.6030581532838869,627739.2119763573,0.18479272578281908,1.0,0.0,0.0,0.0,0.0,0.0
mean_reversion,chop|down,6698.948749727676,0.1776936833242939,1.004471105366796,337,0.48957282206525393,19.878186200972333,0.7408422626463992,9042.341517879975,0.02185269858010234,0.10784155648715468,-0.985595385240614,-0.9797652462654228,-0.03654091094236278,-0.00895233290737174,-0.8893098669226658
mean_reversion,mid|down,112062.59654022328,6.540897455897923,1.0980259217743162,363,0.5014019462312387,308.7123871631495,0.7715994401323324,145234.15999498923,0.46508919361090706,0.10559765666989143,-0.7686393374443857,-0.2551595152559828,0.05319411250565298,0.014993493699166471,0.7190409060580722
mean_reversion,trend|down,131222.23178433572,10.426425000573554,1.1432770416500284,401,0.5070318282753515,327.2374857464731,0.6648216482164822,197379.60118531904,0.6486212405336788,0.10923895517574976,-0.6855706997115978,0.18730243119340262,0.0965976534351567,0.026390126057735497,0.8221964760244367
mean_reversion,chop|flat,5770.719367242788,0.21696674621000597,1.010369772309746,502,0.4504541701073493,11.495456906858145,0.3402611992697655,16959.67503678741,0.03489049286571605,0.09922525987236296,-0.9729829287174971,-0.9752930515254182,-0.0308830834059165,-0.08814065181597841,-0.935988442711003
mean_reversion,mid|flat,-37036.182370180766,-0.5843847404454853,0.9426050731801443,631,0.4568741893644617,-58.694425309319755,0.3925661914460285,-94343.79011029187,-0.19350229077155248,0.1055573470923358,-1.1502913762759257,-1.0665464359111663,-0.09588098622745156,-0.07514453597643744,-1.3268353401412682
mean_reversion,trend|flat,-23696.472906447903,-0.5991060283981224,0.9622235766429033,680,0.44251877527440786,-34.84775427418809,0.34304399524375745,-69077.06660077187,-0.13491034645928912,0.13560141889712995,-1.1100410254495516,-1.0682228130946692,-0.07706349573527693,-0.10420435915877957,-1.1940470080649233
mean_reversion,chop|up,64189.85628550994,2.583363252707477,1.0564708098597986,268,0.48703774304231795,239.51438912503707,0.7259269507470947,88424.677192999,0.27013993184479657,0.09711920885735784,-0.8591378784278823,-0.7058211735636561,0.01333567351528564,-0.01408412135301651,0.33371723849180723
mean_reversion,mid|up,26588.294826343707,1.1411384035233039,1.0274486187951595,358,0.48627739915269846,74.26897996185393,0.7385745375408053,35999.47395272172,0.13625367957724283,0.10244405428754563,-0.9426521822025711,-0.8700535993155041,-0.01450155705928946,-0.015623293880643208,-0.5864389641800738
mean_reversion,trend|up,69413.7020422116,3.966499501145315,1.0515867360224842,391,0.48620271907389956,177.52864972432636,0.7357892652010299,94339.10675938799,0.25514742900197296,0.13568203805224122,-0.8497160843873792,-0.5483174241623388,0.008651013792325468,-0.015774469588395457,-0.011445528060103682
momentum,BASELINE,-630980.3451059771,-0.9204792217729405,0.9577583266114005,873,0.4940542574204211,-722.772445711314,1.0,-630980.3451059771,-0.2472217799562443,1.0,0.0,0.0,0.0,0.0,0.0
momentum,chop|down,-11769.796158445084,-0.16548261174201226,0.994017079749719,136,0.49806853582554517,-86.54261881209621,1.0,-11769.796158445084,-0.03429178031900605,0.10784155648715468,-0.9813468101665381,-0.8202212414710728,0.037857935693029976,0.008125177234750813,-0.8802629799660866
momentum,mid|down,-92820.97825869762,-0.7819359577232036,0.9425563824732595,199,0.48282005599389155,-466.4370766768725,1.0,-92820.97825869762,-0.3344524610726732,0.10559765666989143,-0.8528940259730154,-0.15051210366583612,-0.01587242179551318,-0.022738800967298745,-0.35465570188162054
momentum,trend|down,-216136.63117955212,-0.9782538326641774,0.8620728895120442,211,0.47705744864066923,-1024.3442235997732,1.0,-216136.63117955212,-0.8758645309492382,0.10923895517574976,-0.6574590114320429,0.06276579582096042,-0.09990561756627725,-0.03440271695764019,0.41724304748732943
momentum,chop|flat,-131668.8911889261,-0.8659620876224049,0.9154306195682625,267,0.4898876404494382,-493.1419145652663,1.0,-131668.8911889261,-0.5110250970227974,0.09922525987236296,-0.7913264775833684,-0.05922690361823679,-0.04419455917746551,-0.008433521032159108,-0.31770792108719315
momentum,mid|flat,52680.6342315725,1.5871137259356873,1.0352793464636896,354,0.5008274984086569,148.81535093664547,1.0,52680.6342315725,0.1917155743385981,0.1055573470923358,-1.0834901350575736,-2.7242254777666117,0.08094006358217998,0.013709508392055092,-1.205895163574186
momentum,trend|flat,8793.670438835996,0.12091510635106177,1.004944805226881,374,0.5029233970865127,23.51248780437432,1.0,8793.670438835996,0.029425360084136255,0.13560141889712995,-1.0139365203798212,-1.1313610383493138,0.04926762556315101,0.017951752328579262,-1.0325309686940745
momentum,chop|up,-65859.88443649626,-0.6499560507172255,0.9588572758920972,202,0.5010377750103777,-326.03903186384287,1.0,-65859.88443649626,-0.2404186755147532,0.09711920885735784,-0.8956229224137962,-0.293893837749709,0.001147418143139456,0.014135122782706677,-0.5489050062734853
momentum,mid|up,-41053.11862566333,-0.6088711233193733,0.9694528271572709,178,0.4953067609849,-230.635497896985,1.0,-41053.11862566333,-0.17857778246626213,0.10244405428754563,-0.934937563516708,-0.33852811783559544,0.012210283346996587,0.0025351538736222423,-0.6809016457870003
momentum,trend|up,-120808.02843066701,-0.8778572333909793,0.9361550006862959,176,0.49608794691492525,-686.4092524469717,1.0,-120808.02843066701,-0.3885294017998083,0.13568203805224122,-0.8085391575701514,-0.046304128734016126,-0.0225561348044222,0.004116328245246992,-0.0503107077201258
