classifier,pair,real,surrogate,corrected
nine-box (dwelled),EURGBP,0.927154288439013,0.8800177055245625,0.04713658291445055
nine-box (dwelled),EURAUD,0.9173884318946994,0.862062307118585,0.05532612477611443
nine-box (dwelled),EURNZD,0.8811033906520723,0.8871188763990713,-0.00601548574699895
nine-box (dwelled),EURUSD,0.7263739142529526,0.8578180533511073,-0.13144413909815467
nine-box (dwelled),EURCAD,0.8807637790385783,0.8907688599433328,-0.010005080904754493
nine-box (dwelled),EURCHF,1.0985094015979073,0.9051075670022855,0.19340183459562188
nine-box (dwelled),EURJPY,0.7492198242486098,0.8661500768808652,-0.11693025263225543
nine-box (dwelled),GBPAUD,0.8429636872858414,0.8642666042763004,-0.021302916990459053
nine-box (dwelled),GBPNZD,0.8609240270925572,0.8966880182362391,-0.035763991143681895
nine-box (dwelled),GBPUSD,0.5888426790554594,0.8737345589166434,-0.284891879861184
nine-box (dwelled),GBPCAD,0.8846596955863157,0.8661628611041138,0.018496834482201963
nine-box (dwelled),GBPCHF,0.7113359491647282,0.8658041832727179,-0.1544682341079897
nine-box (dwelled),GBPJPY,0.6628293597458997,0.8901448020987044,-0.22731544235280465
nine-box (dwelled),AUDNZD,0.9786962275394055,0.8344605069177188,0.14423572062168677
nine-box (dwelled),AUDUSD,0.8547618250716855,0.8919035723326647,-0.037141747260979185
nine-box (dwelled),AUDCAD,0.8921361956128574,0.869085070277331,0.023051125335526446
nine-box (dwelled),AUDCHF,0.836473656618391,0.9208902090896409,-0.0844165524712499
nine-box (dwelled),AUDJPY,0.7321217415978825,0.8573791516480253,-0.1252574100501428
nine-box (dwelled),NZDUSD,0.9069371607323558,0.8677770888807738,0.03916007185158199
nine-box (dwelled),NZDCAD,0.7305029370303167,0.8397474164833213,-0.10924447945300464
nine-box (dwelled),NZDCHF,0.9180499972956728,0.8509994607631193,0.06705053653255355
nine-box (dwelled),NZDJPY,0.7420282215156901,0.8595812044485156,-0.11755298293282546
nine-box (dwelled),USDCAD,0.8456826452804485,0.8728155471470582,-0.02713290186660977
nine-box (dwelled),USDCHF,0.7760976603919338,0.835208190627112,-0.059110530235178205
nine-box (dwelled),USDJPY,1.0340525051890153,0.8970201458232093,0.13703235936580593
nine-box (dwelled),CADCHF,0.7570525817807188,0.8587506277349153,-0.10169804595419651
nine-box (dwelled),CADJPY,0.7662988277052982,0.889668976154093,-0.12337014844879479
nine-box (dwelled),CHFJPY,0.6877915032174812,0.8745022735554677,-0.18671077033798655
shape3 x activity,EURGBP,0.9843736656149658,0.7190938546046983,0.26527981101026743
shape3 x activity,EURAUD,0.7943966768255242,0.8179996351254083,-0.023602958299884125
shape3 x activity,EURNZD,0.9512116880264732,0.821421572341546,0.12979011568492715
shape3 x activity,EURUSD,0.6381571862060983,0.782809182166688,-0.14465199596058975
shape3 x activity,EURCAD,0.9649021251026582,0.7706560331154451,0.1942460919872131
shape3 x activity,EURCHF,1.005967966394657,0.7914024527789845,0.21456551361567255
shape3 x activity,EURJPY,0.6205262346230136,0.7719992458797889,-0.15147301125677526
shape3 x activity,GBPAUD,1.1826293570645874,0.7788940859142492,0.40373527115033814
shape3 x activity,GBPNZD,0.7083962199601743,0.8093886571292097,-0.10099243716903539
shape3 x activity,GBPUSD,0.7366929221859702,0.7566398938031196,-0.019946971617149423
shape3 x activity,GBPCAD,0.6347935757879896,0.7697722954075921,-0.1349787196196025
shape3 x activity,GBPCHF,0.9911030223651166,0.7990280708910209,0.1920749514740957
shape3 x activity,GBPJPY,0.8767260748677016,0.7604249018898469,0.1163011729778547
shape3 x activity,AUDNZD,0.8737447528641555,0.8016017229930095,0.07214302987114607
shape3 x activity,AUDUSD,0.8981804443635772,0.7839908591171352,0.11418958524644207
shape3 x activity,AUDCAD,0.9764514537850992,0.7712494499016446,0.20520200388345466
shape3 x activity,AUDCHF,0.5844014508998192,0.768111920511916,-0.1837104696120968
shape3 x activity,AUDJPY,0.7488643804178576,0.8013800376474727,-0.05251565722961504
shape3 x activity,NZDUSD,0.9164360917047935,0.7849723199306767,0.13146377177411672
shape3 x activity,NZDCAD,0.680245358377211,0.8072955908379964,-0.1270502324607854
shape3 x activity,NZDCHF,0.7472263669254541,0.8090110245287511,-0.06178465760329699
shape3 x activity,NZDJPY,0.7000228405731366,0.7977602428037966,-0.09773740223066008
shape3 x activity,USDCAD,0.6993169811179116,0.7849853278650979,-0.08566834674718626
shape3 x activity,USDCHF,0.9832866916744387,0.7984205904550802,0.18486610121935854
shape3 x activity,USDJPY,0.9054548945533074,0.8264121241516639,0.07904277040164354
shape3 x activity,CADCHF,0.8036890903411475,0.8029269874859937,0.0007621028551538789
shape3 x activity,CADJPY,0.8516663806691456,0.7884328319750943,0.06323354869405129
shape3 x activity,CHFJPY,0.48542704203922854,0.8185774141969461,-0.33315037215771753
shape3 alone,EURGBP,0.4311693561483573,0.30922932542357295,0.12194003072478432
shape3 alone,EURAUD,0.33701201694657645,0.32490383589468197,0.012108181051894484
shape3 alone,EURNZD,0.4165123279297172,0.35673440666815404,0.05977792126156317
shape3 alone,EURUSD,0.2855086397514444,0.3532786623314461,-0.0677700225800017
shape3 alone,EURCAD,0.3767845791096953,0.31712927509658295,0.059655304013112365
