team,member,period,opposed_episodes,accuracy_pct,r_per_unit_opposed,r_per_unit_overall
team1,A-chop|chop|bears_bulls_impulse_signals|didi_index_signals|variance_volume_signals|ema_baseline::OFFICIAL,ALL,22,36.4,-0.03425506945364917,0.0653353529128754
team1,A-chop|chop|bears_bulls_impulse_signals|didi_index_signals|variance_volume_signals|ema_baseline::OFFICIAL,IS,13,38.5,-0.020813274795832466,0.0653353529128754
team1,A-chop|chop|bears_bulls_impulse_signals|didi_index_signals|variance_volume_signals|ema_baseline::OFFICIAL,OOS,9,33.3,-0.05406403000201065,0.0653353529128754
team1,A-chop|chop|bears_bulls_impulse_signals|polychromatic_momentum_signals|volatility_ratio_volume_signals|super_smoother_2pole_baseline::OFFICIAL,ALL,24,16.7,-0.08815254351512603,0.06268372411679576
team1,A-chop|chop|bears_bulls_impulse_signals|polychromatic_momentum_signals|volatility_ratio_volume_signals|super_smoother_2pole_baseline::OFFICIAL,IS,9,22.2,-0.04976242366459824,0.06268372411679576
team1,A-chop|chop|bears_bulls_impulse_signals|polychromatic_momentum_signals|volatility_ratio_volume_signals|super_smoother_2pole_baseline::OFFICIAL,OOS,15,13.3,-0.11854472173012724,0.06268372411679576
team1,A-chop|chop|coral_signals|relative_vigor_index_signals|waddah_attar_explosion_volume_signals|t3_baseline::OFFICIAL,ALL,31,45.2,0.004764187378993605,0.074334142969284
team1,A-chop|chop|coral_signals|relative_vigor_index_signals|waddah_attar_explosion_volume_signals|t3_baseline::OFFICIAL,IS,14,50.0,0.04416927157596281,0.074334142969284
team1,A-chop|chop|coral_signals|relative_vigor_index_signals|waddah_attar_explosion_volume_signals|t3_baseline::OFFICIAL,OOS,17,41.2,-0.021721197081264396,0.074334142969284
team1,A-chop|chop|j_tpo_signals|linreg_slope_signals|efficiency_ratio_volume_signals|fantail_vma::OFFICIAL,ALL,18,33.3,-0.006949512335228997,0.07390601322274468
team1,A-chop|chop|j_tpo_signals|linreg_slope_signals|efficiency_ratio_volume_signals|fantail_vma::OFFICIAL,IS,8,37.5,-0.0540393453511322,0.07390601322274468
team1,A-chop|chop|j_tpo_signals|linreg_slope_signals|efficiency_ratio_volume_signals|fantail_vma::OFFICIAL,OOS,10,30.0,0.024443709675373144,0.07390601322274468
team1,A-chop|chop|parabolic_sar_signals|lemantrend_signals|variance_volume_signals|wma_baseline::OFFICIAL,ALL,35,37.1,-0.062434281830193006,0.06059989909535496
team1,A-chop|chop|parabolic_sar_signals|lemantrend_signals|variance_volume_signals|wma_baseline::OFFICIAL,IS,13,38.5,-0.0751893243294087,0.06059989909535496
team1,A-chop|chop|parabolic_sar_signals|lemantrend_signals|variance_volume_signals|wma_baseline::OFFICIAL,OOS,22,36.4,-0.05443111790911651,0.06059989909535496
team1,A-chop|chop|polychromatic_momentum_signals|schaff_trend_cycle_signals|efficiency_ratio_volume_signals|alma_baseline::OFFICIAL,ALL,22,36.4,-0.041843191896200053,0.07262216168596419
team1,A-chop|chop|polychromatic_momentum_signals|schaff_trend_cycle_signals|efficiency_ratio_volume_signals|alma_baseline::OFFICIAL,IS,13,46.2,-0.027218478611228857,0.07262216168596419
team1,A-chop|chop|polychromatic_momentum_signals|schaff_trend_cycle_signals|efficiency_ratio_volume_signals|alma_baseline::OFFICIAL,OOS,9,22.2,-0.06173280196376088,0.07262216168596419
team1,A-chop|chop|supertrend_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline::OFFICIAL,ALL,63,27.0,-0.06003565365068826,0.053540571619536
team1,A-chop|chop|supertrend_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline::OFFICIAL,IS,31,29.0,-0.035359252566647605,0.053540571619536
team1,A-chop|chop|supertrend_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline::OFFICIAL,OOS,32,25.0,-0.07554653433208526,0.053540571619536
team1,A-trend|trend|bears_bulls_impulse_signals|aroon_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,ALL,16,25.0,-0.03731376093264377,0.02695684370891757
team1,A-trend|trend|bears_bulls_impulse_signals|aroon_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,IS,11,27.3,-0.024021232318144816,0.02695684370891757
team1,A-trend|trend|bears_bulls_impulse_signals|aroon_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,OOS,5,20.0,-0.06478498673594156,0.02695684370891757
team1,A-trend|trend|coral_signals|lemantrend_signals|williams_vix_fix_volume_signals|rma_baseline::OFFICIAL,ALL,8,62.5,0.0177025513038849,0.03322035783364447
team1,A-trend|trend|coral_signals|lemantrend_signals|williams_vix_fix_volume_signals|rma_baseline::OFFICIAL,IS,3,66.7,0.03984912402537502,0.03322035783364447
team1,A-trend|trend|coral_signals|lemantrend_signals|williams_vix_fix_volume_signals|rma_baseline::OFFICIAL,OOS,5,60.0,-0.007212343007791493,0.03322035783364447
team1,A-trend|trend|kase_peak_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|rma_baseline::OFFICIAL,ALL,10,40.0,0.38409949615328304,0.1242243917378629
team1,A-trend|trend|kase_peak_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|rma_baseline::OFFICIAL,IS,4,50.0,0.9614902636650664,0.1242243917378629
team1,A-trend|trend|kase_peak_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|rma_baseline::OFFICIAL,OOS,6,33.3,-0.03582106203710475,0.1242243917378629
team1,A-trend|trend|lemantrend_signals|laguerre_filter_signals|volatility_ratio_volume_signals|alma_baseline::OFFICIAL,ALL,10,50.0,-0.05182333028694349,0.049938637544324094
