pair,n,share_trending,med_trending,mean_trending,max_trending,share_ranging,med_ranging,mean_ranging,max_ranging,share_trend-in-range,med_trend-in-range,mean_trend-in-range,max_trend-in-range,share_neither,med_neither,mean_neither,max_neither,c_weak ranging,c_medium ranging,c_strong trending,c_weak neither,c_medium neither,c_strong trend-in-range,c_medium trending,c_strong ranging,c_medium trend-in-range,c_weak trending,c_strong neither,c_weak trend-in-range,trendiness
EURGBP,6722,0.2503719131210949,23.0,30.6,150,0.37890508777149656,30.0,46.30909090909091,164,0.15486462362392145,15.0,17.35,60,0.21585837548348705,18.0,27.37735849056604,84,0.17058648407264065,0.1446859184281036,0.12399523667758261,0.1076213158678178,0.08261387317654063,0.0805299196189342,0.07740398928252457,0.06504912176242929,0.04941947008038106,0.041827924977671925,0.02902649598094671,0.027240250074426913,-0.12853317465040165
EURAUD,6726,0.2509663990484686,15.5,29.103448275862068,237,0.35399940529289325,26.5,45.78846153846154,186,0.20829616413916147,16.5,20.014285714285716,74,0.18673803151947665,15.0,22.035087719298247,76,0.13562602352240583,0.15527765371445587,0.11716540122078309,0.07548012505582849,0.08143516450796487,0.10525532231651034,0.07548012505582849,0.06327229417894893,0.07756438886407623,0.05865713860354325,0.027095429507220485,0.027690933452434122,-0.10303300624442463
EURNZD,6738,0.27070347284060553,19.0,32.57142857142857,202,0.3220540219649748,21.0,37.41379310344828,153,0.17497773820124665,17.5,21.833333333333332,100,0.23226476699317306,19.0,25.65573770491803,113,0.123997623997624,0.11761211761211761,0.11286011286011285,0.11983961983961984,0.0743985743985744,0.08509058509058509,0.0986040986040986,0.07618057618057618,0.055687555687555686,0.05687555687555688,0.04544104544104544,0.03341253341253341,-0.05135054912436926
EURUSD,6730,0.3600297176820208,30.0,44.054545454545455,167,0.26419019316493314,19.0,36.285714285714285,151,0.18945022288261515,15.0,19.615384615384617,85,0.1863298662704309,20.0,26.680851063829788,96,0.13814126394052045,0.0971003717472119,0.15985130111524162,0.08817843866171003,0.0654275092936803,0.07241635687732342,0.1283271375464684,0.03197026022304833,0.07553903345724908,0.07033457249070632,0.03434944237918216,0.03836431226765799,0.09583952451708766
EURCAD,6757,0.26387450051798134,21.5,38.76086956521739,234,0.31715258250702977,21.0,40.43396226415094,218,0.22287997632085246,21.5,28.96153846153846,105,0.19609294065413646,23.0,24.09090909090909,88,0.1327893175074184,0.09896142433234421,0.10979228486646884,0.09718100890207715,0.071513353115727,0.0970326409495549,0.09807121661721069,0.08456973293768547,0.08249258160237388,0.05400593471810089,0.028783382789317507,0.044807121661721065,-0.05327808198904843
EURCHF,6800,0.2825,20.0,30.015625,178,0.36470588235294116,24.0,45.09090909090909,229,0.19470588235294117,17.0,21.35483870967742,83,0.15808823529411764,18.0,23.88888888888889,113,0.11565626839317246,0.18731606827545616,0.14949970570924073,0.06901118304885226,0.05650382577987051,0.07563272513243084,0.06533254855797528,0.06621542083578576,0.07504414361389053,0.06886403766921718,0.030900529723366685,0.04002354326074161,-0.08220588235294118
EURJPY,6771,0.3613941810663122,28.0,42.189655172413794,210,0.29390045783488405,25.0,45.22727272727273,150,0.15108551174124946,18.0,21.76595744680851,75,0.19361984935755427,17.0,24.735849056603772,95,0.12017167381974249,0.1072961373390558,0.15850229391741896,0.08361698978836762,0.07932514429480539,0.047950273790143556,0.11188397217700163,0.06482166642000887,0.06245375166494006,0.09516057421932811,0.03107888116027823,0.03773864140890928,0.06749372323142816
GBPAUD,6804,0.2820399764844209,31.0,35.53703703703704,112,0.3265726043503821,28.0,35.26984126984127,138,0.22236919459141682,15.0,21.92753623188406,126,0.16901822457378013,17.0,21.296296296296298,70,0.15235294117647058,0.10544117647058823,0.13147058823529412,0.05941176470588235,0.08147058823529411,0.09,0.09161764705882353,0.07308823529411765,0.08147058823529411,0.06485294117647059,0.022941176470588236,0.04588235294117647,-0.04453262786596118
GBPNZD,6802,0.24728021170244047,24.0,33.64,131,0.369450161717142,21.0,34.42465753424658,176,0.17700676271684798,14.0,19.737704918032787,176,0.20626286386356954,17.0,23.779661016949152,93,0.15048543689320387,0.13018534863195058,0.12327155045601648,0.09738158281847602,0.07972933215651662,0.09429243895263313,0.0794351279788173,0.09502794939688143,0.04236540158870256,0.048837893498087676,0.023683436304795528,0.0353045013239188,-0.12216995001470154
GBPUSD,6820,0.2879765395894428,18.0,31.174603174603174,199,0.3151026392961877,22.0,34.111111111111114,144,0.2027859237536657,15.0,19.757142857142856,110,0.1941348973607038,16.0,22.82758620689655,82,0.14289906103286384,0.12661384976525822,0.1426056338028169,0.10005868544600939,0.06279342723004695,0.08450704225352113,0.08626760563380281,0.04445422535211268,0.08303990610328639,0.05604460093896713,0.032570422535211266,0.03814553990610329,-0.0271260997067449
