pair,shape,shape_surr,shape_corr,shape_z,mag,mag_surr,mag_corr,mag_z,struct_shape_corr,grid_shape_corr,grid_mag_corr,median_run,under5,states_used,states_seen,min_share,coverage,DEGENERATE,FLAT,UNSTABLE
EURGBP,0.7211940897146973,0.9075902520006842,-0.18639616228598688,-1.0848771832315123,1.421906558045123,1.087861863418339,0.3340446946267839,1.5860846040308731,-0.3260582366078031,-0.08969170332951082,0.4517450080961709,15.0,0.0,8,11,0.0056753688989784334,1.0,True,True,False
EURAUD,0.8793725530990435,0.899098729346272,-0.0197261762472285,-0.10763201999862285,1.0322391486513798,1.0869720001352163,-0.05473285148383655,-0.25690203692817715,0.30443161685863174,0.016922646422660836,0.013304334637033621,14.0,0.0,7,12,0.003026863412788498,1.0,True,True,False
EURNZD,1.3137730445650966,0.9418376741961768,0.37193537036891977,1.7521066829355603,2.7039947445536816,0.994324869084834,1.7096698754688475,7.460532516840179,0.1521006875674802,-0.0768229803426217,0.257099534304321,16.0,0.007633587786259542,8,12,0.004540295119182747,1.0,True,False,False
EURUSD,0.8195021302623019,0.8775822796541822,-0.05808014939188033,-0.2720747865134946,1.4992501716856814,1.2743887089636519,0.22486146272202956,1.0707099377145597,0.33158225623577264,-0.09269784680899296,-0.08843469373636648,15.5,0.0,7,12,0.004918653045781309,1.0,True,True,False
EURCAD,0.8156752061264453,0.8781101134498941,-0.06243490732344881,-0.3019467464747849,1.2996263345390058,1.09292008956336,0.20670624497564583,0.7550760779816104,-0.2719178465271362,0.06343484442320646,0.13919591952407662,14.5,0.006493506493506494,8,11,0.0018917896329928112,1.0,True,True,False
EURCHF,0.928197483217487,0.9214242721994863,0.006773211018000658,0.035873074510248217,0.751031190306523,1.0431792997072378,-0.2921481094007148,-1.1615126994447305,-0.13677923743018883,-0.15412353073441476,-0.06125189016698496,16.0,0.0,7,12,0.004161937192584185,1.0,True,False,False
EURJPY,0.7775646982638401,0.8904821215888509,-0.11291742332501076,-0.5939090767774363,0.6511551764693116,0.9893512987613897,-0.33819612229207807,-1.3661328352296704,-0.09088082138559761,-0.07485521355054003,-0.10071772763505038,15.0,0.006711409395973154,8,12,0.00340522133938706,1.0,True,True,False
GBPAUD,0.8749483146332949,0.8916155535164206,-0.016667238883125712,-0.08460151782915323,0.9047106984325607,1.0185948115162902,-0.11388411308372948,-0.3653499799970337,-0.03603024676448441,-0.023092982654861594,-0.03813609659542494,14.0,0.0,6,12,0.0022701475595913734,1.0,True,True,False
GBPNZD,0.6786255078543992,0.8771120214425372,-0.19848651358813796,-1.0147513957304797,1.0178111690704958,0.9970397311371396,0.02077143793335623,0.08229781776471277,-0.07830258465377293,-0.09458656437788338,0.057551732269391476,14.0,0.0,7,12,0.0052970109723798715,1.0,True,True,False
GBPUSD,1.1308493450639039,0.8431364598890189,0.287712885174885,1.4726868342128472,1.0964476254018238,0.9407208592724685,0.15572676612935532,0.6710996318912051,-0.14021033793311666,0.02951738514259772,0.09847235103489749,14.0,0.006802721088435374,9,12,0.004161937192584185,1.0,True,False,False
GBPCAD,0.6927744746265663,0.9058575445896881,-0.21308306996312187,-1.0089136146653825,1.0430781437231729,0.9956292239589014,0.04744891976427146,0.17291265470793507,-0.003859044221868335,-0.1470539888415996,-0.01191640278114392,15.0,0.0,7,12,0.0052970109723798715,1.0,True,True,False
GBPCHF,1.0557604643817353,0.8736568565980628,0.18210360778367252,1.0300192203238068,1.3875033386702857,1.18247108134367,0.20503225732661567,0.586322874393234,0.014603411907654573,-0.1437410727241385,-0.06112878631219032,15.0,0.0,8,12,0.004918653045781309,1.0,True,False,False
GBPJPY,0.7462559533262465,0.8662929364851999,-0.12003698315895339,-0.665539531042084,0.8757229041572772,0.9460791871035286,-0.0703562829462514,-0.361991427108055,0.014299086266336358,-0.04096162459530983,0.012084150157877005,13.5,0.0,7,12,0.00681044267877412,1.0,True,True,False
AUDNZD,0.698283168550022,0.9303516249435461,-0.23206845639352403,-0.957955834716708,1.1426175321943273,0.9786927833535961,0.16392474884073116,0.5675432594966763,-0.1973892553515606,-0.07296382276894908,-0.19373925731235897,14.0,0.006802721088435374,7,11,0.003026863412788498,1.0,True,True,False
AUDUSD,1.0511540544512308,0.8875513484602718,0.16360270599095894,0.7155861326294037,1.382067446604514,1.1045841273554402,0.27748331924907377,0.9019110664350404,0.14109676743845967,-0.18895864830077447,0.04036711872769283,14.0,0.006666666666666667,8,12,0.0018917896329928112,1.0,True,False,False
AUDCAD,1.0105520085803312,0.949031848484864,0.061520160095467236,0.31421825647716844,1.0938165886833424,1.264583288366176,-0.17076669968283364,-0.6655135855219612,-0.17456055418400607,0.14318325874679827,-0.04113753155712985,14.0,0.0,8,10,0.007567158531971245,1.0,True,False,False
AUDCHF,0.8678792622875062,0.8839724362482022,-0.016093173960695983,-0.08943372060657527,1.6123396123822182,1.1657904174094833,0.44654919497273493,1.5150367914426461,-0.18569697181579248,-0.0656384530738986,-0.016045051576041747,14.0,0.0,7,12,0.003026863412788498,1.0,True,True,False
AUDJPY,1.3511536971838194,0.9230304732876659,0.42812322389615354,2.232590039589252,1.1804106889054027,1.3719517509398182,-0.19154106203441557,-0.6907104016709241,0.12723850023784355,-0.1022700408788052,-0.030828454627547908,13.0,0.0,7,12,0.006432084752175558,1.0,True,False,False
NZDUSD,1.1920501886202932,0.9117327069170338,0.28031748170325943,1.416080596443167,1.190386349724593,1.3786258762366792,-0.1882395265120862,-0.5042275131203345,0.017878692538358165,0.008096112441390635,0.04729784733787157,14.0,0.006993006993006993,7,12,0.011350737797956867,1.0,True,False,False
NZDCAD,0.7578642137493952,0.9007587538491902,-0.14289454009979508,-0.7353538710704807,1.47793241008886,1.4776351752952508,0.00029723479360921345,0.0010476514538728498,-0.07503990069771727,0.06637292276878903,0.13304299383936047,15.0,0.0,7,12,0.004161937192584185,1.0,True,True,False
NZDCHF,0.745633847795873,0.9102307619780315,-0.1645969141821585,-0.7310165776870983,0.9205789631250025,1.03282978197561,-0.1122508188506075,-0.3735399195998905,0.07046071150982092,-0.13946816019488828,0.07904467133937043,14.0,0.0,8,11,0.00681044267877412,1.0,True,True,False
NZDJPY,1.0255478477279925,0.8549642289445778,0.17058361878341466,1.0174270745350327,0.9371057055995317,1.32515395122917,-0.38804824562963824,-1.3412160065582406,0.12923450053703722,-0.10374742073167886,0.19792262987039155,15.0,0.0,8,12,0.0056753688989784334,1.0,True,False,False
USDCAD,1.0159419438218558,0.9226039924588304,0.09333795136302536,0.4902573171789228,1.2525798645477888,1.1810486530663995,0.0715312114813893,0.2813632973146818,-0.1520532143003614,0.011570050826332667,-0.22966517201972536,13.0,0.012345679012345678,8,12,0.0018917896329928112,1.0,True,False,False
USDCHF,0.7258169827150549,0.8502307378004128,-0.1244137550853579,-0.6999394997621552,1.2365401906833122,1.198416659133789,0.03812353154952319,0.12454459233189309,-0.31423689245860764,0.20718306887675908,0.03945994006910736,14.0,0.0,8,10,0.004918653045781309,1.0,True,True,False
USDJPY,0.7112770302233962,0.8606734632112578,-0.14939643298786165,-0.723140070494151,0.779606348329914,0.9898336960222002,-0.21022734769228613,-0.9424196229060533,-0.286128178479677,0.10696566951044906,-0.10108401222153862,15.0,0.0,7,12,0.0037835792659856224,1.0,True,True,False
CADCHF,0.8190103505447822,0.8716230205684941,-0.05261267002371184,-0.32720650135136703,1.6171641558532335,1.3690615130397439,0.2481026428134896,0.9976616817068742,-0.33003089417937137,-0.14430357385725046,0.0060456728366573564,14.5,0.0,8,12,0.0022701475595913734,1.0,True,True,False
CADJPY,0.8857644460594349,0.8979890427130247,-0.01222459665358977,-0.06611837455550204,1.2532761196486957,1.3272798017889438,-0.0740036821402481,-0.3272639610993377,-0.13953438460961365,0.03891079111864215,0.23659527502514877,15.0,0.0,8,12,0.0022701475595913734,1.0,True,True,False
CHFJPY,0.7811552623538809,0.8961920226111345,-0.11503676025725362,-0.6823670272911525,0.8278615056059196,1.1766388220340964,-0.3487773164281768,-0.9871316251677591,-0.2130913771880708,-0.10722717252894431,0.09368537987610193,14.0,0.0,8,12,0.007188800605372683,1.0,True,True,False
