pair,rank_is,rank_oos,trendiness_is,trendiness_oos,rank_move
EURUSD,1.0,19.0,0.15355921666148586,-0.13185615691972394,18.0
NZDUSD,2.0,21.0,0.11343097538173891,-0.1391209589538685,19.0
NZDJPY,3.0,12.0,0.07186173438447546,-0.06756265891754451,9.0
AUDJPY,4.0,6.0,0.06344410876132928,0.02034144569560481,2.0
NZDCAD,5.0,13.0,0.042040185471406505,-0.08463494369778424,8.0
AUDUSD,6.0,15.0,0.039597737272155875,-0.09698510715583,9.0
USDCAD,7.0,22.0,0.03397158739962941,-0.18561569197239375,15.0
GBPUSD,8.0,5.0,0.03225806451612906,0.042135851798038526,-3.0
AUDNZD,9.0,9.0,0.021317212853961154,-0.04395205230657462,0.0
EURNZD,10.0,18.0,0.02040816326530609,-0.12168543407192156,8.0
USDJPY,11.0,2.0,0.015338345864661651,0.09698510715582997,-9.0
AUDCAD,12.0,8.0,0.014084507042253502,-0.010897203051216886,-4.0
USDCHF,13.0,25.0,0.007580351728320223,-0.22302942244823826,12.0
AUDCHF,14.0,10.0,0.0068259385665528916,-0.05630221576462041,-4.0
GBPAUD,15.0,16.0,0.0024154589371980784,-0.1100617508172902,1.0
CADJPY,16.0,4.0,-0.00030988534242332166,0.047584453323646914,-12.0
GBPJPY,17.0,14.0,-0.006306306306306297,-0.09226298583363607,-3.0
EURCAD,18.0,24.0,-0.010965580261955543,-0.21358517980385036,6.0
EURAUD,19.0,11.0,-0.013586956521739135,-0.0671994188158373,-8.0
EURGBP,20.0,28.0,-0.019236735960285467,-0.32437341082455506,8.0
NZDCHF,21.0,17.0,-0.026370991908900188,-0.11115147112241192,-4.0
EURJPY,22.0,1.0,-0.03109605911330049,0.10170722847802399,-21.0
EURCHF,23.0,7.0,-0.046056592414208286,0.008354522339266257,-16.0
CHFJPY,24.0,3.0,-0.09253547193090683,0.08318198329095533,-21.0
GBPNZD,25.0,20.0,-0.10925925925925928,-0.13839447875045405,-5.0
CADCHF,26.0,27.0,-0.11581834806461444,-0.2709771158735924,1.0
GBPCHF,27.0,23.0,-0.11986714975845408,-0.20523065746458408,-4.0
GBPCAD,28.0,26.0,-0.16332034761762065,-0.22884126407555394,-2.0
