pair,eff_is,eff_oos,sd_is,sd_oos,n_is,n_oos,rank_is,rank_oos,rank_move,eff_both
AUDNZD,0.2397349472892829,0.23388933020887076,0.16134279678279562,0.1638948783607966,4254,2638,2.0,1.0,1.0,0.23681213874907683
USDJPY,0.2353285164707375,0.23309852931134256,0.17208669559116688,0.16916391619033644,4254,2638,4.0,2.0,2.0,0.23421352289104003
EURUSD,0.24453355653337883,0.2223485973060069,0.1804166061755667,0.15480027458424597,4254,2638,1.0,9.0,-8.0,0.23344107691969285
USDCHF,0.23704777413107297,0.22566289801383937,0.17647526323825558,0.16242389587523834,4254,2638,3.0,6.0,-3.0,0.23135533607245617
NZDUSD,0.23294346886997003,0.22759225624740245,0.1648774928854669,0.16464839372531775,4254,2638,7.0,5.0,2.0,0.23026786255868625
GBPJPY,0.22919281770713415,0.22860724684022762,0.16488713838511473,0.1641095696659687,4254,2638,10.0,3.0,7.0,0.2289000322736809
GBPUSD,0.2327141443863977,0.22179037010066713,0.17362732052570956,0.15353522168283437,4254,2638,8.0,10.0,-2.0,0.22725225724353243
USDCAD,0.22562108678079285,0.22761241644108915,0.16562765290609371,0.1639881124787238,4254,2638,14.0,4.0,10.0,0.226616751610941
NZDJPY,0.2343890241968009,0.218418751498644,0.1714364644872726,0.1639022492427287,4254,2638,5.0,14.0,-9.0,0.22640388784772247
AUDJPY,0.23318552775131013,0.2184125355702003,0.16554497884798514,0.1581888482144283,4254,2638,6.0,15.0,-9.0,0.2257990316607552
AUDUSD,0.23215500720283627,0.21873015429951487,0.16452605359656167,0.15439281201435226,4254,2638,9.0,13.0,-4.0,0.22544258075117557
GBPAUD,0.2215143308483033,0.22456168173398458,0.16281098076480058,0.15846600717254242,4254,2638,18.0,8.0,10.0,0.22303800629114395
CHFJPY,0.22339833486732347,0.22113295130095253,0.16513571268449317,0.1669362916557447,4254,2638,16.0,11.0,5.0,0.222265643084138
CADJPY,0.22416861063607885,0.21671721964325424,0.16544181271994726,0.15947470685205556,4254,2638,15.0,17.0,-2.0,0.22044291513966655
EURJPY,0.2278637265527729,0.21275663841772846,0.16635142018285123,0.1554638519934765,4254,2638,12.0,20.0,-8.0,0.2203101824852507
EURNZD,0.21877106414103967,0.22107949763921533,0.1623923799610892,0.16648175180560798,4254,2638,21.0,12.0,9.0,0.2199252808901275
GBPCHF,0.2134152623084904,0.22485353249782572,0.15578911494416162,0.1619109005638681,4254,2638,25.0,7.0,18.0,0.21913439740315804
EURAUD,0.22588504159776981,0.21166197665664646,0.16575936604357597,0.15573858631938628,4254,2638,13.0,22.0,-9.0,0.21877350912720814
GBPNZD,0.21987827342190383,0.2160863175878874,0.15961236801572823,0.15913783026554076,4254,2638,19.0,19.0,0.0,0.21798229550489562
EURCHF,0.21881038013949328,0.21627848729595472,0.16226854322240314,0.155581536782987,4254,2638,20.0,18.0,2.0,0.217544433717724
NZDCAD,0.22200758788294303,0.2109927461076131,0.1578034152700659,0.15492081183029982,4254,2638,17.0,23.0,-6.0,0.21650016699527808
GBPCAD,0.2132469177195643,0.21676334648361528,0.159984918367669,0.15802770807198416,4254,2638,26.0,16.0,10.0,0.21500513210158978
EURCAD,0.22900664833804774,0.1986106069687823,0.16341050876904656,0.14870850769875799,4254,2638,11.0,28.0,-17.0,0.21380862765341502
AUDCHF,0.21848880678573296,0.20669037175938423,0.1625499318418585,0.14847854011897565,4254,2638,22.0,24.0,-2.0,0.2125895892725586
CADCHF,0.21761184683687246,0.20551622676306366,0.15822311576176867,0.15351555158300095,4254,2638,23.0,25.0,-2.0,0.21156403679996805
EURGBP,0.21662656555416165,0.20533525891355672,0.15577683091226432,0.14882787088080937,4254,2638,24.0,26.0,-2.0,0.21098091223385917
NZDCHF,0.20968159131272973,0.21174540876524922,0.1605304923491407,0.15606055066396907,4254,2638,28.0,21.0,7.0,0.21071350003898948
AUDCAD,0.21118344864459274,0.20092004660823007,0.14569388164841776,0.14230078855091652,4254,2638,27.0,27.0,0.0,0.2060517476264114
