,1,2,3,4,5,6,7,8,9,10,11,12,13
1,1.0,-0.0052,-0.0155,0.0196,0.1227,-0.0094,0.1915,-0.0204,0.1679,0.128,0.0293,-0.0104,0.1695
2,-0.0052,1.0,0.1067,0.0085,-0.0091,0.1712,-0.0234,0.1427,0.0079,-0.0055,-0.0084,0.3852,-0.0106
3,-0.0155,0.1067,1.0,0.0106,-0.0093,0.1906,-0.0223,0.0656,0.0059,0.0155,0.052,0.1589,-0.0105
4,0.0196,0.0085,0.0106,1.0,0.002,0.0147,-0.0024,0.1074,-0.0035,-0.0203,-0.0084,0.0448,0.0184
5,0.1227,-0.0091,-0.0093,0.002,1.0,-0.03,0.1705,0.0009,0.0329,0.6322,0.1228,0.0076,0.0106
6,-0.0094,0.1712,0.1906,0.0147,-0.03,1.0,0.0182,0.0486,0.0165,-0.0151,0.0224,0.1144,-0.0063
7,0.1915,-0.0234,-0.0223,-0.0024,0.1705,0.0182,1.0,-0.0092,0.0287,0.2048,0.0495,-0.0015,0.0424
8,-0.0204,0.1427,0.0656,0.1074,0.0009,0.0486,-0.0092,1.0,-0.0059,0.0196,0.0023,0.1173,0.0029
9,0.1679,0.0079,0.0059,-0.0035,0.0329,0.0165,0.0287,-0.0059,1.0,0.0589,0.0771,0.0352,0.0919
10,0.128,-0.0055,0.0155,-0.0203,0.6322,-0.0151,0.2048,0.0196,0.0589,1.0,0.0258,0.0248,-0.003
11,0.0293,-0.0084,0.052,-0.0084,0.1228,0.0224,0.0495,0.0023,0.0771,0.0258,1.0,0.0213,0.0311
12,-0.0104,0.3852,0.1589,0.0448,0.0076,0.1144,-0.0015,0.1173,0.0352,0.0248,0.0213,1.0,0.0204
13,0.1695,-0.0106,-0.0105,0.0184,0.0106,-0.0063,0.0424,0.0029,0.0919,-0.003,0.0311,0.0204,1.0
