,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
1,1.0,-0.0021,-0.0126,0.0226,0.1257,-0.0068,0.1939,-0.0171,0.1703,0.1311,0.0319,-0.0074,0.1723,0.2148,0.0264,0.0137,0.1722,0.0144,0.0406,0.0143
2,-0.0021,1.0,0.1089,0.0112,-0.006,0.1731,-0.0208,0.1452,0.0104,-0.0023,-0.006,0.3868,-0.0075,-0.0305,0.006,0.0133,-0.0057,0.1268,0.0056,0.1012
3,-0.0126,0.1089,1.0,0.0129,-0.0066,0.1922,-0.02,0.068,0.0082,0.0183,0.0539,0.1608,-0.0078,0.0078,0.0372,0.0417,0.0039,0.1022,0.0526,0.1515
4,0.0226,0.0112,0.0129,1.0,0.0049,0.0169,0.0,0.1098,-0.001,-0.0172,-0.0062,0.0472,0.0212,0.0161,0.0223,-0.0025,0.0348,0.0387,-0.0219,0.0405
5,0.1257,-0.006,-0.0066,0.0049,1.0,-0.0275,0.1728,0.004,0.0355,0.6334,0.1249,0.0104,0.0138,0.0823,0.0962,0.0386,0.0557,0.0023,-0.0166,-0.004
6,-0.0068,0.1731,0.1922,0.0169,-0.0275,1.0,0.0202,0.0509,0.0186,-0.0125,0.0242,0.1163,-0.0038,0.0198,0.0269,0.0194,0.002,0.1367,0.0393,0.1593
7,0.1939,-0.0208,-0.02,0.0,0.1728,0.0202,1.0,-0.0065,0.031,0.2071,0.0515,0.0009,0.045,0.1026,0.0923,0.0442,0.2979,0.0317,0.0268,-0.0061
8,-0.0171,0.1452,0.068,0.1098,0.004,0.0509,-0.0065,1.0,-0.0032,0.0227,0.0047,0.1197,0.006,-0.0338,0.0291,-0.0165,0.0204,0.1875,0.0472,0.0376
9,0.1703,0.0104,0.0082,-0.001,0.0355,0.0186,0.031,-0.0032,1.0,0.0616,0.079,0.0375,0.0944,0.1754,0.161,0.0525,0.2598,0.03,0.0193,-0.0095
10,0.1311,-0.0023,0.0183,-0.0172,0.6334,-0.0125,0.2071,0.0227,0.0616,1.0,0.0284,0.0277,0.0004,0.1234,0.0543,0.013,0.0784,-0.0034,-0.0049,0.0157
11,0.0319,-0.006,0.0539,-0.0062,0.1249,0.0242,0.0515,0.0047,0.079,0.0284,1.0,0.0234,0.0336,0.0856,0.3822,0.0223,0.0624,0.0426,-0.0155,-0.0041
12,-0.0074,0.3868,0.1608,0.0472,0.0104,0.1163,0.0009,0.1197,0.0375,0.0277,0.0234,1.0,0.0231,-0.0191,0.0458,-0.0407,0.0342,0.1548,0.031,0.0466
13,0.1723,-0.0075,-0.0078,0.0212,0.0138,-0.0038,0.045,0.006,0.0944,0.0004,0.0336,0.0231,1.0,0.1426,0.073,0.0178,0.0761,0.0314,-0.0117,0.0357
14,0.2148,-0.0305,0.0078,0.0161,0.0823,0.0198,0.1026,-0.0338,0.1754,0.1234,0.0856,-0.0191,0.1426,1.0,0.1818,0.0428,0.1089,0.0452,-0.0255,0.0077
15,0.0264,0.006,0.0372,0.0223,0.0962,0.0269,0.0923,0.0291,0.161,0.0543,0.3822,0.0458,0.073,0.1818,1.0,0.0072,0.2341,0.0778,-0.0298,-0.0269
16,0.0137,0.0133,0.0417,-0.0025,0.0386,0.0194,0.0442,-0.0165,0.0525,0.013,0.0223,-0.0407,0.0178,0.0428,0.0072,1.0,0.0014,-0.0064,-0.0183,0.0242
17,0.1722,-0.0057,0.0039,0.0348,0.0557,0.002,0.2979,0.0204,0.2598,0.0784,0.0624,0.0342,0.0761,0.1089,0.2341,0.0014,1.0,0.0395,0.009,-0.006
18,0.0144,0.1268,0.1022,0.0387,0.0023,0.1367,0.0317,0.1875,0.03,-0.0034,0.0426,0.1548,0.0314,0.0452,0.0778,-0.0064,0.0395,1.0,0.0142,0.0848
19,0.0406,0.0056,0.0526,-0.0219,-0.0166,0.0393,0.0268,0.0472,0.0193,-0.0049,-0.0155,0.031,-0.0117,-0.0255,-0.0298,-0.0183,0.009,0.0142,1.0,-0.0231
20,0.0143,0.1012,0.1515,0.0405,-0.004,0.1593,-0.0061,0.0376,-0.0095,0.0157,-0.0041,0.0466,0.0357,0.0077,-0.0269,0.0242,-0.006,0.0848,-0.0231,1.0
