N,view,total_R,avg_annual_R,max_dd_R,sortino,sharpe,calmar,worst_month_R,n_trades,pct_2plus,max_sim,mean_corr,max_corr
5,excl,62.97,6.21,2.93,1.72,1.58,21.5,-1.38,,56.2,5,0.2377,0.7655
5,allin,63.82,6.29,2.93,1.74,1.6,21.79,-1.38,,55.2,5,0.2367,0.7675
6,excl,63.52,6.25,2.42,2.1,1.79,26.23,-1.15,,60.7,6,0.172,0.7675
6,allin,66.23,6.52,2.42,2.18,1.86,27.35,-1.15,,61.8,6,0.1691,0.7696
7,excl,62.51,6.15,1.82,2.36,1.94,34.26,-0.88,,69.2,7,0.1449,0.7687
7,allin,75.38,7.42,1.79,2.81,1.48,42.11,-0.88,,70.1,7,0.1253,0.7707
8,excl,61.59,6.06,2.15,2.1,1.89,28.66,-1.23,,72.4,8,0.1746,0.7691
8,allin,73.52,7.23,2.15,2.5,1.54,34.22,-1.23,,73.5,8,0.1525,0.771
9,excl,59.94,5.9,2.15,1.95,1.83,27.88,-1.33,,72.8,9,0.2003,0.7691
9,allin,70.56,6.94,2.15,2.29,1.57,32.82,-1.33,,73.9,9,0.1816,0.7711
10,excl,58.87,5.79,2.2,2.18,1.85,26.77,-1.26,,77.7,10,0.1938,0.7696
10,allin,68.28,6.72,2.2,2.51,1.62,31.05,-1.26,,77.6,10,0.1765,0.7716
11,excl,57.69,5.67,1.99,2.42,1.94,28.99,-1.33,,78.5,10,0.1639,0.77
11,allin,66.49,6.54,1.99,2.77,1.7,33.41,-1.33,,78.2,10,0.1488,0.7719
12,excl,56.61,5.57,2.0,2.5,1.98,28.29,-1.3,,79.3,11,0.1522,0.7703
12,allin,65.24,6.42,2.0,2.87,1.75,32.6,-1.3,,78.9,11,0.1404,0.7722
13,excl,56.69,5.58,1.86,2.57,2.02,30.45,-1.2,,80.8,12,0.1499,0.7707
13,allin,72.49,7.13,1.86,3.26,1.29,38.94,-1.2,,81.6,12,0.1364,0.9699
14,excl,56.3,5.54,1.45,2.67,2.08,38.8,-1.12,,81.6,13,0.1369,0.771
14,allin,71.4,7.02,1.45,3.36,1.36,49.2,-1.12,,82.7,13,0.1242,0.9699
15,excl,55.54,5.46,1.49,2.83,2.11,37.33,-1.11,,82.8,13,0.1351,0.7712
15,allin,69.78,6.86,1.49,3.52,1.38,46.9,-1.11,,83.7,14,0.1275,0.9699
16,excl,54.63,5.37,1.47,2.94,2.12,37.12,-1.04,,83.7,14,0.1314,0.8762
16,allin,68.08,6.7,1.47,3.6,1.42,46.27,-1.04,,84.5,15,0.1247,0.9699
17,excl,54.21,5.33,1.38,3.02,2.17,39.14,-0.98,,84.8,15,0.1258,0.8762
17,allin,70.94,6.98,1.38,3.89,1.21,51.22,-0.98,,85.4,16,0.1289,0.9723
18,excl,53.59,5.27,1.31,3.12,2.18,40.97,-0.92,,85.0,16,0.1252,0.8763
18,allin,73.68,7.25,1.37,4.22,1.04,53.74,-0.92,,85.5,17,0.1383,0.9723
19,excl,52.83,5.2,1.29,3.23,2.19,40.9,-0.88,,86.5,17,0.1212,0.8763
19,allin,71.95,7.08,1.32,4.33,1.07,54.46,-0.88,,87.6,18,0.1318,0.9723
20,excl,54.02,5.31,1.23,3.41,2.19,44.02,-0.83,,89.0,18,0.1235,0.8764
20,allin,77.24,7.6,1.58,4.77,0.96,49.02,-0.83,,90.7,19,0.1437,0.9723
21,excl,53.37,5.25,1.17,3.49,2.24,45.66,-0.79,,90.0,19,0.116,0.8764
21,allin,75.99,7.47,1.19,4.86,0.99,63.6,-0.79,,91.6,20,0.1332,0.9723
22,excl,52.69,5.18,1.16,3.55,2.3,45.38,-0.76,,90.1,20,0.1075,0.8764
22,allin,74.5,7.33,1.17,4.92,1.01,63.8,-0.76,,91.6,21,0.1223,0.9723
23,excl,52.19,5.13,1.29,3.7,2.34,40.52,-0.75,,90.7,20,0.1025,0.8764
23,allin,73.23,7.2,1.29,5.06,1.04,56.86,-0.75,,92.2,21,0.1157,0.9723
24,excl,51.58,5.07,1.23,3.75,2.37,41.8,-0.72,,91.2,21,0.098,0.8764
24,allin,71.74,7.06,1.23,5.1,1.06,58.13,-0.72,,92.7,22,0.1086,0.9723
25,excl,51.16,5.03,1.18,3.87,2.41,43.17,-0.69,,92.4,21,0.0938,0.8764
25,allin,70.65,6.95,1.18,5.17,1.09,59.62,-0.69,,93.9,22,0.1029,0.9723
