W,block,state,episodes,agree,base_all_states,excess
5,is,trending,721,0.6296809986130375,0.6155979202772963,0.014083078335741184
5,is,ranging,698,0.6475644699140402,0.6155979202772963,0.031966549636743835
5,is,trend-in-range,769,0.6007802340702211,0.6155979202772963,-0.014817686207075242
5,is,neither,697,0.5853658536585366,0.6155979202772963,-0.030232066618759768
5,oos,trending,472,0.576271186440678,0.6005208333333333,-0.024249646892655297
5,oos,ranging,478,0.6464435146443515,0.6005208333333333,0.045922681311018176
5,oos,trend-in-range,481,0.5841995841995842,0.6005208333333333,-0.016321249133749105
5,oos,neither,489,0.5950920245398773,0.6005208333333333,-0.005428808793455975
21,is,trending,719,0.5507649513212796,0.553088133240805,-0.0023231819195254078
21,is,ranging,698,0.5673352435530086,0.553088133240805,0.014247110312203604
21,is,trend-in-range,768,0.5651041666666666,0.553088133240805,0.01201603342586166
21,is,neither,697,0.5279770444763271,0.553088133240805,-0.025111088764477874
21,oos,trending,472,0.5423728813559322,0.5645833333333333,-0.022210451977401124
21,oos,ranging,478,0.600418410041841,0.5645833333333333,0.03583507670850772
21,oos,trend-in-range,481,0.5509355509355509,0.5645833333333333,-0.013647782397782415
21,oos,neither,489,0.5644171779141104,0.5645833333333333,-0.0001661554192229353
63,is,trending,706,0.5113314447592068,0.521891418563923,-0.010559973804716183
63,is,ranging,696,0.5416666666666666,0.521891418563923,0.01977524810274367
63,is,trend-in-range,761,0.5229960578186597,0.521891418563923,0.0011046392547366946
63,is,neither,692,0.5115606936416185,0.521891418563923,-0.010330724922304468
63,oos,trending,472,0.5084745762711864,0.5463541666666667,-0.03787959039548028
63,oos,ranging,478,0.5878661087866108,0.5463541666666667,0.041511942119944134
63,oos,trend-in-range,481,0.5135135135135135,0.5463541666666667,-0.03284065315315321
63,oos,neither,489,0.5746421267893661,0.5463541666666667,0.028287960122699407
