vintage,scope,state,pair_bars,agreement,expected,kappa
2009,all overlapping days,ALL,189765,0.9418280504834927,0.2654649906748797,0.9208043881122089
2009,all overlapping days,trending,53758,0.9429480263402656,,
2009,all overlapping days,ranging,63614,0.9609205520797309,,
2009,all overlapping days,trend-in-range,36079,0.9254413924997921,,
2009,all overlapping days,neither,36314,0.923004901690808,,
2009,post-vintage only,ALL,116676,0.9412047036237101,0.2655283486872776,0.919948855383043
2009,post-vintage only,trending,30653,0.9394186539653542,,
2009,post-vintage only,ranging,40380,0.9609955423476969,,
2009,post-vintage only,trend-in-range,22566,0.9261278028893025,,
2009,post-vintage only,neither,23077,0.9236902543658188,,
2012,all overlapping days,ALL,189769,0.9544182664186458,0.26461771994989053,0.9380162742318889
2012,all overlapping days,trending,53759,0.9713722353466396,,
2012,all overlapping days,ranging,63617,0.9504849332725529,,
2012,all overlapping days,trend-in-range,36079,0.9538789877768231,,
2012,all overlapping days,neither,36314,0.9367461585063612,,
2012,post-vintage only,ALL,95620,0.9530746705710103,0.26495935037687746,0.936159545117607
2012,post-vintage only,trending,25221,0.970104278180881,,
2012,post-vintage only,ranging,33223,0.9508774042079282,,
2012,post-vintage only,trend-in-range,18686,0.9568661029647865,,
2012,post-vintage only,neither,18490,0.9299621416982152,,
2015,all overlapping days,ALL,189771,1.0,0.26539859131992055,1.0
2015,all overlapping days,trending,53759,1.0,,
2015,all overlapping days,ranging,63619,1.0,,
2015,all overlapping days,trend-in-range,36079,1.0,,
2015,all overlapping days,neither,36314,1.0,,
2015,post-vintage only,ALL,74564,1.0,0.2694386370949066,1.0
2015,post-vintage only,trending,18065,1.0,,
2015,post-vintage only,ranging,27300,1.0,,
2015,post-vintage only,trend-in-range,14379,1.0,,
2015,post-vintage only,neither,14820,1.0,,
2018,all overlapping days,ALL,189766,0.9631071951772182,0.26464605846423994,0.9498298673075275
2018,all overlapping days,trending,53759,0.9830726017969085,,
2018,all overlapping days,ranging,63614,0.9556544156946584,,
2018,all overlapping days,trend-in-range,36079,0.9539344216857452,,
2018,all overlapping days,neither,36314,0.955719557195572,,
2018,post-vintage only,ALL,53592,0.9638752052545156,0.26990426202287465,0.9505204689379845
2018,post-vintage only,trending,13219,0.9829790453135638,,
2018,post-vintage only,ranging,19915,0.9527491840321366,,
2018,post-vintage only,trend-in-range,9710,0.9642636457260556,,
2018,post-vintage only,neither,10748,0.9606438407145516,,
2021,all overlapping days,ALL,189766,0.9522042937090943,0.2643616626775092,0.9350282552363051
2021,all overlapping days,trending,53759,0.9860860507077884,,
2021,all overlapping days,ranging,63614,0.936979281290282,,
2021,all overlapping days,trend-in-range,36079,0.9479475595221597,,
2021,all overlapping days,neither,36314,0.9329459712507573,,
2021,post-vintage only,ALL,32648,0.9481132075471698,0.268682241534316,0.9290502769115171
2021,post-vintage only,trending,7823,0.9831266777451105,,
2021,post-vintage only,ranging,12206,0.9317548746518106,,
2021,post-vintage only,trend-in-range,6119,0.9481941493708123,,
2021,post-vintage only,neither,6500,0.9366153846153846,,
2024,all overlapping days,ALL,189766,0.938866814919427,0.26395452902011846,0.9169437385448651
2024,all overlapping days,trending,53759,0.9820123142171543,,
2024,all overlapping days,ranging,63614,0.9189329392900933,,
2024,all overlapping days,trend-in-range,36079,0.9381357576429502,,
2024,all overlapping days,neither,36314,0.9106405243156909,,
2024,post-vintage only,ALL,11648,0.9390453296703297,0.28378904333668564,0.9148928541757501
2024,post-vintage only,trending,2911,0.9852284438337341,,
2024,post-vintage only,ranging,4746,0.9285714285714286,,
2024,post-vintage only,trend-in-range,2232,0.9592293906810035,,
2024,post-vintage only,neither,1759,0.8652643547470154,,
