stream,window,trade_year,slice,group,n,grade_median_R,tune_median_R,trade_median_R,share_positive,pooled_PF
routed,2011-2014,2016,ALL,graded-pass,82,0.4439872132587914,0.40849086787442523,-0.05634464428189555,0.3780487804878049,0.9136987102806938
routed,2011-2014,2016,ALL,graded-fail,168,-0.07589666276273141,0.5847615142592314,-0.058886151535311695,0.375,0.8577049375052902
routed,2011-2014,2016,ALL,all,250,0.0038546942676918,0.5245621260221965,-0.0583071442674115,0.376,0.878371847705601
routed,2012-2015,2017,ALL,graded-pass,47,0.2138616222284705,0.8744414531788968,-0.0125724317624482,0.46808510638297873,0.9540549233740633
routed,2012-2015,2017,ALL,graded-fail,203,-0.0809136559804362,0.9791272539756776,-0.0216691111032871,0.45320197044334976,0.9680800627968483
routed,2012-2015,2017,ALL,all,250,-0.03662033027047995,0.9706085506842985,-0.019862314265315602,0.456,0.9657710311488982
routed,2013-2016,2018,ALL,graded-pass,77,0.2285751556567238,0.9352705404391816,0.0826696532827226,0.6883116883116883,1.3376801686982085
routed,2013-2016,2018,ALL,graded-fail,173,-0.1315889264935511,0.9710364439526834,-0.0397153277209721,0.4624277456647399,1.0191523551928763
routed,2013-2016,2018,ALL,all,250,-0.029248997217762952,0.9619883873223987,0.0076676819787466,0.532,1.0950995672836359
routed,2014-2017,2019,ALL,graded-pass,90,0.2689760219140137,0.9400569595154322,-0.09941005239065184,0.4222222222222222,0.848496714935309
routed,2014-2017,2019,ALL,graded-fail,160,-0.11314468018971785,0.9401877104781626,-0.06774027700641361,0.39375,0.9365305396694711
routed,2014-2017,2019,ALL,all,250,0.0039114548302249495,0.9401877104781626,-0.07843801775284301,0.404,0.9092868138099093
routed,2015-2018,2020,ALL,graded-pass,38,0.20431481809702368,0.8657531098650872,-0.0128540244024167,0.4473684210526316,0.9548465540043778
routed,2015-2018,2020,ALL,graded-fail,212,-0.1312441710943735,0.963995487338672,-0.0231329533663715,0.4716981132075472,0.9916998059174572
routed,2015-2018,2020,ALL,all,250,-0.08634535278401095,0.9596342159199662,-0.021033519837307148,0.468,0.9861543714362947
routed,POOLED,0,ALL,graded-pass,334,0.24317858835981576,0.7321220682023108,-0.010512157738055701,0.4820359281437126,0.9825422943915166
routed,POOLED,0,ALL,graded-fail,916,-0.10403104797531194,0.9247295106805706,-0.0393651935397557,0.4344978165938865,0.9570210685602422
routed,POOLED,0,ALL,all,1250,-0.034661418694720156,0.884662216980239,-0.0291247773152194,0.4472,0.9633335215574556
routed,POOLED,0,A-chop,graded-pass,36,0.32265159631551193,0.4769936405499774,0.07851949813918585,0.5833333333333334,1.085225933986087
routed,POOLED,0,A-chop,graded-fail,104,-0.11138469797649561,0.44667447786456804,-0.0501485891873347,0.4230769230769231,0.9984320963941599
routed,POOLED,0,A-chop,all,140,-0.0107593889476505,0.45549103221031295,-0.018034998240925748,0.4642857142857143,1.0184290881688203
routed,POOLED,0,A-trend,graded-pass,129,0.2332246478846041,0.9721584179176432,-0.0349605631336238,0.4418604651162791,0.9224005788338195
routed,POOLED,0,A-trend,graded-fail,321,-0.1252584970849195,1.078615360641928,-0.0398718373898518,0.4392523364485981,0.9115566089302707
routed,POOLED,0,A-trend,all,450,-0.03807207878913475,1.0414711614339693,-0.03854864550566035,0.44,0.9145401151518093
routed,POOLED,0,B-chop,graded-pass,34,0.3010851360460647,0.43216600684902007,-0.014725454111391898,0.47058823529411764,0.8726059182544994
routed,POOLED,0,B-chop,graded-fail,106,-0.11025199976933259,0.4500447208943784,-0.00068201840888069,0.5,0.999005360429092
routed,POOLED,0,B-chop,all,140,-0.05599908317851725,0.44519218190790705,-0.00255903004761705,0.4928571428571429,0.9689221349834055
routed,POOLED,0,B-trend,graded-pass,135,0.2243345341981279,0.8317540069489541,-0.0024025618590206,0.4962962962962963,1.057052728178514
routed,POOLED,0,B-trend,graded-fail,385,-0.0901514070451533,1.0198874625350398,-0.0397153277209721,0.4155844155844156,0.9402057726822411
routed,POOLED,0,B-trend,all,520,-0.03527940033220345,0.9917019025936888,-0.0291247773152194,0.43653846153846154,0.9677368235268838
allon,2011-2014,2016,ALL,graded-pass,82,0.20644785330348525,0.15581564754739466,-0.0688667682736845,0.23170731707317074,0.8140280622037929
allon,2011-2014,2016,ALL,graded-fail,168,-0.0230806173141153,0.20415174061131364,-0.07752912712615931,0.25595238095238093,0.7924973212660251
allon,2011-2014,2016,ALL,all,250,0.032515092696690354,0.18147990432665356,-0.0754638198385668,0.248,0.7992653360754097
allon,2012-2015,2017,ALL,graded-pass,14,0.12435870680054155,0.3020909860729329,-0.03182920585338915,0.21428571428571427,0.744583328365848
allon,2012-2015,2017,ALL,graded-fail,236,-0.0885837171699605,0.27214281606049184,-0.01969062765877235,0.4406779661016949,0.9585956158709543
allon,2012-2015,2017,ALL,all,250,-0.08372689553344184,0.2737398729023106,-0.0200255948498759,0.428,0.9485787992602696
allon,2013-2016,2018,ALL,graded-pass,48,0.1403511835396997,0.21620109852977004,0.09875746210079936,0.7916666666666666,1.3439893473084696
allon,2013-2016,2018,ALL,graded-fail,202,-0.05318439042049025,0.26156637155392853,0.0197553732770153,0.5643564356435643,1.0680980831724811
allon,2013-2016,2018,ALL,all,250,-0.0175923908390822,0.25298078033792604,0.038311453318282895,0.608,1.111245618350406
allon,2014-2017,2019,ALL,graded-pass,81,0.1770293088049759,0.2305552491274509,-0.0584043355677529,0.2716049382716049,0.8316628590529598
allon,2014-2017,2019,ALL,graded-fail,169,-0.0239686135727586,0.2317434384960119,-0.0942981333488804,0.23668639053254437,0.7753398020851402
allon,2014-2017,2019,ALL,all,250,0.022378651975851448,0.23156134296467884,-0.08335864968858195,0.248,0.7933942236601061
allon,2015-2018,2020,ALL,graded-pass,8,0.16524035486151362,0.16468239912850635,-0.05543198315817195,0.125,0.8754920013410225
allon,2015-2018,2020,ALL,graded-fail,242,-0.0957824033213721,0.24766503270017187,-0.0070346063881363,0.4669421487603306,0.9549003841308007
allon,2015-2018,2020,ALL,all,250,-0.0927010425083471,0.2433127624699023,-0.0110708182366171,0.456,0.9527385844845772
allon,POOLED,0,ALL,graded-pass,233,0.1676373571485609,0.1962653365194662,-0.033639123695771,0.3562231759656652,0.9027027791798672
allon,POOLED,0,ALL,graded-fail,1017,-0.0596587108776624,0.2440334467742115,-0.0296245615399804,0.40707964601769914,0.9160630229649114
allon,POOLED,0,ALL,all,1250,-0.030581957581258153,0.23626348649471018,-0.03029669246935425,0.3976,0.9136838357134367
allon,POOLED,0,A-chop,graded-pass,23,0.2433548161383419,0.1400330602659346,-0.033639123695771,0.34782608695652173,0.9886733741971214
