stream,window,trade_year,slice,group,n,grade_median_R,tune_median_R,trade_median_R,share_positive,pooled_PF
routed,2011-2014,2016,ALL,graded-pass,40,0.21366897855541583,0.4548829275765479,0.068889286620677,0.6,1.0265556630043455
routed,2011-2014,2016,ALL,graded-fail,64,-0.0788244619530286,0.4436991518776161,0.06421915224238385,0.65625,1.1469639441036115
routed,2011-2014,2016,ALL,all,104,0.05802777913476975,0.4535329003883005,0.06715207337096321,0.6346153846153846,1.1032165003535626
routed,2012-2015,2017,ALL,graded-pass,36,0.24111914523339625,0.5660154496780754,-0.1033813297630975,0.3611111111111111,0.8833250043031896
routed,2012-2015,2017,ALL,graded-fail,68,-0.10376645568668044,0.5071595812180283,-0.0889117223035577,0.38235294117647056,0.8809621307504993
routed,2012-2015,2017,ALL,all,104,0.0343584587734821,0.522523957469442,-0.09209688074471259,0.375,0.8817613039595162
routed,2013-2016,2018,ALL,graded-pass,27,0.297720786687406,0.4119825910261367,0.287674512072999,0.7407407407407407,1.5767330265428283
routed,2013-2016,2018,ALL,graded-fail,77,-0.1489907198070519,0.465725862569685,0.1899769071552528,0.7662337662337663,1.7550681678835975
routed,2013-2016,2018,ALL,all,104,-0.08770375260220364,0.46318506640437446,0.19961399640529787,0.7596153846153846,1.7032008337877331
routed,2014-2017,2019,ALL,graded-pass,70,0.42153046524061877,0.40640429803353084,-0.002369811382105,0.5,1.143416236941322
routed,2014-2017,2019,ALL,graded-fail,34,-0.1616139422411706,0.9625994673141339,-0.1397734314413038,0.2647058823529412,0.8363258962231516
routed,2014-2017,2019,ALL,all,104,0.3034371439309207,0.4223170351850365,-0.0440070715129798,0.4230769230769231,1.0480530665738004
routed,2015-2018,2020,ALL,graded-pass,37,0.3019812703212636,0.5305470081214761,0.0835715159019146,0.5945945945945946,1.1685968588105302
routed,2015-2018,2020,ALL,graded-fail,67,-0.0800112486016739,0.4849266495205926,0.0814837789966707,0.6268656716417911,1.2383209095216958
routed,2015-2018,2020,ALL,all,104,0.0118174024308269,0.5004865427903133,0.08194743397758786,0.6153846153846154,1.2119342657954888
routed,POOLED,0,ALL,graded-pass,210,0.31009263275891347,0.44380944621631846,0.02841252853685525,0.5428571428571428,1.1259922267315936
