stream,window,slice,yardstick,n,spearman,p
routed,2011-2014,ALL,sortino,250,0.044333125330005274,0.4853032151851716
routed,2011-2014,ALL,expectancy_R,250,0.055155954495271914,0.3851847334445483
routed,2011-2014,ALL,profit_factor,250,0.007182080702899434,0.9100376748435397
routed,2011-2014,ALL,calmar,250,-0.002500264004224067,0.9686236316794046
routed,2011-2014,ALL,g3,250,0.05242849312472735,0.4091554937605081
routed,2012-2015,ALL,sortino,246,-0.0424047252948775,0.5079696084662293
routed,2012-2015,ALL,expectancy_R,250,-0.032699275188403015,0.6068552802035888
routed,2012-2015,ALL,profit_factor,250,-0.02822850303157924,0.6569098869879608
routed,2012-2015,ALL,calmar,250,-0.04049536792588681,0.5239029744292252
routed,2012-2015,ALL,g3,250,-0.00405882734019379,0.9490862105237861
routed,2013-2016,ALL,sortino,250,0.217761820189123,0.0005251927546361348
routed,2013-2016,ALL,expectancy_R,250,0.2473157010512168,7.737775008805155e-05
routed,2013-2016,ALL,profit_factor,250,0.25467430993033924,4.6222444594007143e-05
routed,2013-2016,ALL,calmar,250,0.2641781788508616,2.321309990805595e-05
routed,2013-2016,ALL,g3,250,0.2563243200330691,4.1090792320233255e-05
routed,2014-2017,ALL,sortino,243,0.019583147253291314,0.7613365480911516
routed,2014-2017,ALL,expectancy_R,250,-0.022834925358805738,0.7193786763424463
routed,2014-2017,ALL,profit_factor,248,-0.00043901506428104057,0.9945116439369159
routed,2014-2017,ALL,calmar,250,-0.030516584265348243,0.631082833072345
routed,2014-2017,ALL,g3,250,-0.0012325874797352871,0.9845289850212637
routed,2015-2018,ALL,sortino,245,0.04362255097960816,0.49673709062332905
routed,2015-2018,ALL,expectancy_R,250,0.014154082465319443,0.8237804518882487
routed,2015-2018,ALL,profit_factor,250,0.053018840468204625,0.4038936581051791
routed,2015-2018,ALL,calmar,250,0.0254500072001152,0.6888264463187184
routed,2015-2018,ALL,g3,250,0.009642429172013856,0.8794238271773964
routed,POOLED,ALL,sortino,1234,0.043071445714699265,0.13048384878787778
routed,POOLED,ALL,expectancy_R,1250,0.029703362114151758,0.2940155357655081
routed,POOLED,ALL,profit_factor,1248,0.03841797816188987,0.174992825119985
routed,POOLED,ALL,calmar,1250,0.024330080467251502,0.3900840929422099
routed,POOLED,ALL,g3,1250,0.05289068290578097,0.06156638739924574
routed,POOLED,A-chop,sortino,140,0.029065622881633908,0.733180501767718
routed,POOLED,A-chop,expectancy_R,140,0.043725262950733645,0.6079713800866422
routed,POOLED,A-chop,profit_factor,140,0.048645339047910616,0.5681642787567933
routed,POOLED,A-chop,calmar,140,0.0586735474842011,0.4910723746918598
routed,POOLED,A-chop,g3,140,0.056124539883433334,0.51012683770562
routed,POOLED,A-trend,sortino,443,0.01828671567086121,0.7011003817963346
routed,POOLED,A-trend,expectancy_R,450,0.015596258088517312,0.7414404099550483
