stream,window,slice,yardstick,n,spearman,p
routed,2011-2014,ALL,sortino,250,0.05711668986703787,0.3684914703054232
routed,2011-2014,ALL,expectancy_R,250,0.060280900494407916,0.3425129982226932
routed,2011-2014,ALL,profit_factor,250,0.012754005859174007,0.840967503701419
routed,2011-2014,ALL,calmar,250,0.006302692843085488,0.9210144996257577
routed,2011-2014,ALL,g3,250,0.039253396921702675,0.5367213971711107
routed,2012-2015,ALL,sortino,246,-0.01197163372112941,0.8518032625581566
routed,2012-2015,ALL,expectancy_R,250,-0.01861008976143618,0.7696734506328925
routed,2012-2015,ALL,profit_factor,250,-0.008447046404375574,0.894278349283214
routed,2012-2015,ALL,calmar,250,-0.01843805500888014,0.7717436445652985
routed,2012-2015,ALL,g3,250,0.009850963023050078,0.8768366295109089
routed,2013-2016,ALL,sortino,250,0.20651581625306004,0.0010219454291655221
routed,2013-2016,ALL,expectancy_R,250,0.24575817213075407,8.612134177925939e-05
routed,2013-2016,ALL,profit_factor,250,0.24906074105267983,6.857491294372092e-05
routed,2013-2016,ALL,calmar,250,0.26173436374981995,2.778101873445641e-05
routed,2013-2016,ALL,g3,250,0.24417762144067967,9.593674482107584e-05
routed,2014-2017,ALL,sortino,244,0.00452275627919656,0.9439665905840737
routed,2014-2017,ALL,expectancy_R,250,-0.030448231171698748,0.6318481268799023
routed,2014-2017,ALL,profit_factor,249,-0.021481693090819636,0.7358842004998463
routed,2014-2017,ALL,calmar,250,-0.04110670570729131,0.5176511377291324
routed,2014-2017,ALL,g3,250,-0.02824662272436957,0.6567036966101705
routed,2015-2018,ALL,sortino,245,0.03053962088633935,0.634297361097824
routed,2015-2018,ALL,expectancy_R,250,0.0016807948927182836,0.9789043687784316
routed,2015-2018,ALL,profit_factor,250,0.042650708769703304,0.5020339918361509
routed,2015-2018,ALL,calmar,250,0.020793548696779147,0.7435449202060535
routed,2015-2018,ALL,g3,250,0.020577576985454323,0.7461168709163635
routed,POOLED,ALL,sortino,1235,0.04141586816976413,0.1457772035705648
routed,POOLED,ALL,expectancy_R,1250,0.027671324973647986,0.3283031333497709
routed,POOLED,ALL,profit_factor,1249,0.03303650990825417,0.2433318879390287
routed,POOLED,ALL,calmar,1250,0.026191517050570913,0.3548399109703938
routed,POOLED,ALL,g3,1250,0.04704976045509415,0.09636912876838534
routed,POOLED,A-chop,sortino,140,0.0250508407863375,0.7689151324051466
routed,POOLED,A-chop,expectancy_R,140,0.045387155321335644,0.5943881252392874
routed,POOLED,A-chop,profit_factor,140,0.040069099735409244,0.6383248214246419
routed,POOLED,A-chop,calmar,140,0.06749907065229277,0.4281253222421103
routed,POOLED,A-chop,g3,140,0.08206645574137776,0.33507356215563167
routed,POOLED,A-trend,sortino,443,0.01664581959363529,0.7267978066272629
routed,POOLED,A-trend,expectancy_R,450,0.008385819189230566,0.8591954358480642
routed,POOLED,A-trend,profit_factor,450,0.0003564829995667422,0.9939831187834045
routed,POOLED,A-trend,calmar,450,-0.004277683675804161,0.927896727450481
routed,POOLED,A-trend,g3,450,-0.00734528482600887,0.8765172268473105
routed,POOLED,B-chop,sortino,140,-0.06621329076556386,0.4369960902944584
routed,POOLED,B-chop,expectancy_R,140,-0.08330454177691282,0.32780844285126287
routed,POOLED,B-chop,profit_factor,140,-0.058061271347663514,0.495614504647212
routed,POOLED,B-chop,calmar,140,-0.09213006494500449,0.2789732294825827
routed,POOLED,B-chop,g3,140,-0.02457037586754218,0.773226047720008
routed,POOLED,B-trend,sortino,512,0.07351757318524622,0.09657371956870779
routed,POOLED,B-trend,expectancy_R,520,0.06490365946392039,0.1394002432440448
routed,POOLED,B-trend,profit_factor,519,0.062028967642315344,0.158224218969119
routed,POOLED,B-trend,calmar,520,0.05615735379085095,0.20106894195287375
routed,POOLED,B-trend,g3,520,0.09985787953640096,0.02276683851776509
allon,2011-2014,ALL,sortino,250,0.06272087553400854,0.3232961767393142
allon,2011-2014,ALL,expectancy_R,250,0.05271674746795948,0.40658120143340615
allon,2011-2014,ALL,profit_factor,250,0.04311275380406086,0.49740918338452933
allon,2011-2014,ALL,calmar,250,-0.009548312773004367,0.8805919133065153
allon,2011-2014,ALL,g3,250,0.005112080535444139,0.9358996122872303
allon,2012-2015,ALL,sortino,249,-0.1325860862806063,0.03653832390432451
allon,2012-2015,ALL,expectancy_R,250,-0.12592137474199588,0.046708103530570345
allon,2012-2015,ALL,profit_factor,250,-0.13477886046176737,0.03316421974136115
allon,2012-2015,ALL,calmar,250,-0.13462909806556903,0.033361892682510955
allon,2012-2015,ALL,g3,250,-0.09747149160468216,0.12426924361599587
allon,2013-2016,ALL,sortino,250,0.3644421830749292,2.868303509226392e-09
allon,2013-2016,ALL,expectancy_R,250,0.35867210675370803,5.2804119231922226e-09
allon,2013-2016,ALL,profit_factor,250,0.3332532040512648,6.743440878570156e-08
allon,2013-2016,ALL,calmar,250,0.31860413766620266,2.6456722457242516e-07
allon,2013-2016,ALL,g3,250,0.2535790944773073,4.995593009596236e-05
allon,2014-2017,ALL,sortino,250,0.055677434838957415,0.3807007351351982
allon,2014-2017,ALL,expectancy_R,250,0.10907732923726779,0.08522181004717368
allon,2014-2017,ALL,profit_factor,250,0.15921854749675993,0.011703783914155625
allon,2014-2017,ALL,calmar,250,0.12866317861085774,0.042092533662470295
allon,2014-2017,ALL,g3,250,0.03970307347681803,0.5320622235746403
allon,2015-2018,ALL,sortino,250,0.0626617385878174,0.3237535060763861
allon,2015-2018,ALL,expectancy_R,250,0.03816752268036288,0.5480557592384789
allon,2015-2018,ALL,profit_factor,250,0.02247703163250612,0.7235961796795278
allon,2015-2018,ALL,calmar,250,0.018040992655882493,0.7765278743473678
allon,2015-2018,ALL,g3,250,-0.023311363668710793,0.7137773861771708
allon,POOLED,ALL,sortino,1249,-0.0059528484325922296,0.833533441833411
allon,POOLED,ALL,expectancy_R,1250,-0.017998555391075453,0.5249329361942705
allon,POOLED,ALL,profit_factor,1250,-0.02289169852584871,0.41872224509668654
allon,POOLED,ALL,calmar,1250,-0.04164821507085765,0.14111483831812371
allon,POOLED,ALL,g3,1250,-0.0245000293081801,0.38678079602249804
allon,POOLED,A-chop,sortino,140,0.11776694146202796,0.1658166265371121
allon,POOLED,A-chop,expectancy_R,140,0.15602982659465134,0.06563478299763624
allon,POOLED,A-chop,profit_factor,140,0.1550370645732654,0.06739174350020907
allon,POOLED,A-chop,calmar,140,0.1566158623253373,0.06461528617739368
allon,POOLED,A-chop,g3,140,0.11764422183670645,0.16626124920676696
allon,POOLED,A-trend,sortino,450,-0.04825169507009912,0.3071023302888605
allon,POOLED,A-trend,expectancy_R,450,-0.0663532494810674,0.15996210098237643
allon,POOLED,A-trend,profit_factor,450,-0.05698220731954233,0.22766578567648652
allon,POOLED,A-trend,calmar,450,-0.09352006676576181,0.047402123950776566
allon,POOLED,A-trend,g3,450,-0.09289531838783655,0.04890870998296676
allon,POOLED,B-chop,sortino,140,-0.1048566617830356,0.2175908833619318
allon,POOLED,B-chop,expectancy_R,140,-0.10197459054033371,0.2305706509876441
allon,POOLED,B-chop,profit_factor,140,-0.06295948043996415,0.4599061395634796
allon,POOLED,B-chop,calmar,140,-0.09481970654479456,0.2651178340708199
allon,POOLED,B-chop,g3,140,0.054186502101548885,0.5248659854244713
allon,POOLED,B-trend,sortino,519,-0.0255516394244718,0.561376747698654
allon,POOLED,B-trend,expectancy_R,520,-0.03277771566633581,0.4557588743658787
allon,POOLED,B-trend,profit_factor,520,-0.02247422446816253,0.6091252945662128
allon,POOLED,B-trend,calmar,520,-0.03822419689194343,0.38437358356546303
allon,POOLED,B-trend,g3,520,-0.02845922671694279,0.5172827528611603
