stream,window,slice,yardstick,n,spearman,p
routed,2011-2014,ALL,sortino,102,0.041079779023019375,0.6818460913571842
routed,2011-2014,ALL,expectancy_R,104,-0.015213912301290943,0.8781729558505872
routed,2011-2014,ALL,profit_factor,103,-0.022871608728089795,0.8186212960065854
routed,2011-2014,ALL,calmar,104,-0.0708366340465393,0.4748796816879579
routed,2011-2014,ALL,g3,104,0.02266494251039619,0.8193557249181398
routed,2012-2015,ALL,sortino,101,0.04735002912055911,0.638210280181085
routed,2012-2015,ALL,expectancy_R,104,-0.02887015896724635,0.7711115557407926
routed,2012-2015,ALL,profit_factor,104,-0.04868238557558947,0.6235992957511285
routed,2012-2015,ALL,calmar,104,-0.1436573135602262,0.14570408964400683
routed,2012-2015,ALL,g3,104,-0.040752154410610746,0.6812633210581369
routed,2013-2016,ALL,sortino,102,0.04706800376608077,0.6385226424182272
routed,2013-2016,ALL,expectancy_R,104,0.03442343546218225,0.7286578093821405
routed,2013-2016,ALL,profit_factor,103,-0.026803438703915074,0.7881192863713715
routed,2013-2016,ALL,calmar,104,-0.0022138115166287983,0.9822057008971632
routed,2013-2016,ALL,g3,104,-0.03413399793157151,0.7308516241888339
routed,2014-2017,ALL,sortino,103,0.19097433869842892,0.05331652852637544
routed,2014-2017,ALL,expectancy_R,104,0.1910871177164073,0.052003325570557285
routed,2014-2017,ALL,profit_factor,104,0.17269560486854324,0.07959038728143147
routed,2014-2017,ALL,calmar,104,0.05328631860833569,0.5911087319135382
routed,2014-2017,ALL,g3,104,0.09235272854579792,0.3511151816527067
routed,2015-2018,ALL,sortino,102,-0.005004269179110957,0.9601876884902463
routed,2015-2018,ALL,expectancy_R,104,0.04766934460257011,0.6308494076423221
routed,2015-2018,ALL,profit_factor,104,0.04477922469020298,0.6517246947584501
routed,2015-2018,ALL,calmar,104,-0.0036488173352907296,0.970675441728098
routed,2015-2018,ALL,g3,104,-0.06813900658368316,0.49190307006202594
routed,POOLED,ALL,sortino,510,0.013610068728818526,0.7591336583966126
routed,POOLED,ALL,expectancy_R,520,-0.005943824075506582,0.8924418411614579
routed,POOLED,ALL,profit_factor,518,-0.03055506661557587,0.48774271318395657
routed,POOLED,ALL,calmar,520,-0.06668121639327339,0.12886397626418822
routed,POOLED,ALL,g3,520,-0.06026569497468399,0.1699982072889518
routed,POOLED,C-trend,sortino,510,0.013610068728818526,0.7591336583966126
routed,POOLED,C-trend,expectancy_R,520,-0.005943824075506582,0.8924418411614579
routed,POOLED,C-trend,profit_factor,518,-0.03055506661557587,0.48774271318395657
routed,POOLED,C-trend,calmar,520,-0.06668121639327339,0.12886397626418822
routed,POOLED,C-trend,g3,520,-0.06026569497468399,0.1699982072889518
allon,2011-2014,ALL,sortino,104,-0.12127387175930868,0.22007072446273243
allon,2011-2014,ALL,expectancy_R,104,-0.11494718873359652,0.24526633548462207
allon,2011-2014,ALL,profit_factor,104,-0.05113624239837833,0.6061868755234802
allon,2011-2014,ALL,calmar,104,-0.034183292435719624,0.7304778387326902
allon,2011-2014,ALL,g3,104,0.04382342768118421,0.6586890463999533
allon,2012-2015,ALL,sortino,104,-0.08824282513602903,0.37305436571163864
allon,2012-2015,ALL,expectancy_R,104,-0.1081724101141577,0.2743830413707584
allon,2012-2015,ALL,profit_factor,104,-0.12204203563426866,0.21714093933241962
allon,2012-2015,ALL,calmar,104,-0.10954870372346101,0.26828742644057135
allon,2012-2015,ALL,g3,104,-0.0997733516627275,0.31359273246145686
allon,2013-2016,ALL,sortino,104,0.21242931825456102,0.030391296225825856
allon,2013-2016,ALL,expectancy_R,104,0.21150112023898432,0.031140499004242265
allon,2013-2016,ALL,profit_factor,104,0.18371919342793133,0.061921885269055
allon,2013-2016,ALL,calmar,104,0.1619332124186493,0.10052774895252731
allon,2013-2016,ALL,g3,104,0.1535790502011587,0.11958324791375761
allon,2014-2017,ALL,sortino,104,0.24530631949921755,0.012077142136400683
allon,2014-2017,ALL,expectancy_R,104,0.17661948314232018,0.07288808480484459
allon,2014-2017,ALL,profit_factor,104,0.15465207151466384,0.11699024120911482
allon,2014-2017,ALL,calmar,104,0.14438318676885556,0.14365812720652066
allon,2014-2017,ALL,g3,104,0.05323256285970882,0.5914836339595158
allon,2015-2018,ALL,sortino,104,-0.18157473594366802,0.06508237021529568
allon,2015-2018,ALL,expectancy_R,104,-0.15619332124186494,0.1133421133883739
allon,2015-2018,ALL,profit_factor,104,-0.17610156833457807,0.07374574429017275
allon,2015-2018,ALL,calmar,104,-0.12853942174330524,0.19346094536856168
allon,2015-2018,ALL,g3,104,-0.02405620054593562,0.8084732726136462
allon,POOLED,ALL,sortino,520,-0.06835923810794217,0.11949405159237528
allon,POOLED,ALL,expectancy_R,520,-0.07680265822563619,0.08016309725942532
allon,POOLED,ALL,profit_factor,520,-0.07168210549713512,0.10251722528421434
allon,POOLED,ALL,calmar,520,-0.07101407558859761,0.10576701687006809
allon,POOLED,ALL,g3,520,-0.03148046617629009,0.47379681769777315
allon,POOLED,C-trend,sortino,520,-0.06835923810794217,0.11949405159237528
allon,POOLED,C-trend,expectancy_R,520,-0.07680265822563619,0.08016309725942532
allon,POOLED,C-trend,profit_factor,520,-0.07168210549713512,0.10251722528421434
allon,POOLED,C-trend,calmar,520,-0.07101407558859761,0.10576701687006809
allon,POOLED,C-trend,g3,520,-0.03148046617629009,0.47379681769777315
