stream,window,slice,yardstick,n,spearman,p
routed,2011-2014,ALL,sortino,102,0.016064370571837308,0.8726818178522262
routed,2011-2014,ALL,expectancy_R,104,0.0019310786301077567,0.9844779640923373
routed,2011-2014,ALL,profit_factor,103,-0.029411764705882353,0.7680567522266867
routed,2011-2014,ALL,calmar,104,-0.07490664675130694,0.4498105853110872
routed,2011-2014,ALL,g3,104,0.0320876295325323,0.7464232260857385
routed,2012-2015,ALL,sortino,101,0.049633080955154334,0.6220822082259565
routed,2012-2015,ALL,expectancy_R,104,-0.028091326149578582,0.7771232632772191
routed,2012-2015,ALL,profit_factor,104,-0.06594473487677371,0.5059843449649968
routed,2012-2015,ALL,calmar,104,-0.16069561506454713,0.10318975767708986
routed,2012-2015,ALL,g3,104,-0.014503597490391826,0.8838201267579149
routed,2013-2016,ALL,sortino,102,0.043528290844700834,0.6639964502857698
routed,2013-2016,ALL,expectancy_R,104,0.020585779861856706,0.8356824587539834
routed,2013-2016,ALL,profit_factor,103,-0.03727550541327095,0.7085396493406257
routed,2013-2016,ALL,calmar,104,-0.012541375603841698,0.8994496569089878
routed,2013-2016,ALL,g3,104,-0.01710408697659157,0.8631760863251919
routed,2014-2017,ALL,sortino,103,0.1681301241605026,0.08958005546140238
routed,2014-2017,ALL,expectancy_R,104,0.20152139934599034,0.0402298839428324
routed,2014-2017,ALL,profit_factor,104,0.18095349867932706,0.06602204315093696
routed,2014-2017,ALL,calmar,104,0.0536917405939432,0.5882847216468886
routed,2014-2017,ALL,g3,104,0.1216441217577845,0.21865511762306047
routed,2015-2018,ALL,sortino,102,0.001803798721058074,0.9856444664486406
routed,2015-2018,ALL,expectancy_R,104,0.05477493625550468,0.5807699037142366
routed,2015-2018,ALL,profit_factor,104,0.052439811615998956,0.5970248727197851
routed,2015-2018,ALL,calmar,104,0.0043529750666626245,0.9650196008920018
routed,2015-2018,ALL,g3,104,-0.03167481310408206,0.749577141742277
routed,POOLED,ALL,sortino,510,0.011842099103321001,0.7896344006522719
routed,POOLED,ALL,expectancy_R,520,-0.003250581464529578,0.9410529747711142
routed,POOLED,ALL,profit_factor,518,-0.03138320496618148,0.4760192611895345
routed,POOLED,ALL,calmar,520,-0.06569608940225782,0.13462428063301526
routed,POOLED,ALL,g3,520,-0.03882107714651306,0.3769880854841766
routed,POOLED,C-trend,sortino,510,0.011842099103321001,0.7896344006522719
routed,POOLED,C-trend,expectancy_R,520,-0.003250581464529578,0.9410529747711142
routed,POOLED,C-trend,profit_factor,518,-0.03138320496618148,0.4760192611895345
routed,POOLED,C-trend,calmar,520,-0.06569608940225782,0.13462428063301526
routed,POOLED,C-trend,g3,520,-0.03882107714651306,0.3769880854841766
allon,2011-2014,ALL,sortino,104,-0.11611010348874429,0.24049159968260417
allon,2011-2014,ALL,expectancy_R,104,-0.10616664888509549,0.2834322873504736
allon,2011-2014,ALL,profit_factor,104,-0.04388136135708952,0.6582660774620257
allon,2011-2014,ALL,calmar,104,-0.04569508161741172,0.6450793182109518
allon,2011-2014,ALL,g3,104,0.025386944590069738,0.7980981774284237
allon,2012-2015,ALL,sortino,104,-0.11018884028592767,0.2654837236847386
allon,2012-2015,ALL,expectancy_R,104,-0.1388776272271418,0.1597285052045929
allon,2012-2015,ALL,profit_factor,104,-0.1434652725914862,0.14624903930347702
allon,2012-2015,ALL,calmar,104,-0.14215299263842954,0.15001406032896503
allon,2012-2015,ALL,g3,104,-0.1348985813205275,0.1721513578848381
allon,2013-2016,ALL,sortino,104,0.22282086845193644,0.022993973010828127
allon,2013-2016,ALL,expectancy_R,104,0.21622746185852984,0.027482526950545545
allon,2013-2016,ALL,profit_factor,104,0.1900778832817668,0.05327910956917493
allon,2013-2016,ALL,calmar,104,0.16420569721540598,0.09578045377360023
allon,2013-2016,ALL,g3,104,0.1623814955130968,0.09957692845961494
allon,2014-2017,ALL,sortino,104,0.24446347077722397,0.012384787439932996
allon,2014-2017,ALL,expectancy_R,104,0.18491460822270037,0.06021513321859834
allon,2014-2017,ALL,profit_factor,104,0.15203283909378495,0.12339746851314425
allon,2014-2017,ALL,calmar,104,0.13858460094096278,0.1606199197540009
allon,2014-2017,ALL,g3,104,0.04499304558786415,0.6501707642335293
allon,2015-2018,ALL,sortino,104,-0.15641736903872827,0.11281922611019295
allon,2015-2018,ALL,expectancy_R,104,-0.13771471247199407,0.16328801968197948
allon,2015-2018,ALL,profit_factor,104,-0.1585084818094527,0.10802883746007887
allon,2015-2018,ALL,calmar,104,-0.09344926917742453,0.34540071498486535
allon,2015-2018,ALL,g3,104,-0.05756820853830712,0.5615984249257364
allon,POOLED,ALL,sortino,520,-0.06339213383367942,0.14886940542868968
allon,POOLED,ALL,expectancy_R,520,-0.07260382035017954,0.09816394287862663
allon,POOLED,ALL,profit_factor,520,-0.0686385262428114,0.11798754295503483
allon,POOLED,ALL,calmar,520,-0.07161259283530136,0.10285164918451589
allon,POOLED,ALL,g3,520,-0.04228863954651308,0.3358289968794541
allon,POOLED,C-trend,sortino,520,-0.06339213383367942,0.14886940542868968
allon,POOLED,C-trend,expectancy_R,520,-0.07260382035017954,0.09816394287862663
allon,POOLED,C-trend,profit_factor,520,-0.0686385262428114,0.11798754295503483
allon,POOLED,C-trend,calmar,520,-0.07161259283530136,0.10285164918451589
allon,POOLED,C-trend,g3,520,-0.04228863954651308,0.3358289968794541
