window,years_after,median_R,share_positive,n
2011-2014,1,0.05543415334568995,0.5865384615384616,104
2011-2014,2,0.06595799099729041,0.625,104
2011-2014,3,-0.05508365073079145,0.4326923076923077,104
2011-2014,4,0.1910280864563827,0.7403846153846154,103
2011-2014,5,0.0084831243417592,0.5096153846153846,104
2011-2014,6,0.08518215841240614,0.6538461538461539,104
2012-2015,1,0.050007861911850554,0.5673076923076923,104
2012-2015,2,-0.08974202792784855,0.3942307692307692,104
2012-2015,3,0.23045994956551874,0.7403846153846154,104
2012-2015,4,-0.0564298237709929,0.4326923076923077,104
2012-2015,5,0.03437322412912715,0.5576923076923077,104
2013-2016,1,-0.08203858394730165,0.3557692307692308,104
2013-2016,2,0.19650537274050506,0.7596153846153846,104
2013-2016,3,-0.07399218613332495,0.41346153846153844,104
2013-2016,4,0.08222736995805735,0.6153846153846154,104
2014-2017,1,0.2947900716210311,0.7596153846153846,104
2014-2017,2,-0.04657549547054855,0.4230769230769231,104
2014-2017,3,0.0820199925803193,0.5865384615384616,104
2015-2018,1,0.0051843381776205,0.5192307692307693,104
2015-2018,2,0.07737472420000244,0.625,104
