window,years_after,median_R,share_positive,n
2011-2014,1,0.05802777913476975,0.5769230769230769,104
2011-2014,2,0.06715207337096321,0.6346153846153846,104
2011-2014,3,-0.0510150642088632,0.4423076923076923,104
2011-2014,4,0.2066005602986416,0.7403846153846154,103
2011-2014,5,0.01814560269018505,0.5096153846153846,104
2011-2014,6,0.08696518494853064,0.6634615384615384,104
2012-2015,1,0.0343584587734821,0.5384615384615384,104
2012-2015,2,-0.09209688074471259,0.375,104
2012-2015,3,0.23354739980716835,0.7403846153846154,104
2012-2015,4,-0.047918594906442555,0.4423076923076923,104
2012-2015,5,0.033046442138003895,0.5576923076923077,104
2013-2016,1,-0.08770375260220364,0.36538461538461536,104
2013-2016,2,0.19961399640529787,0.7596153846153846,104
2013-2016,3,-0.06964322311458959,0.4230769230769231,104
2013-2016,4,0.08987408270004299,0.625,104
2014-2017,1,0.3034371439309207,0.7596153846153846,104
2014-2017,2,-0.0440070715129798,0.4230769230769231,104
2014-2017,3,0.0834591694846536,0.5865384615384616,104
2015-2018,1,0.0118174024308269,0.5288461538461539,104
2015-2018,2,0.08194743397758786,0.6153846153846154,104
