component,kind,count,detail
"zfit mean & sd, per pair per score component",REFIT,336,"6 components survive into the shipped score (disp, seq | hold, fails, inside, revert; `tests` dropped by DROP_TESTS) x 28 pairs x 2 statistics"
"score cut points mt, mc",REFIT,2,"pooled medians of the bumped trend score and the chop score over the fit window; global, not per pair"
"activity tercile cuts, per pair",REFIT,56,fit_frac builds the empirical CDF of the scale axis on the fit window; the operative cuts are its 1/3 and 2/3 quantiles
W = 106 lookback,FIXED,0,"locked window, not estimated"
N_SCORE = 19 swing width,FIXED,0,locked swing width
"KFAIL = 20, VOLWIN = 60, L = 28",FIXED,0,"failed-swing window, vol window, scale-axis lookback"
DWELL = 5 confirmation bars,FIXED,0,categorical hysteresis on the label
BAND = 0.25 tercile hysteresis,FIXED,0,hysteresis band around each tercile boundary
equal weights inside each score,FIXED,0,"deliberately not fitted -- fitting weights would be a search against a target, and the target is a description"
"2x2 cell definitions, 1/3-2/3 and 0.5 cuts",FIXED,0,"boundaries by construction, not estimated"
DROP_TESTS = True,SELECTED-ON-IS,0,"chosen by in-sample comparison, held fixed across vintages"
BUMP = 0.75,SELECTED-ON-IS,0,"chosen by in-sample comparison, held fixed across vintages"
