window,trade,stream,n,build_median_R,trade_median_R,share_positive,median_retention,passers_on_window,regime_dependent
2011-2014,2016,routed,104,0.4535329003883005,0.06715207337096321,0.6346153846153846,0.14486574015227477,104,103
2011-2014,2016,allon,104,0.1285482134184408,-0.08010108584117365,0.36538461538461536,-0.47034638225057124,104,103
2012-2015,2017,routed,104,0.522523957469442,-0.09209688074471259,0.375,-0.1685640145368697,104,104
2012-2015,2017,allon,104,0.205260875591502,-0.00539850635722155,0.49038461538461536,-0.02452079117465211,104,104
2013-2016,2018,routed,104,0.46318506640437446,0.19961399640529787,0.7596153846153846,0.4248057659696495,104,104
2013-2016,2018,allon,104,0.1668605362887336,0.07303726984078321,0.7884615384615384,0.5343169387995244,104,104
2014-2017,2019,routed,104,0.4223170351850365,-0.0440070715129798,0.4230769230769231,-0.08179355153948831,104,104
2014-2017,2019,allon,104,0.1388121663201755,-0.00480102488253395,0.4807692307692308,-0.0124915058556451,104,104
2015-2018,2020,routed,104,0.5004865427903133,0.08194743397758786,0.6153846153846154,0.14398108258434036,101,102
2015-2018,2020,allon,104,0.1787706653696961,0.01303543966393095,0.5288461538461539,0.06307382537484306,101,102
