window,trade,stream,n,build_median_R,trade_median_R,share_positive,median_retention,passers_on_window,regime_dependent
2011-2015,2016,routed,250,0.9794706701314846,-0.04451813894116685,0.428,-0.04078778366335245,250,250
2011-2015,2016,allon,250,0.28048010108724886,-0.0832997878570058,0.252,-0.2971306872604912,250,250
2012-2016,2017,routed,250,0.9229924136316352,-0.017668861711746447,0.46,-0.020503993443242625,250,250
2012-2016,2017,allon,250,0.23836834037407006,-0.00357157374528785,0.488,-0.018906558879003554,250,250
2013-2017,2018,routed,250,0.9559162863569758,0.040543338442932744,0.548,0.03181345895144001,250,250
2013-2017,2018,allon,250,0.24078772418699879,0.035808678387872744,0.616,0.11596544248165963,250,250
2014-2018,2019,routed,250,0.9250178232449061,-0.08184294523252006,0.368,-0.09026171346655829,249,250
2014-2018,2019,allon,250,0.24382861327974448,-0.07817923886223854,0.244,-0.3182598940474328,249,250
2015-2019,2020,routed,250,0.879822117923962,-0.00457643383389955,0.488,-0.006333236207053314,250,250
2015-2019,2020,allon,250,0.2153261856017779,-0.01572038567133545,0.448,-0.06608256990579364,250,250
