# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
slice,inside,trades,mean_R,sum_R,win_rate,R_per_year,book
A-chop,False,162231,-0.1205636001867471,-19559.153421896182,0.2938464288576166,-3911.830684379237,H10_ROUTED_repro
A-chop,True,99581,-0.0241894504200855,-2408.809662282543,0.3216778301081531,-481.7619324565086,H10_ROUTED_repro
A-trend,False,866066,-0.0369206039005214,-31975.67973770897,0.2909339472973191,-6395.135947541794,H10_ROUTED_repro
A-trend,True,214276,-0.0493396185061152,-10572.296095016343,0.2891737758778398,-2114.459219003269,H10_ROUTED_repro
B-chop,False,154845,-0.0695712203153606,-10772.755609732025,0.2687913720171784,-2154.551121946405,H10_ROUTED_repro
B-chop,True,102621,-0.0045260824298023,-464.4711050287434,0.2897165297551183,-92.89422100574868,H10_ROUTED_repro
B-trend,False,1075968,-0.0249982624462259,-26897.33044774088,0.2711316693433262,-5379.466089548177,H10_ROUTED_repro
B-trend,True,273846,-0.0301959278582082,-8269.034060258884,0.2739788056060706,-1653.806812051777,H10_ROUTED_repro
A-chop,neither,48762,-0.0396743114013971,-1934.5987725549296,0.3178294573643411,-386.919754510986,H10_ROUTED_repro
A-chop,ranging,99581,-0.0241894504200855,-2408.809662282543,0.3216778301081531,-481.7619324565086,H10_ROUTED_repro
A-chop,trend-in-range,50271,-0.2049905116349082,-10305.078010398473,0.2680471842613037,-2061.0156020796944,H10_ROUTED_repro
A-chop,trending,56718,-0.122650048589619,-6956.465455906012,0.2937339116329913,-1391.2930911812025,H10_ROUTED_repro
A-trend,neither,182086,-0.0221712137338273,-4037.067623937679,0.2980459782740024,-807.4135247875358,H10_ROUTED_repro
A-trend,ranging,453292,-0.0175867629838665,-7971.938966482819,0.3012826169444861,-1594.3877932965638,H10_ROUTED_repro
A-trend,trend-in-range,198932,-0.0933645713466525,-18573.20090713228,0.2593700359921983,-3714.640181426456,H10_ROUTED_repro
A-trend,trending,214276,-0.0493396185061152,-10572.296095016343,0.2891737758778398,-2114.459219003269,H10_ROUTED_repro
B-chop,neither,46797,-0.0327738212395133,-1533.716512545508,0.2795692031540483,-306.7433025091016,H10_ROUTED_repro
B-chop,ranging,102621,-0.0045260824298023,-464.4711050287434,0.2897165297551183,-92.89422100574868,H10_ROUTED_repro
B-chop,trend-in-range,48424,-0.109344715696306,-5294.9085128779225,0.2535519577069222,-1058.9817025755844,H10_ROUTED_repro
B-chop,trending,52725,-0.0689435133956832,-3635.046743787399,0.272375533428165,-727.0093487574799,H10_ROUTED_repro
B-trend,neither,223954,-0.0284260041855566,-6366.117341372146,0.2720246121971476,-1273.2234682744293,H10_ROUTED_repro
B-trend,ranging,558120,-0.0038907540260226,-2171.507637003748,0.2845929190855013,-434.3015274007497,H10_ROUTED_repro
B-trend,trend-in-range,252960,-0.0730000972239266,-18466.10459376449,0.2358119860847564,-3693.220918752898,H10_ROUTED_repro
B-trend,trending,273846,-0.0301959278582082,-8269.034060258884,0.2739788056060706,-1653.806812051777,H10_ROUTED_repro
A-chop,False,164585,-0.098772129829045,-16256.410987913385,0.3002339216818057,-3251.2821975826764,5pm TIRx ACTi
A-chop,True,97227,-0.0587445061172857,-5711.5520962653445,0.3115389757989036,-1142.3104192530689,5pm TIRx ACTi
A-trend,False,840476,-0.0376032920248216,-31604.664467854025,0.2918988763510201,-6320.932893570805,5pm TIRx ACTi
A-trend,True,239866,-0.0456226033071434,-10943.311364871264,0.2859805057823951,-2188.662272974253,5pm TIRx ACTi
B-chop,False,156416,-0.0535489521213131,-8375.912895007323,0.2739937090834697,-1675.1825790014643,5pm TIRx ACTi
B-chop,True,101050,-0.028315822065843,-2861.3138197534445,0.2819891142998516,-572.2627639506888,5pm TIRx ACTi
B-trend,False,1043104,-0.0260750258212618,-27198.96373426155,0.2704351627450378,-5439.79274685231,5pm TIRx ACTi
B-trend,True,306710,-0.0259769840361847,-7967.400773738213,0.2760425157314727,-1593.4801547476427,5pm TIRx ACTi
A-chop,neither,53701,-0.0026739854111218,-143.59569056265286,0.329733152082829,-28.719138112530572,5pm TIRx ACTi
A-chop,ranging,98218,-0.0581687747349002,-5713.220716912433,0.3117249384023295,-1142.6441433824866,5pm TIRx ACTi
A-chop,trend-in-range,44673,-0.1642723324907038,-7338.537909357214,0.2799901506502809,-1467.7075818714427,5pm TIRx ACTi
A-chop,trending,65220,-0.1345079541144806,-8772.608767346428,0.2893590923029746,-1754.5217534692856,5pm TIRx ACTi
A-trend,neither,212042,0.0030352731649775,643.6053924481773,0.313112496580866,128.72107848963546,5pm TIRx ACTi
A-trend,ranging,448924,-0.0416913102490706,-18716.22976225379,0.2900981012376259,-3743.2459524507585,5pm TIRx ACTi
A-trend,trend-in-range,175854,-0.0729504051450532,-12828.620546378192,0.2722656294426058,-2565.7241092756385,5pm TIRx ACTi
A-trend,trending,243504,-0.0478866031978853,-11660.579425097863,0.2850425455023326,-2332.115885019573,5pm TIRx ACTi
B-chop,neither,52172,-0.0029243809704909,-152.57080399245356,0.2908264969715556,-30.51416079849071,5pm TIRx ACTi
B-chop,ranging,101839,-0.0296191448201269,-3016.3840893369083,0.2814442404187001,-603.2768178673816,5pm TIRx ACTi
B-chop,trend-in-range,42753,-0.0969523331239004,-4145.003098046114,0.258344443664772,-829.0006196092229,5pm TIRx ACTi
B-chop,trending,60700,-0.0646835177141908,-3926.289525251384,0.271334431630972,-785.2579050502768,5pm TIRx ACTi
B-trend,neither,262388,-0.0070570296305869,-1851.67989071045,0.2809312925896001,-370.33597814209,5pm TIRx ACTi
B-trend,ranging,551518,-0.0235187222121956,-12970.998637025732,0.2741379247821467,-2594.1997274051464,5pm TIRx ACTi
B-trend,trend-in-range,224176,-0.0514703236712066,-11538.411279316431,0.2508564699164942,-2307.682255863286,5pm TIRx ACTi
B-trend,trending,311732,-0.0282462971428892,-8805.274700947157,0.2746461704284449,-1761.0549401894314,5pm TIRx ACTi
A-chop,False,164585,-0.098772129829045,-16256.410987913385,0.3002339216818057,-3251.2821975826764,5pm TIRi ACTi
A-chop,True,97227,-0.0587445061172857,-5711.5520962653445,0.3115389757989036,-1142.3104192530689,5pm TIRi ACTi
A-trend,False,665320,-0.0284853354523178,-18951.863383136108,0.2969458305777671,-3790.3726766272216,5pm TIRi ACTi
A-trend,True,415022,-0.0568550882834866,-23596.112449589175,0.2803875457204678,-4719.2224899178345,5pm TIRi ACTi
B-chop,False,156416,-0.0535489521213131,-8375.912895007323,0.2739937090834697,-1675.1825790014643,5pm TIRi ACTi
