check,value,verdict
"control, q=0.50 reproduces shipped",1.0,PASS
"holdout trend separation, q=0.50",0.13403033271700138,
"holdout trend separation, q=0.40",0.1318440761789255,DEGRADED
"holdout chop separation, q=0.50",0.13522672198494462,
"holdout chop separation, q=0.40",0.1118682599672117,DEGRADED
holdout paired difference (worst of two),-0.02216207274978968,paired SE 0.0128
agreement with shipped,0.8012888799822805,
"holdout median run, q=0.50",19.0,
"holdout median run, q=0.40",20.0,ok
"null p, chosen holdout separation",0.0196078431372549,
"agreement with shipped, trending",0.831848034382035,
"agreement with shipped, ranging",0.8257241813602015,
"agreement with shipped, trend-in-range",0.9858842452647051,
"agreement with shipped, neither",0.5298671956797266,
