# Trend score
# Progress in one direction: |net displacement|/path plus the cancelling swing sequence, standardised on 1999-2015. Higher is more directional.
# Wide: dates down, 28 pairs across. Already lagged one bar -- do not shift again.
# Written by code/persist2.py. Read with pd.read_csv(path, index_col=0, parse_dates=True, comment='#').
date,AUDCAD,AUDCHF,AUDJPY,AUDNZD,AUDUSD,CADCHF,CADJPY,CHFJPY,EURAUD,EURCAD,EURCHF,EURGBP,EURJPY,EURNZD,EURUSD,GBPAUD,GBPCAD,GBPCHF,GBPJPY,GBPNZD,GBPUSD,NZDCAD,NZDCHF,NZDJPY,NZDUSD,USDCAD,USDCHF,USDJPY
2002-12-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-26,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002-12-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-02,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-22,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-28,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-29,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-30,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-01-31,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-03,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-14,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-17,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-18,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-19,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-21,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003-02-24,-0.38712,,,,,,,,,,,,,,,,-0.638275,,,,,,0.910256,,,,,
2003-02-25,-0.195599,,,,,,,,,,,,,,,,-0.705843,,,,,,0.805929,,,,,
2003-02-26,0.171473,,,,,,,,,,,,,,,,-0.587507,,,,,,0.887908,,,,,
2003-02-27,0.201835,,,,,,,,,,,,,,,,-0.818519,,,,,,1.04219,,,,,
2003-02-28,-0.0913725,,,,,,,,,,,,,,,,-0.422816,,,,,,1.53621,,,,,
2003-03-03,0.218296,,,,,,,,,,,,,1.6098,,,-0.296134,,-1.0903,,,,0.595027,,,,,
2003-03-04,0.386572,,,,,,,,,,,,,1.78346,,,-0.125589,,-0.866696,,,,0.746713,,,,,
2003-03-05,-0.136827,,,,,,,,,,,,,1.44357,,,-0.0162163,,-1.04736,,,,0.390872,,,,,
2003-03-06,-0.100643,,,,,,,,,,,,,1.19572,,,-0.289635,,-1.26132,,,,0.118859,,,,,
2003-03-07,-0.510597,,,,,,,,,,,,,0.8197,,,-0.289805,,-1.02875,,,,-0.149327,,,,,
2003-03-10,-0.471529,,,,,,,,,,,,,0.549662,,,-0.371385,,-1.16239,,,,-0.297795,,,,,
2003-03-11,-0.570223,,,,,,,,,,,,,0.543297,,,-0.118092,,-1.12825,,,,-0.361905,,,,,
