mode,N,trending,range_,drifting,balance
strict,2,0.058319766653099986,0.49473443223443225,0.4469458011124678,0.7953933729698471
strict,3,0.0774657441324108,0.5008140008140008,0.4217202550535884,0.8270370540921825
strict,5,0.09235517568850903,0.5177045177045178,0.38994030660697326,0.8447588192336203
strict,8,0.10227485091996398,0.540892951190092,0.3568321978899441,0.8495307754789359
strict,13,0.11069987405865268,0.5560010623623856,0.3332990635789618,0.8521732448462496
relaxed,2,0.11254409171075838,0.49473443223443225,0.3927214760548094,0.8747971776653236
relaxed,3,0.15122608872608873,0.5008140008140008,0.3479599104599105,0.9096168445274088
relaxed,5,0.18526149776149775,0.5177045177045178,0.29703398453398455,0.922756569316555
relaxed,8,0.20131326345118158,0.540892951190092,0.2577937853587265,0.9143760142315288
relaxed,13,0.22290761730965294,0.5560010623623856,0.22109132032796155,0.9053372784041585
breakonly,2,0.14366266449599782,0.49473443223443225,0.36160290326956995,0.9054458702671503
breakonly,3,0.19693732193732194,0.5008140008140008,0.30224867724867727,0.9356920213283066
breakonly,5,0.244853140686474,0.5177045177045178,0.2374423416090083,0.9346017477751448
breakonly,8,0.27197974889995075,0.540892951190092,0.18712729990995736,0.9103677780044619
breakonly,13,0.29430008310415434,0.5560010623623856,0.14969885453346013,0.8835114853378225
