N,lookback,state,sep,surr,corr,share,run,diag,sep_autocorr,sep_range_to_path,sep_dir_changes,sep_mean_crossings
2,12.0,trending,0.5808643075652898,0.6024291326447148,-0.02156482507942492,0.3079942107951643,18.0,0.9549853453519881,0.2858124463991198,1.1438623821672118,-0.30936884603274434,-0.5844135556620834
2,12.0,drifting,0.09723502482787585,0.08337828655014029,0.013856738277735564,0.32715818150859866,13.0,0.9413831697857831,-0.05847687025215204,-0.1913981452082251,0.10404427523845962,0.03502080861266664
2,12.0,range,0.4418771091826362,0.4778836935767548,-0.036006584394118635,0.36484760769623703,17.0,0.9522720377155927,-0.20732416875078702,-0.8702400389098232,0.185705000153927,0.5042392289160074
3,18.0,trending,0.5742658730151455,0.6049908394724125,-0.030724966457266967,0.3036039563507601,19.0,0.9561376447822307,0.15155851226087488,1.1871018219619265,-0.2457549488550401,-0.7126482089827404
3,18.0,drifting,0.060671271560371255,0.07366021675350978,-0.012988945193138528,0.35039410292640577,12.0,0.9357597550901404,0.016363090134718938,-0.16633269102667453,0.058274523481500626,-0.0017147815985909254
3,18.0,range,0.4846276518358881,0.5158246415211402,-0.031196989685252086,0.34600194072283413,15.0,0.9484977484682202,-0.15806793129560506,-0.9418535079001048,0.1710027496882574,0.6675864184595851
4,24.0,trending,0.5489688501824923,0.5914484241590212,-0.042479573976528906,0.29782560574843775,19.0,0.9566759129514713,0.08263751623565602,1.1130296093635088,-0.20762456291756617,-0.7925837122132382
4,24.0,drifting,0.0644478935173816,0.07543132342364589,-0.010983429906264289,0.35882613359668986,11.0,0.9336956263793635,-0.011506572595438982,-0.152184079903715,0.06319905496388255,-0.030901866606489848
4,24.0,range,0.4591970135441964,0.5062535543170549,-0.04705654077285848,0.3433482606548724,15.0,0.9461832250384405,-0.06490854931522287,-0.8770944002226639,0.12809084079655247,0.7666942638423463
5,29.0,trending,0.5354947651425884,0.5615017433702658,-0.02600697822767739,0.2937827141580493,19.0,0.9582693366563306,0.06649344957442176,1.0421076006268828,-0.20128668718563536,-0.8320913231834136
5,29.0,drifting,0.06658646827867873,0.06910948191733012,-0.0025230136386513863,0.3681773692497553,12.0,0.9340130864026265,-0.03205783634257303,-0.15838456676479126,0.06118892389665479,-0.014714546110695838
5,29.0,range,0.4349281655424678,0.4768922004370844,-0.041964034894616586,0.3380399165921954,14.0,0.9450502404996348,-0.028325233165909493,-0.8015716030936587,0.12301932303833653,0.7867965028719667
6,35.0,trending,0.5091052757529291,0.5316149208068102,-0.02250964505388109,0.2893614848477112,19.0,0.9601388521166122,0.041848800177990135,0.9605534030892156,-0.18686555060257282,-0.8471533491419374
6,35.0,drifting,0.06504947697793026,0.05640080554115924,0.008648671436771019,0.3791689005761359,12.0,0.9363775143678161,-0.03075592218720612,-0.13306294707303948,0.06191076596430609,0.03446827268716935
6,35.0,range,0.4033231339791241,0.44482760945724026,-0.04150447547811614,0.3314696145761529,14.0,0.9455087052539675,-0.006162021912534924,-0.7499947079511285,0.1076349779821218,0.7495008280707112
7,41.0,trending,0.48446238865845226,0.5049648065877257,-0.02050241792927343,0.28843860724993187,19.0,0.9611624678815086,0.03724542250883788,0.8785572333915046,-0.18831530364367072,-0.8337315950897958
7,41.0,drifting,0.07204164068328361,0.051018922344174066,0.02102271833910955,0.38042552466612156,12.0,0.9372452407614782,-0.04403602654646578,-0.11627106167088494,0.07135053090077717,0.056508943615006545
7,41.0,range,0.37844157813889645,0.4174744105094713,-0.039032832370574866,0.33113586808394657,14.0,0.9463610403642818,0.012348744021769123,-0.6903916658826058,0.09857425127876612,0.7124516513724449
8,46.0,trending,0.4560435764312224,0.47979548069829414,-0.023751904267071744,0.28735700718051804,20.0,0.9627016129032258,0.01416575469017892,0.8100977844734758,-0.1889741630971304,-0.8109366034641047
8,46.0,drifting,0.06513553158327783,0.051907094886600835,0.01322843669667699,0.38239026924813246,13.0,0.9388382611795637,-0.03832833707817088,-0.08741591807268839,0.060825264675588915,0.07397260650666311
8,46.0,range,0.36658101198384685,0.39048142235451155,-0.023900410370664704,0.3302527235713495,14.0,0.9469353007945517,0.027809280575567797,-0.6566847472464794,0.11001476157799128,0.671815258535349
9,52.0,trending,0.4382093855809543,0.45693026645829377,-0.018720880877339474,0.2850434634395773,20.0,0.9638755980861244,0.010240067278830756,0.763208178825716,-0.1854278019115448,-0.7939614943077256
