N,state,pair,corrected
13,trending,EURGBP,-0.044873926595570435
13,trending,EURAUD,-0.08782332253928571
13,trending,EURNZD,-0.05673561608124705
13,trending,EURUSD,-0.05262626818719096
13,trending,EURCAD,-0.0726165034418117
13,trending,EURCHF,-0.04281214551832485
13,trending,EURJPY,-0.04787885458273283
13,trending,GBPAUD,-0.1559689778002281
13,trending,GBPNZD,0.02858052337267175
13,trending,GBPUSD,-0.01277588419364245
13,trending,GBPCAD,0.04105149337892633
13,trending,GBPCHF,-0.010537596065672061
13,trending,GBPJPY,-0.006250074703674502
13,trending,AUDNZD,-0.05183244468543019
13,trending,AUDUSD,-0.03135447708731015
13,trending,AUDCAD,-0.11058538213893598
13,trending,AUDCHF,-0.05762083092690495
13,trending,AUDJPY,0.10849231438678808
13,trending,NZDUSD,-0.04394695900032608
13,trending,NZDCAD,-0.05847831166715384
13,trending,NZDCHF,-0.05395718797961285
13,trending,NZDJPY,0.05792325868765408
13,trending,USDCAD,0.05254457968854975
13,trending,USDCHF,-0.08696243936437814
13,trending,USDJPY,-0.07664703287284708
13,trending,CADCHF,-0.009922609130658788
13,trending,CADJPY,0.09546490292903825
13,trending,CHFJPY,0.14459715881288537
13,drifting,EURGBP,0.01549214293823882
13,drifting,EURAUD,-0.057163388176165245
13,drifting,EURNZD,0.0284394416345176
13,drifting,EURUSD,-0.056251236511078564
13,drifting,EURCAD,-0.035438902391869864
13,drifting,EURCHF,-0.002556698231174895
13,drifting,EURJPY,0.018494571442009347
13,drifting,GBPAUD,-0.008115245356897283
13,drifting,GBPNZD,0.06837675051250426
13,drifting,GBPUSD,0.030712567052712525
13,drifting,GBPCAD,-0.03683973565424556
13,drifting,GBPCHF,-0.034234149667006525
13,drifting,GBPJPY,-0.04102673569030901
13,drifting,AUDNZD,0.005953814442183819
13,drifting,AUDUSD,-0.07916931137378365
13,drifting,AUDCAD,-0.04039691642950344
13,drifting,AUDCHF,-0.00656971143883868
13,drifting,AUDJPY,0.060795105110755115
13,drifting,NZDUSD,-0.014629092955162432
13,drifting,NZDCAD,-0.004072609458889147
13,drifting,NZDCHF,-0.05034064067071749
13,drifting,NZDJPY,-0.035595140263972105
13,drifting,USDCAD,-0.00812445098324839
13,drifting,USDCHF,0.027920878934419233
13,drifting,USDJPY,-0.03790555109598116
13,drifting,CADCHF,-0.002637966897327551
13,drifting,CADJPY,0.19706954303245483
13,drifting,CHFJPY,0.052999903608914906
13,range,EURGBP,0.04644058921060329
13,range,EURAUD,-0.026010580186357768
13,range,EURNZD,-0.0006124754680177369
13,range,EURUSD,-0.0036599001134922093
13,range,EURCAD,-0.06417347437829587
13,range,EURCHF,-0.06030094330078489
13,range,EURJPY,-0.006472772727347531
13,range,GBPAUD,-0.06945252903793614
13,range,GBPNZD,-0.08029103882347399
13,range,GBPUSD,0.06428124598793056
13,range,GBPCAD,0.06103345026927792
13,range,GBPCHF,0.021482491478413746
13,range,GBPJPY,0.0009921473840948103
13,range,AUDNZD,-0.02871492455161806
13,range,AUDUSD,-0.006748562704433414
13,range,AUDCAD,-0.04775631955369114
13,range,AUDCHF,-0.06499489918649265
13,range,AUDJPY,-0.05918815767114832
13,range,NZDUSD,-0.051663075850176876
13,range,NZDCAD,-0.046492407585932705
13,range,NZDCHF,-0.03571437972451341
13,range,NZDJPY,0.11095456882248039
13,range,USDCAD,-0.045757917527090186
13,range,USDCHF,-0.009534213015072679
13,range,USDJPY,-0.015119661776482995
13,range,CADCHF,-0.014556356790672798
13,range,CADJPY,-0.04522328323766983
13,range,CHFJPY,0.01997236829909299
26,trending,EURGBP,0.027568913371771364
26,trending,EURAUD,-0.01732724548865533
26,trending,EURNZD,-0.00981727083614653
26,trending,EURUSD,-0.016064276681892475
26,trending,EURCAD,-0.03715994170303416
26,trending,EURCHF,-0.046967190238592554
26,trending,EURJPY,-0.015955437385633042
26,trending,GBPAUD,-0.19579976185573966
26,trending,GBPNZD,-0.033805745694512085
26,trending,GBPUSD,0.03292682312962414
26,trending,GBPCAD,0.048843018871802174
26,trending,GBPCHF,-0.046194440109182555
26,trending,GBPJPY,-0.10303673918195339
26,trending,AUDNZD,-0.011412801113973303
26,trending,AUDUSD,-0.002305552197413796
26,trending,AUDCAD,-0.07048917004386346
26,trending,AUDCHF,-0.1111504168808122
26,trending,AUDJPY,0.03726955222107736
26,trending,NZDUSD,-0.04923206460123411
26,trending,NZDCAD,-0.023594833805358262
26,trending,NZDCHF,0.029811799287031565
26,trending,NZDJPY,-0.05617020112516885
26,trending,USDCAD,0.040255100196244065
26,trending,USDCHF,-0.06480754306928949
26,trending,USDJPY,0.06638891106583356
26,trending,CADCHF,0.04037923349202002
26,trending,CADJPY,0.14648718429460225
26,trending,CHFJPY,0.16808472941617947
26,drifting,EURGBP,0.06592396341816757
26,drifting,EURAUD,-0.03245281755718443
26,drifting,EURNZD,0.0721710117556135
26,drifting,EURUSD,-0.03809491922232766
26,drifting,EURCAD,0.0049463594496338276
26,drifting,EURCHF,-0.021681154570660485
26,drifting,EURJPY,-0.03426817455280588
26,drifting,GBPAUD,0.025487386604796464
26,drifting,GBPNZD,-0.05735035337146539
26,drifting,GBPUSD,-0.11994298713386208
26,drifting,GBPCAD,0.06762702664298752
26,drifting,GBPCHF,-0.010638230680717842
26,drifting,GBPJPY,-0.054596846633771276
26,drifting,AUDNZD,-0.041935592351339396
26,drifting,AUDUSD,-0.05768886834683858
26,drifting,AUDCAD,-0.008839976061584584
26,drifting,AUDCHF,0.010413039668359755
26,drifting,AUDJPY,0.04714388433450292
26,drifting,NZDUSD,0.11909562445489291
26,drifting,NZDCAD,0.06091016830570731
26,drifting,NZDCHF,0.004124578198026252
26,drifting,NZDJPY,-0.016609980177380593
26,drifting,USDCAD,-0.03914449854038929
26,drifting,USDCHF,-0.0016960693894467194
26,drifting,USDJPY,0.022733960790703417
26,drifting,CADCHF,-0.08461598298624944
26,drifting,CADJPY,0.022429555732344134
26,drifting,CHFJPY,0.060454630030910506
26,range,EURGBP,0.08214838274892006
26,range,EURAUD,-0.012253009052602015
26,range,EURNZD,-0.004128575830438325
26,range,EURUSD,0.09760197812597976
26,range,EURCAD,0.03690877596291592
26,range,EURCHF,0.08472346635808456
26,range,EURJPY,0.08023722598701824
26,range,GBPAUD,-0.010610783352493991
26,range,GBPNZD,-0.04117771949362986
26,range,GBPUSD,0.05363694026496285
26,range,GBPCAD,0.1628323408211875
26,range,GBPCHF,-0.021314324977252136
26,range,GBPJPY,-0.1038753936412109
26,range,AUDNZD,-0.09924043262907623
26,range,AUDUSD,0.015341587012438734
26,range,AUDCAD,-0.006115974863083212
26,range,AUDCHF,0.02908640740704574
26,range,AUDJPY,-0.07829707712526696
26,range,NZDUSD,0.13461412062668976
26,range,NZDCAD,0.0019270179611922122
26,range,NZDCHF,-0.03865579110776465
26,range,NZDJPY,-0.11092198016237781
26,range,USDCAD,-0.00882812998951657
26,range,USDCHF,0.11368974177528224
26,range,USDJPY,0.13468721174148715
26,range,CADCHF,0.03166860542232289
26,range,CADJPY,0.0465586886679723
26,range,CHFJPY,0.008975752813967869
44,trending,EURGBP,-0.018659067820768982
44,trending,EURAUD,0.06404916238732022
44,trending,EURNZD,0.07406284887461007
44,trending,EURUSD,-0.08172035120132651
44,trending,EURCAD,-0.09283384460897481
44,trending,EURCHF,0.09154521764625514
44,trending,EURJPY,-0.017639830587127536
44,trending,GBPAUD,-0.05321626392744838
44,trending,GBPNZD,-0.03825550314081497
44,trending,GBPUSD,-0.02302181360033695
44,trending,GBPCAD,0.022777738808185954
44,trending,GBPCHF,-0.06615123493368788
44,trending,GBPJPY,-0.07610621506261069
44,trending,AUDNZD,0.04387913961578477
44,trending,AUDUSD,0.0012106445273085686
44,trending,AUDCAD,-0.12420083287741444
44,trending,AUDCHF,-0.024341083275249725
44,trending,AUDJPY,0.04729594767951745
44,trending,NZDUSD,-0.06531985562930559
44,trending,NZDCAD,0.080369985150747
44,trending,NZDCHF,0.023838585253564082
44,trending,NZDJPY,0.011234110023215171
