s,b,so,tsb,passes,blk1,blk2,blk3,blk4,blk5,blk6
z_bbw_120,own-price,-0.0211,6,True,-0.05322302686209599,-0.024722743094858352,-0.023664403889981,-0.01006259733772583,-0.03632779394737001,-0.015848986208623888
z_paneldisp_40,cross-sectional,-0.04649,6,True,-0.03999105192265663,-0.02523889468117781,-0.03005093574910347,-0.03596904014127523,-0.049047583756707716,-0.03308872062652487
z_panelvol_40,cross-sectional,-0.04725,6,True,-0.04144180383118368,-0.03165783238333027,-0.029631996823256488,-0.044887325891837415,-0.05150134379478205,-0.03688300380055052
z_panelvol_60,cross-sectional,-0.04033,6,True,-0.032345322935349925,-0.018880992463092782,-0.0355383542375491,-0.04237940420379536,-0.0432423919233022,-0.025181994092899364
zz_bbw_D120,multi-timeframe,-0.02115,6,True,-0.05322302686209599,-0.024722743094858352,-0.023664403889981,-0.01006259733772583,-0.03632779394737001,-0.015848986208623888
zz_bbw_W26,multi-timeframe,-0.01765,6,True,-0.05419619722923758,-0.020423329766184876,-0.015474015772390612,-0.008104812298200181,-0.03140967577997008,-0.0188821950390504
zz_panelvol_D40,multi-timeframe,-0.04724,6,True,-0.04144180383118368,-0.03165783238333027,-0.029631996823256488,-0.044887325891837415,-0.05150134379478205,-0.03688300380055052
zz_paneldisp_D40,multi-timeframe,-0.04644,6,True,-0.03999105192265663,-0.02523889468117781,-0.03005093574910347,-0.03596904014127523,-0.049047583756707716,-0.03308872062652487
zz_panelvol_D60,multi-timeframe,-0.04034,6,True,-0.032345322935349925,-0.018880992463092782,-0.0355383542375491,-0.04237940420379536,-0.0432423919233022,-0.025181994092899364
zz_ppaneldisp_M3,multi-timeframe,-0.03264,6,True,-0.042639579163407174,-0.02892688000114751,-0.021038023616208202,-0.039825909382433945,-0.041511100917889586,-0.019250244751651182
zz_tsexceed_D375,regime-v5,0.02347,6,True,0.05223315465875691,0.024917692988975403,0.012991066069436275,0.021928543169776993,0.032725074199441054,0.011737632219030182
zz_coex3_D120,regime-v5,-0.02535,6,True,-0.07090570682533534,-0.024568681209450743,-0.008420468449577053,-0.01074288626578354,-0.031933378418332284,-0.023282914984453014
zz_coex2_D150,regime-v5,-0.02371,6,True,-0.02738246218338597,-0.008650208959083435,-0.02612234778905243,-0.018554716631026227,-0.02185831236474469,-0.009401319103211387
