block,pairs_in_block,pairs_of_pairs,mean_kappa,median_kappa,block_period
AUD,7,21,0.07777682084068942,0.06385444870563135,is
CAD,7,21,0.04976680316198882,0.030022163947521184,is
CHF,7,21,0.06797585211024225,0.0864547364477633,is
EUR,7,21,0.03924120067643152,0.017824318843578497,is
GBP,7,21,0.029351906739157458,0.026499781667070267,is
JPY,7,21,0.16116256456278574,0.15657319257055657,is
NZD,7,21,0.10969192269396688,0.11008176128408789,is
USD,7,21,0.10375033104846745,0.0727327454941158,is
AUD,7,21,0.10262623939909934,0.10255467803822511,oos
CAD,7,21,0.059610699343261665,0.04642895427276382,oos
CHF,7,21,0.0423196528993493,0.036595717504435334,oos
EUR,7,21,0.038186376554397355,0.05120901102555602,oos
GBP,7,21,0.0696491896817451,0.06992766229009713,oos
JPY,7,21,0.14829403600535393,0.1506513238472143,oos
NZD,7,21,0.07983557057360507,0.059469630605983904,oos
USD,7,21,0.07414879271669922,0.06505457407335585,oos
