block,pair_a,pair_b,observed,expected,kappa,shared_leg
is,AUDCAD,AUDCHF,0.2566793893129771,0.2559223635310038,0.0010174016055176588,AUD
is,AUDCAD,AUDJPY,0.3371501272264631,0.2609092443136569,0.10315496754117358,AUD
is,AUDCAD,AUDNZD,0.22201017811704835,0.2634405208191701,-0.05624846855300647,AUD
is,AUDCAD,AUDUSD,0.40076335877862596,0.26563845508873485,0.18400324012910915,AUD
is,AUDCAD,CADCHF,0.1943384223918575,0.2588238067258448,-0.08700412252736063,CAD
is,AUDCAD,CADJPY,0.28944020356234096,0.26416800610557534,0.03434506472464095,CAD
is,AUDCAD,CHFJPY,0.26622137404580154,0.26379409627126105,0.003297009385888928,none
is,AUDCAD,EURAUD,0.3008905852417303,0.2601828718541396,0.05502402125997398,AUD
is,AUDCAD,EURCAD,0.26145038167938933,0.2616476555367791,-0.00026718118912886417,CAD
is,AUDCAD,EURCHF,0.25159033078880405,0.27023736395185466,-0.02555218949551754,none
is,AUDCAD,EURGBP,0.2503180661577608,0.26425976374078175,-0.01894921182224015,none
is,AUDCAD,EURJPY,0.26240458015267176,0.2634034940336292,-0.0013561208516010379,none
is,AUDCAD,EURNZD,0.2477735368956743,0.26819886742549326,-0.027911039790225245,none
is,AUDCAD,EURUSD,0.2814885496183206,0.2665391367053202,0.02038201853858728,none
is,AUDCAD,GBPAUD,0.30756997455470736,0.2589796024901424,0.065572246361705,AUD
is,AUDCAD,GBPCAD,0.3231552162849873,0.2633696033965905,0.08116093656203606,CAD
is,AUDCAD,GBPCHF,0.23123409669211195,0.26067150402398204,-0.039816411097489963,none
is,AUDCAD,GBPJPY,0.285941475826972,0.270027343168295,0.02180099831101752,none
is,AUDCAD,GBPNZD,0.26240458015267176,0.26521740186080844,-0.0038281006045326102,none
is,AUDCAD,GBPUSD,0.3416030534351145,0.2649188607566252,0.10432071860450805,none
is,AUDCAD,NZDCAD,0.35909669211195927,0.25389539993784355,0.14100072853773,CAD
is,AUDCAD,NZDCHF,0.27353689567430023,0.2609205749146968,0.017070317927125756,none
is,AUDCAD,NZDJPY,0.3199745547073791,0.2674367833394843,0.0717177305289707,none
is,AUDCAD,NZDUSD,0.36482188295165396,0.2698022486387092,0.13012863177927053,none
is,AUDCAD,USDCAD,0.2655852417302799,0.2630065183329125,0.003498977211486756,CAD
is,AUDCAD,USDCHF,0.28880407124681934,0.2633506853394972,0.03455292145225544,none
is,AUDCAD,USDJPY,0.3260178117048346,0.2696922811089745,0.07712575006244031,none
is,AUDCHF,AUDJPY,0.2865776081424936,0.25391522848966325,0.04377837599702012,AUD
is,AUDCHF,AUDNZD,0.24268447837150128,0.25484018996561975,-0.016312892121164747,AUD
is,AUDCHF,AUDUSD,0.3336513994910941,0.25607613597368706,0.10427849847099836,AUD
is,AUDCHF,CADCHF,0.28498727735368956,0.25369509109803234,0.041929492734674834,CHF
is,AUDCHF,CADJPY,0.2544529262086514,0.2554640811853751,-0.0013581010011358152,none
is,AUDCHF,CHFJPY,0.26622137404580154,0.2549389280603953,0.015142981441823062,CHF
is,AUDCHF,EURAUD,0.5400763358778626,0.25373687268936673,0.3836977236439375,AUD
is,AUDCHF,EURCAD,0.29961832061068705,0.2543661257113999,0.060689564221397145,none
is,AUDCHF,EURCHF,0.31170483460559795,0.25783399779215144,0.07258596682303917,CHF
is,AUDCHF,EURGBP,0.2703562340966921,0.2551375170768344,0.020431579477775318,none
is,AUDCHF,EURJPY,0.25636132315521626,0.2549980090515316,0.0018299469266505307,none
is,AUDCHF,EURNZD,0.43320610687022904,0.2565163095908682,0.23765120816857488,none
is,AUDCHF,EURUSD,0.29325699745547074,0.25641099570084624,0.04955156886612722,none
is,AUDCHF,GBPAUD,0.3511450381679389,0.25344571670907545,0.13086700276929633,AUD
is,AUDCHF,GBPCAD,0.2598600508905852,0.2555072791018394,0.005846627732631977,none
is,AUDCHF,GBPCHF,0.28466921119592875,0.25379979799157,0.041368808426039565,CHF
is,AUDCHF,GBPJPY,0.2652671755725191,0.2576849801552616,0.010214255692742688,none
is,AUDCHF,GBPNZD,0.2948473282442748,0.25543049404657847,0.052939092834889935,none
is,AUDCHF,GBPUSD,0.26653944020356235,0.2556263515788383,0.01466076700575181,none
is,AUDCHF,NZDCAD,0.30438931297709926,0.25088378688110635,0.07142486727556775,none
is,AUDCHF,NZDCHF,0.36863867684478374,0.25424978471858023,0.1533876756348467,CHF
is,AUDCHF,NZDJPY,0.2919847328244275,0.2564266764433567,0.04782051111111718,none
is,AUDCHF,NZDUSD,0.3110687022900763,0.2572403552305291,0.07247074802543133,none
is,AUDCHF,USDCAD,0.2321882951653944,0.2551303342851038,-0.03080007171145911,none
is,AUDCHF,USDCHF,0.2811704834605598,0.2553210323472473,0.03471220785889875,CHF
is,AUDCHF,USDJPY,0.22169211195928754,0.2572828449844285,-0.0479196323725615,none
is,AUDJPY,AUDNZD,0.2608142493638677,0.26090934547973765,-0.00012866637575287377,AUD
