Date,EURGBP,EURAUD,EURNZD,EURUSD,EURCAD,EURCHF,EURJPY,GBPAUD,GBPNZD,GBPUSD,GBPCAD,GBPCHF,GBPJPY,AUDNZD,AUDUSD,AUDCAD,AUDCHF,AUDJPY,NZDUSD,NZDCAD,NZDCHF,NZDJPY,USDCAD,USDCHF,USDJPY,CADCHF,CADJPY,CHFJPY
1999-01-04,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999-01-05,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-06,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-07,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-08,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-11,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-12,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-13,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-14,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-15,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-19,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-20,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-21,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-22,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-25,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-26,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-27,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-28,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-01-29,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-02-01,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-02-02,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-02-03,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-02-04,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-02-05,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
1999-02-08,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings,no swings
