N,B,D,R,A_bars,A_t,A_ratio,A_share,B_bars,B_t,B_ratio,B_share,agree
2,1,0.25,0.5,-0.06240421515524197,-0.28173008231096214,0.0006298352424655151,0.1682137834036568,-0.158169850310804,-0.7786657105787222,-0.026024128018110382,0.15544647031323047,True
2,1,0.25,0.62,-0.057134210462738366,-0.25806236213643324,0.0021825347336562606,0.16835443037974684,-0.17073174526855972,-0.8416382170198716,-0.02794020016582366,0.15603085553997195,True
2,1,0.25,0.75,-0.06592544859384475,-0.2978144768705028,0.0006764637959407738,0.16849507735583685,-0.1732713557411909,-0.8549539611290791,-0.02754462125266699,0.15638148667601684,True
2,1,0.25,1.0,-0.06592544859384475,-0.2978144768705028,0.0006764637959407738,0.16849507735583685,-0.1732713557411909,-0.8549539611290791,-0.02754462125266699,0.15638148667601684,True
2,1,0.5,0.5,-0.14068979389738168,-0.6058399075779252,-0.01095241841558614,0.15049226441631505,-0.16087206494062833,-0.7508703609429855,-0.058502029723547344,0.1354604955586723,True
2,1,0.5,0.62,-0.14068979389738168,-0.6058399075779252,-0.01095241841558614,0.15049226441631505,-0.1750676569300076,-0.8175802059747941,-0.059045411397199765,0.13569424964936885,True
2,1,0.5,0.75,-0.14068979389738168,-0.6058399075779252,-0.01095241841558614,0.15049226441631505,-0.17788804837773853,-0.8316647758643816,-0.05852318375152177,0.13604488078541374,True
2,1,0.5,1.0,-0.14068979389738168,-0.6058399075779252,-0.01095241841558614,0.15049226441631505,-0.17788804837773853,-0.8316647758643816,-0.05852318375152177,0.13604488078541374,True
2,1,1.0,0.5,-0.22208000000000006,-0.8705176066791096,-0.009651802709393698,0.1209563994374121,-0.2710280171371089,-1.1407411824625797,-0.06380095711991818,0.1057737260402057,True
2,1,1.0,0.62,-0.22208000000000006,-0.8705176066791096,-0.009651802709393698,0.1209563994374121,-0.2883578760106271,-1.2146097922367325,-0.06445680008850374,0.10600748013090229,True
2,1,1.0,0.75,-0.22208000000000006,-0.8705176066791096,-0.009651802709393698,0.1209563994374121,-0.2859267488145445,-1.2052315605383828,-0.06429887075809881,0.10624123422159888,True
2,1,1.0,1.0,-0.22208000000000006,-0.8705176066791096,-0.009651802709393698,0.1209563994374121,-0.2859267488145445,-1.2052315605383828,-0.06429887075809881,0.10624123422159888,True
2,2,0.25,0.5,-0.033849371145063145,-0.14411807646516744,0.02085276945403791,0.14810126582278482,-0.2539491666983036,-1.174667600325992,-0.05431900276223711,0.1327723235156615,True
2,2,0.25,0.62,-0.02802527454071857,-0.11938966703003126,0.02252119390603402,0.14824191279887483,-0.2678706910867721,-1.241093810602461,-0.05645566776412536,0.133356708742403,True
2,2,0.25,0.75,-0.03779258847609235,-0.16102823296404323,0.020874143869191508,0.14838255977496484,-0.27052426796085705,-1.2548025061970087,-0.0559224445583959,0.13370733987844788,True
2,2,0.25,1.0,-0.03779258847609235,-0.16102823296404323,0.020874143869191508,0.14838255977496484,-0.27052426796085705,-1.2548025061970087,-0.0559224445583959,0.13370733987844788,True
2,2,0.5,0.5,-0.10780213470800604,-0.4381447270993994,0.014569872860063948,0.13248945147679325,-0.23896538741899676,-1.0425760157110335,-0.08089042643359634,0.11570827489481066,True
