representative,batch,fam,to,si,ao,tsb,stronger_target,n_members,members
z_panelvol_40,cross-sectional,z_panelvol,-25.59,-0.02566,0.964,6.0,,12,z_panelvol_40|zz_panelvol_D40|z_paneldisp_40|zz_paneldisp_D40|z_panelvol_60|zz_panelvol_D60|zb_ats_60_750|zc_cx3_m50|cx2_s40|zb_dts_60_750|zb_cx3_m120|zz_coex3_D120
cx4_m375,trend-duration,cx_m,-21.75,-0.02353,0.929,6.0,trend,4,cx4_m375|cx3_m60_ph|cx3_m50_ph|dts_20_250_ch
zb_cx3_x30,trend-duration,cx_x,-20.43,-0.02135,0.893,6.0,trend,4,zb_cx3_x30|rc_cx3_s30|ra_cx3_x40|za_cx3_s25
rb_dts_60_750_ch,trend-duration,dts,-17.87,-0.0221,0.929,5.0,trend,20,rb_dts_60_750_ch|rb_pdm_50_ch|ra_cx2_x25_ch|zc_cx2_s150_ch|zb_cx2.5_m10_ch|zb_cx2_s90_ch|rc_ats_120_750_ch|cx1.5_m5_ch|zb_cx2_m30_ch|ra_cx1.5_s75_ch|ra_cx2_s60_ch|zc_cx1.5_m50_ch|ra_cx2_m75_ch|cx1.5_m10_ch|rb_dts_5_750_ch|zc_cx1.5_m60_ch|zc_bvr_120_ch|ra_cx1.5_x30_ch|cx1.5_m25_ch|cx1.5_m30_ch
zz_ppaneldisp_M3,multi-timeframe,zz_ppaneldisp,-17.52,-0.0244,0.857,6.0,,1,zz_ppaneldisp_M3
cx2.5_x20_ph,trend-duration,cx2._x,-17.16,-0.02185,0.857,4.0,trend,4,cx2.5_x20_ph|cx2_s25_ph|cx2_x10_ph|ats_10_120_ph
ra_cx2_x75,trend-duration,cx_x,-16.81,-0.02473,0.857,6.0,chop,3,ra_cx2_x75|zb_cx2_s90|zb_cx1.5_s90
rb_ep750_fl_8_pl,trend-duration,ep_fl,16.35,0.02117,0.857,6.0,trend,9,rb_ep750_fl_8_pl|ra_oc750_fl_8_pl|zb_oc750_fl_1_pl|ra_oc750_fl_1_pl|ra_ep750_fl_8_pl|zb_ep750_fl_8_pl|zb_ep750_sg1_v10_pl|za_oc750_mu_20_pl|za_ep750_mu_20_pl
ts_dd0.02_ol,trend-duration,ts_dd,-16.14,-0.02371,0.893,6.0,trend,2,ts_dd0.02_ol|ts_sg1_v20_ol
zd_cx3_x375,trend-duration,cx_x,-15.95,-0.02835,0.893,5.0,trend,1,zd_cx3_x375
cx1.5_x150_ch,trend-duration,cx1._x,-15.43,-0.02234,0.893,5.0,trend,2,cx1.5_x150_ch|cx2_s20_ch
zb_ep750_mu_20_pl,trend-duration,ep_mu,14.83,0.02304,0.857,5.0,trend,2,zb_ep750_mu_20_pl|zb_oc750_mu_20_pl
za_rch60_250_ph,trend-duration,rch,-14.82,-0.02692,0.857,6.0,chop,1,za_rch60_250_ph
za_cx4_m750_ch,trend-duration,cx_m,-14.8,-0.02263,0.893,5.0,trend,1,za_cx4_m750_ch
ra_bd5_75_ch,trend-duration,bd,-14.65,-0.02553,0.857,6.0,trend,2,ra_bd5_75_ch|rb_bdd_60_ch
ra_cx2.5_m120,trend-duration,cx2._m,-14.39,-0.02404,0.964,6.0,chop,5,ra_cx2.5_m120|zz_coex2_D150|zb_cx2_m150|ra_ts_fl_2_pl|ra_hz750_md_5_pl
ra_ts_sg2.5_v250,trend-duration,ts_sg,12.86,0.02092,0.929,6.0,trend,2,ra_ts_sg2.5_v250|ra_ts_sg2.5_v250_ch
rd_ats_40_500_ch,trend-duration,ats,-12.86,-0.02175,0.964,6.0,trend,5,rd_ats_40_500_ch|rd_ats_60_500_ch|rd_dts_60_500_ch|rd_dts_40_500_ch|rc_ats_60_500_ch
zc_cx4_m40,trend-duration,cx_m,-12.75,-0.02313,0.857,6.0,trend,1,zc_cx4_m40
zz_tsexceed_D375,regime-v5,zz_tsexceed,12.73,0.02122,0.857,6.0,trend,1,zz_tsexceed_D375
hz500_sg1.5_v10_pl,trend-duration,hz_sg,-12.42,-0.02028,0.857,6.0,chop,9,hz500_sg1.5_v10_pl|hz750_sg1_v20_pl|hz750_md_5_pl|hz750_sd1_v60_pl|ts_sd1_v120_pl|ra_ts_md_8_pl|ra_ts_sd1_v60_pl|ra_ts_mu_5_pl|ra_ts_su1_v10_pl
rd_cx2_m375,trend-duration,cx_m,-11.99,-0.02022,0.857,6.0,trend,1,rd_cx2_m375
zb_ep120_mu_20_pl,trend-duration,ep_mu,11.96,0.02194,0.857,6.0,trend,2,zb_ep120_mu_20_pl|zb_oc120_mu_20_pl
zz_bbw_D120,multi-timeframe,zz_bbw,-11.43,-0.02278,0.857,6.0,,3,zz_bbw_D120|z_bbw_120|zz_bbw_W26
rc_cx1.5_x180_ch,trend-duration,cx1._x,-10.42,-0.02316,0.893,6.0,trend,1,rc_cx1.5_x180_ch
rc_pdd_75_ch,trend-duration,pdd,9.42,0.02457,0.857,6.0,trend,1,rc_pdd_75_ch
ra_cx2.5_m10,trend-duration,cx2._m,-9.1,-0.02226,0.893,5.0,trend,1,ra_cx2.5_m10
zd_cx2_m75_pl,trend-duration,cx_m,-8.54,-0.02056,0.857,6.0,trend,1,zd_cx2_m75_pl
