member,vote,pair,entry,exit,R,open_at_boundary,R_mtm,exit_day
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCAD,2019-04-24,2019-05-16,2.7999999999999914,False,2.7999999999999914,2019-05-16
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCHF,2016-06-23,2016-06-24,-1.0000000000000009,False,-1.0000000000000009,2016-06-24
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCHF,2017-12-14,2017-12-18,-0.4562965629922935,False,-0.4562965629922935,2017-12-18
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCHF,2018-01-25,2018-02-02,2.800000000000009,False,2.800000000000009,2018-02-02
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCHF,2018-05-29,2018-05-30,-0.999999999999992,False,-0.999999999999992,2018-05-30
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCHF,2019-02-21,2019-02-25,-1.0000000000000038,False,-1.0000000000000038,2019-02-25
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDCHF,2019-03-12,2019-04-15,-1.0000000000000007,False,-1.0000000000000007,2019-04-15
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDJPY,2018-12-06,2018-12-11,-0.2174209456409889,False,-0.2174209456409889,2018-12-11
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,AUDJPY,2019-12-11,2019-12-27,2.7999999999999954,False,2.7999999999999954,2019-12-27
A-chop|chop|halftrend_signals|schaff_trend_cycle_signals|choppiness_index_volume_signals|mcginley_dynamic_index,1.0,CADCHF,2016-10-24,2016-10-26,-0.9999999999999976,False,-0.9999999999999976,2016-10-26
