,A-chop|chop|parabolic_sar_signals|lemantrend_signals|variance_volume_signals|wma_baseline::OFFICIAL,B|trend|mama_fama_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|t3_baseline::OFFICIAL,A-chop|chop|supertrend_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline::OFFICIAL,A-trend|trend|kase_peak_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|rma_baseline::OFFICIAL,B|chop|parabolic_sar_signals|waddah_attar_explosion_signals|variance_volume_signals|ema_baseline::OFFICIAL,A-trend|trend|lemantrend_signals|laguerre_filter_signals|volatility_ratio_volume_signals|alma_baseline::OFFICIAL,B|chop|waddah_attar_explosion_signals|ssl_channel_signals|waddah_attar_explosion_volume_signals|fantail_vma::OFFICIAL,A-chop|chop|coral_signals|relative_vigor_index_signals|waddah_attar_explosion_volume_signals|t3_baseline::OFFICIAL,B|chop|aroon_signals|fisher_transform_signals|variance_volume_signals|fantail_vma::OFFICIAL,A-trend|trend|coral_signals|lemantrend_signals|williams_vix_fix_volume_signals|rma_baseline::OFFICIAL,A-chop|chop|bears_bulls_impulse_signals|didi_index_signals|variance_volume_signals|ema_baseline::OFFICIAL,A-chop|chop|donchian_breakout_signals|chandelier_exit_signals|efficiency_ratio_volume_signals|hma_baseline::OFFICIAL,A-chop|chop|j_tpo_signals|linreg_slope_signals|efficiency_ratio_volume_signals|fantail_vma::OFFICIAL,A-chop|chop|bears_bulls_impulse_signals|polychromatic_momentum_signals|volatility_ratio_volume_signals|super_smoother_2pole_baseline::OFFICIAL,B|chop|dspo_signals|ssl_channel_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,B|chop|center_of_gravity_signals|price_momentum_oscillator_signals|damiani_volatmeter_volume_signals|mcginley_dynamic_index::OFFICIAL,A-trend|trend|parabolic_sar_signals|schaff_trend_cycle_signals|variance_volume_signals|wma_baseline::OFFICIAL,B|trend|dspo_signals|trend_direction_force_index_signals|waddah_attar_explosion_volume_signals|ema_baseline::OFFICIAL,B|chop|volatility_quality_signals|aroon_signals|waddah_attar_explosion_volume_signals|fantail_vma::OFFICIAL,B|trend|adx_dmi_signals|dspo_signals|variance_volume_signals|sma_baseline::OFFICIAL,B|chop|ehlers_reverse_ema_signals|linreg_slope_signals|variance_volume_signals|fantail_vma::OFFICIAL,B|trend|dspo_signals|kalman_filter_signals|waddah_attar_explosion_volume_signals|tma_baseline::OFFICIAL,B|chop|center_of_gravity_signals|aroon_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,A-trend|trend|bears_bulls_impulse_signals|aroon_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,A-trend|trend|schaff_trend_cycle_signals|donchian_breakout_signals|variance_volume_signals|mcginley_dynamic_index::OFFICIAL,A-trend|trend|fx_sniper_ergodic_cci_signals|relative_vigor_index_signals|chaikin_volatility_volume_signals|kama_baseline::OFFICIAL
A-chop|chop|parabolic_sar_signals|lemantrend_signals|variance_volume_signals|wma_baseline::OFFICIAL,1.0,0.0504,0.0645,-0.0134,0.2413,0.0038,0.0366,0.0091,0.0461,-0.0088,0.0733,0.048,0.0589,0.1631,0.0841,-0.0582,0.0282,0.0239,0.1765,0.0322,0.1036,0.0549,0.0921,0.0667,0.0003,0.0463
B|trend|mama_fama_signals|polychromatic_momentum_signals|chaikin_volatility_volume_signals|t3_baseline::OFFICIAL,0.0504,1.0,0.0342,0.0657,0.1012,0.0986,0.0194,-0.0303,0.0269,0.2168,0.0096,0.0743,-0.0855,0.0557,-0.0122,-0.0151,0.1719,0.198,0.0728,0.1804,0.0333,0.2435,0.0069,0.074,0.1689,0.2417
A-chop|chop|supertrend_signals|fx_sniper_ergodic_cci_signals|chaikin_volatility_volume_signals|super_smoother_2pole_baseline::OFFICIAL,0.0645,0.0342,1.0,0.0108,0.0496,-0.0503,0.0462,-0.0375,0.1905,-0.0107,0.0536,0.0666,0.1518,0.0581,0.0534,0.0278,0.0358,0.0585,0.0072,0.072,0.1083,-0.0354,0.0533,-0.0083,0.0694,-0.012
A-trend|trend|kase_peak_oscillator_signals|relative_vigor_index_signals|variance_volume_signals|rma_baseline::OFFICIAL,-0.0134,0.0657,0.0108,1.0,-0.0732,0.1014,0.1011,0.0171,0.0727,0.1338,0.0078,-0.0031,-0.0061,-0.0064,-0.0455,0.0534,0.2464,0.1372,0.0117,0.0125,-0.1146,0.1267,-0.0119,0.0364,0.1539,0.0917
B|chop|parabolic_sar_signals|waddah_attar_explosion_signals|variance_volume_signals|ema_baseline::OFFICIAL,0.2413,0.1012,0.0496,-0.0732,1.0,0.007,-0.067,0.005,0.118,0.0006,0.1396,0.1752,0.0052,0.1279,-0.0356,-0.0183,-0.015,0.0499,0.0832,0.1704,0.1189,0.0014,0.035,0.0823,0.0207,0.0159
A-trend|trend|lemantrend_signals|laguerre_filter_signals|volatility_ratio_volume_signals|alma_baseline::OFFICIAL,0.0038,0.0986,-0.0503,0.1014,0.007,1.0,0.0285,-0.0056,-0.0349,0.0481,-0.0477,0.0202,-0.025,0.0789,0.0106,0.0138,0.0702,0.1452,0.0376,-0.0546,-0.0221,0.3094,-0.0109,-0.0282,0.0686,0.1562
B|chop|waddah_attar_explosion_signals|ssl_channel_signals|waddah_attar_explosion_volume_signals|fantail_vma::OFFICIAL,0.0366,0.0194,0.0462,0.1011,-0.067,0.0285,1.0,0.0968,0.0316,0.0202,0.0423,-0.0468,-0.0037,0.0166,0.0563,-0.028,0.0235,-0.0099,0.0786,-0.1127,0.0418,0.0209,0.0552,0.0456,0.0524,0.0166
A-chop|chop|coral_signals|relative_vigor_index_signals|waddah_attar_explosion_volume_signals|t3_baseline::OFFICIAL,0.0091,-0.0303,-0.0375,0.0171,0.005,-0.0056,0.0968,1.0,0.0242,0.0115,0.0358,-0.029,-0.0219,-0.001,0.0053,0.0028,0.0032,-0.0058,0.0611,-0.0198,-0.0416,0.0072,0.0112,-0.0202,0.0173,0.0028
B|chop|aroon_signals|fisher_transform_signals|variance_volume_signals|fantail_vma::OFFICIAL,0.0461,0.0269,0.1905,0.0727,0.118,-0.0349,0.0316,0.0242,1.0,-0.0357,0.1577,0.0879,0.1111,0.1509,0.0695,0.0822,0.0159,0.0332,0.2068,0.0345,0.1027,-0.015,0.0913,0.03,0.0181,0.01
A-trend|trend|coral_signals|lemantrend_signals|williams_vix_fix_volume_signals|rma_baseline::OFFICIAL,-0.0088,0.2168,-0.0107,0.1338,0.0006,0.0481,0.0202,0.0115,-0.0357,1.0,0.0035,-0.0417,-0.0154,-0.0031,0.0055,0.027,0.0828,0.1218,0.0328,0.0343,-0.0749,0.1263,0.0125,-0.0237,0.0744,0.1695
A-chop|chop|bears_bulls_impulse_signals|didi_index_signals|variance_volume_signals|ema_baseline::OFFICIAL,0.0733,0.0096,0.0536,0.0078,0.1396,-0.0477,0.0423,0.0358,0.1577,0.0035,1.0,0.081,0.1343,0.1497,0.1323,0.0316,0.0467,0.056,0.0843,0.0017,0.0961,-0.0188,0.1327,0.0595,0.027,-0.0615
A-chop|chop|donchian_breakout_signals|chandelier_exit_signals|efficiency_ratio_volume_signals|hma_baseline::OFFICIAL,0.048,0.0743,0.0666,-0.0031,0.1752,0.0202,-0.0468,-0.029,0.0879,-0.0417,0.081,1.0,0.0881,0.0519,0.0272,0.0696,0.004,0.0635,0.0481,0.058,0.1114,0.0077,0.0374,0.0658,0.0012,0.0233
A-chop|chop|j_tpo_signals|linreg_slope_signals|efficiency_ratio_volume_signals|fantail_vma::OFFICIAL,0.0589,-0.0855,0.1518,-0.0061,0.0052,-0.025,-0.0037,-0.0219,0.1111,-0.0154,0.1343,0.0881,1.0,0.103,0.1119,0.0244,0.0275,0.0014,0.0581,0.0286,0.2269,-0.0651,0.0512,0.0518,0.0353,-0.012
A-chop|chop|bears_bulls_impulse_signals|polychromatic_momentum_signals|volatility_ratio_volume_signals|super_smoother_2pole_baseline::OFFICIAL,0.1631,0.0557,0.0581,-0.0064,0.1279,0.0789,0.0166,-0.001,0.1509,-0.0031,0.1497,0.0519,0.103,1.0,0.1372,0.0795,0.0415,0.0881,0.1171,0.002,0.093,0.0638,0.0889,0.0945,0.0943,0.0441
B|chop|dspo_signals|ssl_channel_signals|waddah_attar_explosion_volume_signals|sma_baseline::OFFICIAL,0.0841,-0.0122,0.0534,-0.0455,-0.0356,0.0106,0.0563,0.0053,0.0695,0.0055,0.1323,0.0272,0.1119,0.1372,1.0,-0.0131,0.008,0.0626,0.1166,0.0101,0.148,0.0583,0.0843,0.018,0.0197,0.0066
