    team1_W3ONLY_ADOPTED_pick round: 504 trials, best 8.818%, members 0
    team1_W3ONLY_ADOPTED_pick round: 502 trials, best 12.865%, members 1
    team1_W3ONLY_ADOPTED_pick round: 500 trials, best 17.557%, members 2
    team1_W3ONLY_ADOPTED_pick round: 498 trials, best 21.217%, members 3
    team1_W3ONLY_ADOPTED_pick round: 496 trials, best 23.740%, members 4
    team1_W3ONLY_ADOPTED_pick round: 494 trials, best 26.942%, members 5
    team1_W3ONLY_ADOPTED_pick round: 492 trials, best 29.510%, members 6
    team1_W3ONLY_ADOPTED_pick round: 490 trials, best 31.769%, members 7
    team1_W3ONLY_ADOPTED_pick round: 488 trials, best 33.404%, members 8
    team1_W3ONLY_ADOPTED_pick round: 486 trials, best 34.906%, members 9
    team1_W3ONLY_ADOPTED_pick round: 484 trials, best 36.498%, members 10
    team1_W3ONLY_ADOPTED_pick round: 482 trials, best 37.466%, members 11
    team1_W3ONLY_ADOPTED_pick round: 480 trials, best 38.424%, members 12
    team1_W3ONLY_ADOPTED_pick round: 478 trials, best 39.319%, members 13
    team1_W3ONLY_ADOPTED_pick round: 476 trials, best 40.084%, members 14
    team1_W3ONLY_ADOPTED_pick round: 474 trials, best 40.932%, members 15
    team1_W3ONLY_ADOPTED_pick round: 472 trials, best 41.130%, members 16
    team1_W3ONLY_ADOPTED_pick round: 470 trials, best 41.341%, members 17
    team1_W3ONLY_ADOPTED_pick round: 468 trials, best 42.032%, members 18
    team1_W3ONLY_ADOPTED_pick round: 466 trials, best 42.229%, members 19
    team1_W3ONLY_ADOPTED_pick round: 464 trials, best 42.652%, members 20
    team1_W3ONLY_ADOPTED_pick round: 462 trials, best 42.652%, members 21
    null round: 504 trials, best 4.169%, members 0
    null round: 502 trials, best 6.103%, members 1
    null round: 500 trials, best 7.597%, members 2
    null round: 498 trials, best 9.271%, members 3
    null round: 496 trials, best 10.701%, members 4
    null round: 494 trials, best 12.649%, members 5
    null round: 492 trials, best 13.666%, members 6
    null round: 490 trials, best 14.648%, members 7
    null round: 488 trials, best 15.874%, members 8
    null round: 486 trials, best 16.517%, members 9
    null round: 484 trials, best 17.169%, members 10
    null round: 482 trials, best 17.863%, members 11
    null round: 480 trials, best 18.523%, members 12
    null round: 478 trials, best 19.084%, members 13
    null round: 476 trials, best 19.560%, members 14
    null round: 474 trials, best 19.957%, members 15
    null round: 472 trials, best 20.664%, members 16
    null round: 470 trials, best 21.066%, members 17
    null round: 468 trials, best 21.252%, members 18
    null round: 466 trials, best 21.519%, members 19
    null round: 464 trials, best 21.797%, members 20
    null round: 462 trials, best 21.998%, members 21
    null round: 460 trials, best 22.465%, members 22
    null round: 458 trials, best 23.514%, members 23
    null round: 456 trials, best 23.965%, members 24
    null round: 454 trials, best 23.965%, members 25
    null round: 504 trials, best 4.154%, members 0
    null round: 502 trials, best 6.134%, members 1
    null round: 500 trials, best 7.741%, members 2
    null round: 498 trials, best 9.336%, members 3
    null round: 496 trials, best 10.665%, members 4
    null round: 494 trials, best 12.789%, members 5
    null round: 492 trials, best 13.665%, members 6
    null round: 490 trials, best 14.434%, members 7
    null round: 488 trials, best 15.382%, members 8
    null round: 486 trials, best 16.555%, members 9
    null round: 484 trials, best 17.004%, members 10
    null round: 482 trials, best 18.221%, members 11
    null round: 480 trials, best 18.652%, members 12
    null round: 478 trials, best 19.505%, members 13
    null round: 476 trials, best 19.822%, members 14
    null round: 474 trials, best 20.606%, members 15
    null round: 472 trials, best 20.821%, members 16
    null round: 470 trials, best 21.094%, members 17
    null round: 468 trials, best 21.644%, members 18
    null round: 466 trials, best 21.739%, members 19
    null round: 464 trials, best 22.016%, members 20
    null round: 462 trials, best 22.239%, members 21
    null round: 460 trials, best 22.263%, members 22
    null round: 458 trials, best 23.196%, members 23
    null round: 456 trials, best 23.425%, members 24
    null round: 454 trials, best 23.641%, members 25
    null round: 452 trials, best 23.735%, members 26
    null round: 450 trials, best 23.735%, members 27
    null round: 504 trials, best 4.180%, members 0
    null round: 502 trials, best 6.020%, members 1
    null round: 500 trials, best 7.601%, members 2
    null round: 498 trials, best 9.344%, members 3
    null round: 496 trials, best 10.449%, members 4
    null round: 494 trials, best 11.656%, members 5
    null round: 492 trials, best 12.650%, members 6
    null round: 490 trials, best 13.619%, members 7
    null round: 488 trials, best 14.670%, members 8
    null round: 486 trials, best 15.543%, members 9
    null round: 484 trials, best 16.151%, members 10
    null round: 482 trials, best 16.847%, members 11
    null round: 480 trials, best 17.416%, members 12
    null round: 478 trials, best 17.784%, members 13
    null round: 476 trials, best 18.664%, members 14
    null round: 474 trials, best 19.010%, members 15
    null round: 472 trials, best 19.862%, members 16
    null round: 470 trials, best 20.891%, members 17
    null round: 468 trials, best 21.150%, members 18
    null round: 466 trials, best 21.328%, members 19
    null round: 464 trials, best 21.331%, members 20
    null round: 462 trials, best 22.272%, members 21
    null round: 460 trials, best 23.515%, members 22
    null round: 458 trials, best 23.572%, members 23
    null round: 456 trials, best 23.882%, members 24
    null round: 454 trials, best 23.956%, members 25
    null round: 452 trials, best 23.956%, members 26
    null round: 504 trials, best 4.167%, members 0
    null round: 502 trials, best 6.069%, members 1
    null round: 500 trials, best 7.710%, members 2
    null round: 498 trials, best 9.116%, members 3
    null round: 496 trials, best 10.354%, members 4
    null round: 494 trials, best 11.652%, members 5
    null round: 492 trials, best 13.268%, members 6
    null round: 490 trials, best 14.832%, members 7
    null round: 488 trials, best 15.412%, members 8
    null round: 486 trials, best 16.142%, members 9
    null round: 484 trials, best 16.857%, members 10
    null round: 482 trials, best 17.280%, members 11
    null round: 480 trials, best 18.055%, members 12
    null round: 478 trials, best 18.421%, members 13
    null round: 476 trials, best 18.733%, members 14
    null round: 474 trials, best 19.378%, members 15
    null round: 472 trials, best 19.792%, members 16
    null round: 470 trials, best 20.472%, members 17
    null round: 468 trials, best 20.647%, members 18
    null round: 466 trials, best 21.004%, members 19
    null round: 464 trials, best 21.143%, members 20
    null round: 462 trials, best 21.386%, members 21
    null round: 460 trials, best 21.963%, members 22
    null round: 458 trials, best 22.151%, members 23
    null round: 456 trials, best 22.464%, members 24
    null round: 454 trials, best 23.315%, members 25
    null round: 452 trials, best 23.517%, members 26
    null round: 450 trials, best 23.517%, members 27
    null round: 504 trials, best 4.146%, members 0
    null round: 502 trials, best 6.047%, members 1
    null round: 500 trials, best 7.672%, members 2
    null round: 498 trials, best 8.921%, members 3
    null round: 496 trials, best 10.151%, members 4
    null round: 494 trials, best 11.407%, members 5
    null round: 492 trials, best 13.664%, members 6
    null round: 490 trials, best 15.221%, members 7
    null round: 488 trials, best 16.363%, members 8
    null round: 486 trials, best 17.220%, members 9
    null round: 484 trials, best 17.738%, members 10
    null round: 482 trials, best 18.144%, members 11
    null round: 480 trials, best 18.743%, members 12
    null round: 478 trials, best 19.945%, members 13
    null round: 476 trials, best 20.262%, members 14
    null round: 474 trials, best 20.860%, members 15
    null round: 472 trials, best 21.399%, members 16
    null round: 470 trials, best 21.847%, members 17
    null round: 468 trials, best 22.105%, members 18
    null round: 466 trials, best 22.300%, members 19
    null round: 464 trials, best 22.563%, members 20
    null round: 462 trials, best 22.644%, members 21
    null round: 460 trials, best 22.857%, members 22
    null round: 458 trials, best 22.857%, members 23
    null round: 504 trials, best 4.146%, members 0
    null round: 502 trials, best 6.047%, members 1
    null round: 500 trials, best 7.672%, members 2
    null round: 498 trials, best 8.921%, members 3
    null round: 496 trials, best 10.151%, members 4
    null round: 494 trials, best 11.407%, members 5
    null round: 492 trials, best 13.664%, members 6
    null round: 490 trials, best 15.221%, members 7
    null round: 488 trials, best 16.363%, members 8
    null round: 486 trials, best 17.220%, members 9
