    team1_W3ONLY_GATE2_pick round: 508 trials, best 8.801%, members 0
    team1_W3ONLY_GATE2_pick round: 506 trials, best 12.823%, members 1
    team1_W3ONLY_GATE2_pick round: 504 trials, best 16.617%, members 2
    team1_W3ONLY_GATE2_pick round: 502 trials, best 19.802%, members 3
    team1_W3ONLY_GATE2_pick round: 500 trials, best 22.412%, members 4
    team1_W3ONLY_GATE2_pick round: 498 trials, best 24.339%, members 5
    team1_W3ONLY_GATE2_pick round: 496 trials, best 25.779%, members 6
    team1_W3ONLY_GATE2_pick round: 494 trials, best 27.270%, members 7
    team1_W3ONLY_GATE2_pick round: 492 trials, best 29.153%, members 8
    team1_W3ONLY_GATE2_pick round: 490 trials, best 30.189%, members 9
    team1_W3ONLY_GATE2_pick round: 488 trials, best 31.344%, members 10
    team1_W3ONLY_GATE2_pick round: 486 trials, best 32.474%, members 11
    team1_W3ONLY_GATE2_pick round: 484 trials, best 33.305%, members 12
    team1_W3ONLY_GATE2_pick round: 482 trials, best 33.825%, members 13
    team1_W3ONLY_GATE2_pick round: 480 trials, best 34.387%, members 14
    team1_W3ONLY_GATE2_pick round: 478 trials, best 35.778%, members 15
    team1_W3ONLY_GATE2_pick round: 476 trials, best 36.498%, members 16
    team1_W3ONLY_GATE2_pick round: 474 trials, best 36.986%, members 17
    team1_W3ONLY_GATE2_pick round: 472 trials, best 37.719%, members 18
    team1_W3ONLY_GATE2_pick round: 470 trials, best 38.267%, members 19
    team1_W3ONLY_GATE2_pick round: 468 trials, best 38.404%, members 20
    team1_W3ONLY_GATE2_pick round: 466 trials, best 38.794%, members 21
    team1_W3ONLY_GATE2_pick round: 464 trials, best 39.082%, members 22
    team1_W3ONLY_GATE2_pick round: 462 trials, best 39.216%, members 23
    team1_W3ONLY_GATE2_pick round: 460 trials, best 39.687%, members 24
    team1_W3ONLY_GATE2_pick round: 458 trials, best 39.687%, members 25
    null round: 508 trials, best 3.386%, members 0
    null round: 506 trials, best 6.457%, members 1
    null round: 504 trials, best 8.068%, members 2
    null round: 502 trials, best 10.468%, members 3
    null round: 500 trials, best 11.405%, members 4
    null round: 498 trials, best 11.994%, members 5
    null round: 496 trials, best 12.752%, members 6
    null round: 494 trials, best 13.514%, members 7
    null round: 492 trials, best 14.457%, members 8
    null round: 490 trials, best 15.028%, members 9
    null round: 488 trials, best 15.688%, members 10
    null round: 486 trials, best 16.157%, members 11
    null round: 484 trials, best 16.754%, members 12
    null round: 482 trials, best 17.042%, members 13
    null round: 480 trials, best 17.411%, members 14
    null round: 478 trials, best 17.822%, members 15
    null round: 476 trials, best 18.108%, members 16
    null round: 474 trials, best 18.436%, members 17
    null round: 472 trials, best 18.476%, members 18
    null round: 470 trials, best 18.951%, members 19
    null round: 468 trials, best 19.180%, members 20
    null round: 466 trials, best 19.356%, members 21
    null round: 464 trials, best 19.554%, members 22
    null round: 462 trials, best 19.649%, members 23
    null round: 460 trials, best 19.791%, members 24
    null round: 458 trials, best 19.915%, members 25
    null round: 456 trials, best 19.927%, members 26
    null round: 454 trials, best 20.502%, members 27
    null round: 452 trials, best 20.617%, members 28
    null round: 450 trials, best 20.617%, members 29
    null round: 508 trials, best 3.378%, members 0
    null round: 506 trials, best 6.608%, members 1
    null round: 504 trials, best 8.152%, members 2
    null round: 502 trials, best 10.382%, members 3
    null round: 500 trials, best 11.353%, members 4
    null round: 498 trials, best 12.718%, members 5
    null round: 496 trials, best 14.484%, members 6
    null round: 494 trials, best 15.700%, members 7
    null round: 492 trials, best 16.157%, members 8
    null round: 490 trials, best 17.205%, members 9
    null round: 488 trials, best 18.116%, members 10
    null round: 486 trials, best 18.452%, members 11
    null round: 484 trials, best 18.925%, members 12
    null round: 482 trials, best 19.510%, members 13
    null round: 480 trials, best 20.101%, members 14
    null round: 478 trials, best 20.639%, members 15
    null round: 476 trials, best 21.012%, members 16
    null round: 474 trials, best 21.537%, members 17
    null round: 472 trials, best 21.537%, members 18
    null round: 508 trials, best 3.388%, members 0
    null round: 506 trials, best 6.587%, members 1
    null round: 504 trials, best 8.070%, members 2
    null round: 502 trials, best 8.818%, members 3
    null round: 500 trials, best 10.588%, members 4
    null round: 498 trials, best 11.657%, members 5
    null round: 496 trials, best 13.297%, members 6
    null round: 494 trials, best 14.261%, members 7
    null round: 492 trials, best 15.033%, members 8
    null round: 490 trials, best 15.589%, members 9
    null round: 488 trials, best 16.038%, members 10
    null round: 486 trials, best 16.310%, members 11
    null round: 484 trials, best 16.502%, members 12
    null round: 482 trials, best 17.090%, members 13
    null round: 480 trials, best 17.233%, members 14
    null round: 478 trials, best 17.973%, members 15
    null round: 476 trials, best 18.207%, members 16
    null round: 474 trials, best 18.449%, members 17
    null round: 472 trials, best 18.850%, members 18
    null round: 470 trials, best 19.107%, members 19
    null round: 468 trials, best 19.298%, members 20
    null round: 466 trials, best 19.600%, members 21
    null round: 464 trials, best 19.673%, members 22
    null round: 462 trials, best 19.817%, members 23
    null round: 460 trials, best 19.817%, members 24
    null round: 508 trials, best 3.358%, members 0
    null round: 506 trials, best 6.518%, members 1
    null round: 504 trials, best 8.080%, members 2
    null round: 502 trials, best 10.479%, members 3
    null round: 500 trials, best 11.282%, members 4
    null round: 498 trials, best 11.918%, members 5
    null round: 496 trials, best 12.763%, members 6
    null round: 494 trials, best 13.405%, members 7
    null round: 492 trials, best 13.937%, members 8
    null round: 490 trials, best 14.418%, members 9
    null round: 488 trials, best 15.239%, members 10
    null round: 486 trials, best 15.691%, members 11
    null round: 484 trials, best 16.178%, members 12
    null round: 482 trials, best 16.693%, members 13
    null round: 480 trials, best 17.136%, members 14
    null round: 478 trials, best 17.384%, members 15
    null round: 476 trials, best 17.565%, members 16
    null round: 474 trials, best 18.311%, members 17
    null round: 472 trials, best 18.319%, members 18
    null round: 470 trials, best 18.734%, members 19
    null round: 468 trials, best 19.118%, members 20
    null round: 466 trials, best 19.734%, members 21
    null round: 464 trials, best 19.796%, members 22
    null round: 462 trials, best 20.064%, members 23
    null round: 460 trials, best 20.199%, members 24
    null round: 458 trials, best 20.331%, members 25
    null round: 456 trials, best 20.342%, members 26
    null round: 454 trials, best 20.482%, members 27
    null round: 452 trials, best 20.749%, members 28
    null round: 450 trials, best 20.749%, members 29
    null round: 508 trials, best 3.392%, members 0
    null round: 506 trials, best 6.457%, members 1
    null round: 504 trials, best 8.117%, members 2
    null round: 502 trials, best 10.453%, members 3
    null round: 500 trials, best 11.232%, members 4
    null round: 498 trials, best 12.662%, members 5
    null round: 496 trials, best 14.674%, members 6
    null round: 494 trials, best 15.706%, members 7
    null round: 492 trials, best 16.313%, members 8
