pair,slope_is,slope_oos,e5_is,e20_is,persist_is,persist_oos,raw_slope_is,shape_is,shape_oos,stable
EURGBP,0.002786021914663155,0.002434642107333749,0.4576982272133127,0.21449710496179275,-0.24394109180717644,-0.23687481019608583,-0.01586613522852686,sustains,sustains,True
EURAUD,0.007313150449176328,0.004076967042501447,0.4687170592385692,0.23087649175340777,-0.23821901226493572,-0.23573315355239705,-0.015554003661662359,sustains,sustains,True
EURNZD,0.0075933778442037565,0.009473971235872366,0.46374750322834535,0.22195750990262275,-0.24199674067462382,-0.22806711555294587,-0.015803186089915017,sustains,sustains,True
EURUSD,0.0062539641499715515,-0.0006243099752925131,0.4650269461606531,0.2421612502517415,-0.22347521744277987,-0.2373588374102958,-0.014645833360271471,sustains,bursts,False
EURCAD,0.004480490000058607,-0.0024377690627688862,0.46028656062103485,0.23090425579002813,-0.22982370538192518,-0.2341963248286889,-0.014940060165832837,sustains,bursts,False
EURCHF,0.0028601910198548836,0.0017984180080571222,0.4413147599147991,0.21696735585918986,-0.22480731305910315,-0.22154121384507536,-0.014669842456993421,sustains,sustains,True
EURJPY,0.004706603556075564,0.0010142396648814265,0.4750268433127963,0.23216160666924215,-0.24344445795440545,-0.24658422285027817,-0.015881095815298778,sustains,sustains,True
GBPAUD,0.005635430512333977,0.006610829007550412,0.45049959728566596,0.2258354414307411,-0.22420637575310234,-0.2183819514863811,-0.014630513034173004,sustains,sustains,True
GBPNZD,0.004324593387990172,0.006626035372498229,0.455817142201451,0.2219919487385742,-0.23382495919928933,-0.21484376300898944,-0.015239220850438263,sustains,sustains,True
GBPUSD,0.007872015496397575,0.0063170686979041185,0.47081037081957555,0.23314067494236254,-0.23783545475365456,-0.23432528748721485,-0.015611892828761876,sustains,sustains,True
GBPCAD,0.004022262837863503,0.002816037038654044,0.4407362837655511,0.2138129975673985,-0.22682970004357783,-0.22863046195411735,-0.014771349989940187,sustains,sustains,True
GBPCHF,0.005117668385574948,0.008829246169339017,0.46004336386937594,0.21563968207021536,-0.24535606851107986,-0.22715906288599588,-0.015972010314822337,sustains,sustains,True
GBPJPY,0.0029965596553061433,0.003952992201555874,0.4770619968870196,0.2358518173653135,-0.2416606740767504,-0.23375526369180702,-0.015755349809762877,sustains,sustains,True
AUDNZD,0.002232456374669061,-0.0008575955468488777,0.4677647756959047,0.24840492477666545,-0.21927338791650228,-0.23041419379578898,-0.01438527357462463,sustains,bursts,False
AUDUSD,0.004488671661280558,0.0005236555140757272,0.452497487537943,0.229957965366455,-0.22285342036213834,-0.23430132737950202,-0.014661311142588887,sustains,sustains,True
AUDCAD,0.0021760645383282597,-0.004048479645408165,0.4345602820316849,0.21676123585053886,-0.21784728115107843,-0.23835370836513606,-0.014207678551817619,sustains,bursts,False
AUDCHF,0.00808903776555144,0.006302194188905722,0.47179757094931857,0.221211768667335,-0.2509898140114858,-0.23648479918637158,-0.01640859571579854,sustains,sustains,True
AUDJPY,0.004262220724770426,0.0021576611859265922,0.4741650658072168,0.23270146143179946,-0.2411835194913071,-0.2431595459151805,-0.01578954858369834,sustains,sustains,True
NZDUSD,0.004488136608827345,0.003635941918173216,0.4567634445616961,0.22809342266845203,-0.2286830894748756,-0.23531282370199438,-0.014948067696874128,sustains,sustains,True
NZDCAD,0.00811946729267938,0.003943812923173786,0.4508984604621606,0.2240749207037824,-0.2263494366755721,-0.23982813706327322,-0.014762884753120873,sustains,sustains,True
NZDCHF,0.007548337432705787,0.011409641561068619,0.4614670731690366,0.20993763318257608,-0.25182220259978305,-0.2279707112179276,-0.016488934686802948,sustains,sustains,True
NZDJPY,0.006725100164841161,0.004415444947955341,0.4746264951846721,0.23283355390479302,-0.24154534996300675,-0.24446884304915695,-0.015742803923722123,sustains,sustains,True
USDCAD,0.00624269573823715,0.007297720548144569,0.45117618797024817,0.21955063261830296,-0.23112063534892766,-0.23398794041350074,-0.015172611787014956,sustains,sustains,True
USDCHF,0.007589819411308087,0.004044039163402783,0.46640840518278154,0.23666555199304157,-0.2303223107168656,-0.23549485368329423,-0.015104102890425741,sustains,sustains,True
USDJPY,0.0047442292743254556,0.0042576231511015,0.4635295650292809,0.23151269496691138,-0.23243645541051186,-0.23570736395373482,-0.015114386466776734,sustains,sustains,True
CADCHF,0.004186324876911288,0.00011853852988943125,0.4541864966417136,0.21609441136555999,-0.23853258772534114,-0.24029867769331972,-0.015502130774091669,sustains,sustains,True
CADJPY,0.00647533058066376,0.004676364081491183,0.4513325268568461,0.22061099138792598,-0.23068869677223536,-0.24105988341833023,-0.015078558848118383,sustains,sustains,True
CHFJPY,0.004806294164650798,0.007515094229619859,0.4618387644113321,0.22266297262733808,-0.23993324459448787,-0.22550446956202516,-0.01569606513388427,sustains,sustains,True
