pair,date,state,activity,days_in_state,changed,change_date,change_weekday,changed_from,prev_run,pending_state,pending_days,dwell_needed,firmness_sd,firmness_word,trend_dist_sd,chop_dist_sd,lower_confidence,shared_same_state_same_ccy,shared_top_currency,shared_top_count
AUDJPY,2026-08-28,ranging,medium,2,state,2026-08-27,Thursday,neither,18,,0,5,0.24174321116038494,clearly,0.24174321116038494,0.5928731748256615,False,8,JPY,6
USDCHF,2026-08-28,ranging,weak,3,state,2026-08-26,Wednesday,neither,6,,0,5,0.6556434956962344,solidly,1.2389529563978554,0.6556434956962344,False,6,USD,3
GBPCAD,2026-08-28,trend-in-range,weak,16,activity,2026-08-25,Tuesday,medium,0,,0,5,0.09055282288950055,barely,0.09055282288950055,0.3220581238090781,True,1,CAD,1
NZDCHF,2026-08-28,ranging,medium,95,activity,2026-08-26,Wednesday,weak,0,trend-in-range,3,5,0.12504081076067997,barely,0.12504081076067997,0.3997242063337599,False,8,NZD,5
GBPCHF,2026-08-28,trending,medium,28,activity,2026-08-25,Tuesday,strong,0,,0,5,0.162718180746942,barely,0.162718180746942,0.6989781178402297,False,0,,0
NZDCAD,2026-08-28,ranging,medium,85,activity,2026-08-26,Wednesday,weak,0,,0,5,0.4815323359291179,clearly,0.4815323359291179,2.4934185856955597,False,8,NZD,5
EURNZD,2026-08-28,ranging,medium,78,activity,2026-08-27,Thursday,weak,0,,0,5,0.6581614994741471,solidly,0.6581614994741471,2.005209990373581,False,10,EUR,5
EURGBP,2026-08-28,ranging,weak,121,,,,,0,,0,5,0.04408749096972838,barely,0.04408749096972838,1.2057489344389927,False,8,EUR,5
GBPAUD,2026-08-28,ranging,weak,14,,,,,0,,0,5,0.1175133318019848,barely,0.942283800518647,0.1175133318019848,False,5,GBP,3
GBPUSD,2026-08-28,neither,weak,10,,,,,0,,0,5,0.13528316619676972,barely,0.584405887389047,0.13528316619676972,True,2,USD,2
EURCHF,2026-08-28,trend-in-range,strong,19,,,,,0,,0,5,0.2610988984509613,clearly,0.2610988984509613,0.36545728743026284,True,1,CHF,1
AUDCHF,2026-08-28,trend-in-range,medium,18,,,,,0,trending,2,5,0.4483729669471428,clearly,3.6250781776424255,0.4483729669471428,True,2,CHF,1
AUDUSD,2026-08-28,neither,weak,43,,,,,0,,0,5,0.4576435172572724,clearly,0.6078683870414805,0.4576435172572724,True,2,USD,2
EURAUD,2026-08-28,ranging,weak,16,,,,,0,,0,5,0.48673618088272474,clearly,0.48673618088272474,1.2407683251291008,False,7,EUR,5
GBPJPY,2026-08-28,ranging,medium,20,,,,,0,,0,5,0.5278874763708846,solidly,0.5278874763708846,1.955795624988426,False,9,JPY,6
GBPNZD,2026-08-28,ranging,weak,31,,,,,0,,0,5,0.6824186656990402,solidly,0.9459653753483169,0.6824186656990402,False,8,NZD,5
CHFJPY,2026-08-28,ranging,medium,23,,,,,0,,0,5,0.7445169871534921,solidly,0.7445169871534921,1.0517566184800073,False,9,JPY,6
NZDJPY,2026-08-28,ranging,medium,24,,,,,0,,0,5,0.7555738400630926,solidly,0.7555738400630926,1.8334732609514341,False,11,JPY,6
EURUSD,2026-08-28,ranging,weak,17,,,,,0,,0,5,0.8013158958988575,solidly,1.2465514371934128,0.8013158958988575,False,8,EUR,5
CADCHF,2026-08-28,ranging,medium,148,,,,,0,,0,5,0.8059678105572142,solidly,0.9383282355830819,0.8059678105572142,False,6,CAD,3
AUDCAD,2026-08-28,trend-in-range,medium,6,,,,,0,trending,3,5,0.8161833765711075,solidly,0.9095558065404139,0.8161833765711075,True,2,CAD,1
USDJPY,2026-08-28,ranging,weak,8,,,,,0,neither,3,5,0.8656344434274316,solidly,0.8656344434274316,0.9276157464954151,False,9,JPY,6
CADJPY,2026-08-28,ranging,medium,33,,,,,0,,0,5,0.8905398589538476,solidly,0.8905398589538476,1.8436729704568362,False,9,JPY,6
USDCAD,2026-08-28,neither,weak,6,,,,,0,,0,5,0.9122499413049636,solidly,0.9584235061750601,0.9122499413049636,True,2,USD,2
NZDUSD,2026-08-28,ranging,weak,81,,,,,0,,0,5,0.9584389232719145,solidly,0.9584389232719145,1.8670828434527518,False,8,NZD,5
EURCAD,2026-08-28,ranging,weak,5,,,,,0,,0,5,0.960524547543983,solidly,1.11990593939442,0.960524547543983,False,8,EUR,5
EURJPY,2026-08-28,ranging,medium,71,,,,,0,,0,5,1.1565732085061298,solidly,1.1565732085061298,1.3669005419822402,False,11,JPY,6
AUDNZD,2026-08-28,trending,medium,126,,,,,0,,0,5,1.2819683947751217,solidly,2.2443225853047033,1.2819683947751217,False,0,,0
