classifier,prop,observed,surrogate,sd,corrected,boot_p
product M=5,autocorr,0.021495259459873784,0.05055472089447558,0.022078347363106793,-0.029059461434601797,0.391
product M=5,dir_changes,-0.033474539452030376,-0.05505052183972138,0.02418662695500829,0.021575982387691005,0.186
product M=5,mean_crossings,-0.028761156047245627,-0.05397096244856683,0.02030578775241051,0.0252098064013212,0.266
product M=5,run_length,0.03408833859678922,0.05465430556581521,0.023120795012778528,-0.02056596696902599,0.171
product M=5,realised_vol,-0.03412350508907627,-0.015362419207949268,0.023568902136878303,-0.018761085881127005,0.227
product M=5,avg_abs_move,-0.027037752175064725,-0.015887646912755245,0.02395711965877368,-0.01115010526230948,0.344
structural M=5,autocorr,0.07662939614639855,0.103722040694407,0.020444221027189933,-0.027092644548008457,0.0
structural M=5,dir_changes,-0.08572448440525998,-0.11048551203052517,0.02511997951959921,0.024761027625265192,0.0
structural M=5,mean_crossings,-0.07909888858474441,-0.056720988891552845,0.020759713191608527,-0.022377899693191566,0.0
structural M=5,run_length,0.08988768225198933,0.11049036640678538,0.024021737858985988,-0.020602684154796047,0.0
structural M=5,realised_vol,0.06383850519614782,0.08274545659487255,0.03698460021686386,-0.018906951398724725,0.056
structural M=5,avg_abs_move,0.07839506686644594,0.09678615074217542,0.037256255180151576,-0.018391083875729478,0.022
grid,autocorr,0.12599274083315096,0.07218237787636769,0.033880461598283895,0.053810362956783264,0.01
grid,dir_changes,-0.020673599256755375,-0.01132658338558698,0.040261352713222676,-0.009347015871168395,0.524
grid,mean_crossings,0.17121499734477522,0.17175630521409802,0.03626045948456002,-0.0005413078693227991,0.0
grid,run_length,0.0028479162127094397,0.0011062506647010063,0.03968129539464712,0.0017416655480084334,0.815
grid,realised_vol,-0.17902982543231133,-0.12178717158783185,0.04070363390576967,-0.05724265384447948,0.002
grid,avg_abs_move,-0.19900281873669448,-0.13908825202956956,0.04055336143962211,-0.05991456670712492,0.0
