budget,structure,draw,median_year_pct,total_return_pct
team1,ALLPASS,0,-1.285302215445578,-6.932235457442153
team1,ALLPASS,1,-0.6969386456974564,-1.5528332520651114
team1,ALLPASS,2,-0.4810056596053039,-3.3953884289024567
team1,ALLPASS,3,-1.685572864418784,-7.703870572082095
team1,ALLPASS,4,0.8653483883225006,0.5153631634574909
team1,ALLPASS,5,-0.11783962371062232,-2.8229835469970217
team1,ALLPASS,6,-1.749222389104741,-6.098291084159042
team1,ALLPASS,7,-0.7844104176739243,-5.290424668305245
team1,ALLPASS,8,-1.2366403469072444,-8.556451748088909
team1,ALLPASS,9,-0.45935177511125147,-3.0390007208634153
team1,ALLPASS,10,0.8322805808143554,0.005829258525859693
team1,ALLPASS,11,-1.4335176553699447,-4.646281628819059
team1,ALLPASS,12,0.33823473580609964,-1.547705319036353
team1,ALLPASS,13,-0.9295877570467085,-3.726012680818154
team1,ALLPASS,14,0.48387300133254585,-1.6437721597386672
team1,ALLPASS,15,-0.3939880733137278,-1.0208902796811588
team1,ALLPASS,16,-1.5729162572835047,-6.169371039788157
team1,ALLPASS,17,-0.04763267051093676,-2.980665123463444
team1,ALLPASS,18,-1.2517391609880155,-3.494756708837386
team1,ALLPASS,19,-0.2218351292677272,-3.7826414526234715
team1,ALLPASS,20,-0.5682638033260843,1.2345798571902953
team1,ALLPASS,21,-0.9351486892291306,-1.90962376650603
team1,ALLPASS,22,-0.989710649299089,-0.5242806924602361
team1,ALLPASS,23,-0.5579023715948719,-2.4178892751815644
team1,ALLPASS,24,0.3259681936779204,-3.5327748346229466
team2,ALLPASS,0,-1.927953323168367,-10.398353186163225
team2,ALLPASS,1,-1.0454079685461852,-2.32924987809767
team2,ALLPASS,2,-0.7215084894079558,-5.093082643353686
team2,ALLPASS,3,-2.5283592966281763,-11.55580585812314
team2,ALLPASS,4,1.2980225824837506,0.7730447451862373
team2,ALLPASS,5,-0.17675943556593454,-4.23447532049553
team2,ALLPASS,6,-2.623833583657112,-9.147436626238564
team2,ALLPASS,7,-1.1766156265108867,-7.935637002457868
team2,ALLPASS,8,-1.854960520360867,-12.834677622133366
team2,ALLPASS,9,-0.6890276626668771,-4.558501081295121
team2,ALLPASS,10,1.2484208712215328,0.008743887788792204
team2,ALLPASS,11,-2.1502764830549173,-6.969422443228593
team2,ALLPASS,12,0.5073521037091498,-2.3215579785545306
team2,ALLPASS,13,-1.3943816355700633,-5.589019021227234
team2,ALLPASS,14,0.7258095019988183,-2.4656582396080027
team2,ALLPASS,15,-0.5909821099705915,-1.5313354195217386
team2,ALLPASS,16,-2.359374385925257,-9.254056559682237
team2,ALLPASS,17,-0.0714490057664053,-4.470997685195167
team2,ALLPASS,18,-1.8776087414820228,-5.242135063256076
team2,ALLPASS,19,-0.332752693901591,-5.6739621789352075
team2,ALLPASS,20,-0.8523957049891269,1.851869785785441
team2,ALLPASS,21,-1.4027230338436962,-2.864435649759047
team2,ALLPASS,22,-1.4845659739486332,-0.786421038690353
team2,ALLPASS,23,-0.8368535573923077,-3.6268339127723452
team2,ALLPASS,24,0.4889522905168806,-5.299162251934417
