budget,structure,draw,median_year_pct,total_return_pct
team1,NO_CUT,0,-2.6414703475840615,-9.977456584853119
team1,NO_CUT_SLICE_BALANCED,0,-3.17365505328183,-11.087291968236048
team1,NO_CUT,1,-2.6466742346405416,-10.37247232332437
team1,NO_CUT_SLICE_BALANCED,1,-2.272067124211428,-9.22377446503894
team1,NO_CUT,2,-2.866737669327192,-9.425202380054834
team1,NO_CUT_SLICE_BALANCED,2,-3.3911248318499045,-13.243114633859571
team1,NO_CUT,3,-2.0254224965278445,-8.736402317013173
team1,NO_CUT_SLICE_BALANCED,3,-1.7134819853241228,-8.171818528623737
team1,NO_CUT,4,-1.5358866309783927,-4.854488767547508
team1,NO_CUT_SLICE_BALANCED,4,-2.3757036088028767,-6.770681457993687
team1,NO_CUT,5,-2.2269387281741952,-6.767311714385253
team1,NO_CUT_SLICE_BALANCED,5,-1.7290040941913851,-10.388671150008749
team1,NO_CUT,6,-1.039657567805834,-5.725996203836335
team1,NO_CUT_SLICE_BALANCED,6,-1.5532676900356113,-7.249876127824477
team1,NO_CUT,7,-1.3989761752547254,-2.3661000657573084
team1,NO_CUT_SLICE_BALANCED,7,-2.898896070105944,-8.492974833148914
team1,NO_CUT,8,-2.056750046391045,-10.28693373794526
team1,NO_CUT_SLICE_BALANCED,8,-1.4819578170064727,-10.868797569168354
team1,NO_CUT,9,-2.877487818579574,-9.879185080978655
team1,NO_CUT_SLICE_BALANCED,9,-1.6809532022846063,-12.870601433608869
team1,NO_CUT,10,-4.483085238996337,-15.267983813485374
team1,NO_CUT_SLICE_BALANCED,10,-1.0950435167877535,-8.924649989167065
team1,NO_CUT,11,-2.836962404454644,-9.960157253492197
team1,NO_CUT_SLICE_BALANCED,11,-1.3207397421889093,-9.925458373915312
team1,NO_CUT,12,-2.7493119803526427,-11.11860546671646
team1,NO_CUT_SLICE_BALANCED,12,-4.07118056725459,-11.972108994469387
team1,NO_CUT,13,-3.241583649631476,-8.903518198982871
team1,NO_CUT_SLICE_BALANCED,13,-1.245455407222174,-7.793188619466594
team1,NO_CUT,14,-1.8532981349514455,-8.77654535133997
team1,NO_CUT_SLICE_BALANCED,14,-1.3335170756845378,-10.900877439209012
team1,NO_CUT,15,-1.841810523732646,-11.112672679916631
team1,NO_CUT_SLICE_BALANCED,15,-2.6401821141005457,-15.536953668922342
team1,NO_CUT,16,-1.8802888566922975,-3.00660818930464
team1,NO_CUT_SLICE_BALANCED,16,-1.2040050347567262,-3.575415620995905
team1,NO_CUT,17,-3.071863981108659,-10.361760259198597
team1,NO_CUT_SLICE_BALANCED,17,-0.6239960287725974,-9.777490443022522
team1,NO_CUT,18,-2.3864675164782105,-8.806232869871579
team1,NO_CUT_SLICE_BALANCED,18,-1.9075873688155107,-9.873747066884938
team1,NO_CUT,19,-2.571363852997582,-9.772122037067433
team1,NO_CUT_SLICE_BALANCED,19,-2.8153414306261193,-8.794147120370612
team1,NO_CUT,20,-3.2632422474145377,-9.480298576163959
team1,NO_CUT_SLICE_BALANCED,20,-2.15212001106057,-12.35039219731752
team1,NO_CUT,21,-1.7586573004123751,-9.803743429310833
team1,NO_CUT_SLICE_BALANCED,21,-0.8392967357633165,-10.953844808058708
team1,NO_CUT,22,-2.311402019595068,-8.142016332241687
team1,NO_CUT_SLICE_BALANCED,22,-2.0204964041514617,-11.540097767244191
team1,NO_CUT,23,-1.6121831545768148,-6.985980785746099
team1,NO_CUT_SLICE_BALANCED,23,-1.404291500550472,-8.98759559453274
team1,NO_CUT,24,-2.6343459564738017,-10.236011219293939
team1,NO_CUT_SLICE_BALANCED,24,-3.3756413301619412,-8.435487526820324
team2,NO_CUT,0,-3.9622055213760934,-14.966184877279678
team2,NO_CUT_SLICE_BALANCED,0,-4.760482579922745,-16.63093795235407
team2,NO_CUT,1,-3.970011351960813,-15.55870848498656
team2,NO_CUT_SLICE_BALANCED,1,-3.408100686317142,-13.835661697558407
team2,NO_CUT,2,-4.300106503990787,-14.137803570082252
team2,NO_CUT_SLICE_BALANCED,2,-5.086687247774857,-19.864671950789358
team2,NO_CUT,3,-3.0381337447917653,-13.10460347551976
team2,NO_CUT_SLICE_BALANCED,3,-2.570222977986184,-12.257727792935604
team2,NO_CUT,4,-2.3038299464675887,-7.281733151321261
team2,NO_CUT_SLICE_BALANCED,4,-3.563555413204315,-10.156022186990533
team2,NO_CUT,5,-3.3404080922612938,-10.150967571577885
team2,NO_CUT_SLICE_BALANCED,5,-2.5935061412870786,-15.583006725013126
team2,NO_CUT,6,-1.5594863517087516,-8.588994305754504
team2,NO_CUT_SLICE_BALANCED,6,-2.329901535053417,-10.874814191736714
team2,NO_CUT,7,-2.098464262882089,-3.549150098635964
team2,NO_CUT_SLICE_BALANCED,7,-4.348344105158915,-12.739462249723369
team2,NO_CUT,8,-3.085125069586568,-15.430400606917893
team2,NO_CUT_SLICE_BALANCED,8,-2.222936725509709,-16.30319635375253
team2,NO_CUT,9,-4.3162317278693605,-14.818777621467978
team2,NO_CUT_SLICE_BALANCED,9,-2.5214298034269094,-19.305902150413303
team2,NO_CUT,10,-6.724627858494506,-22.901975720228062
team2,NO_CUT_SLICE_BALANCED,10,-1.64256527518163,-13.386974983750596
team2,NO_CUT,11,-4.2554436066819665,-14.940235880238292
team2,NO_CUT_SLICE_BALANCED,11,-1.9811096132833639,-14.888187560872968
team2,NO_CUT,12,-4.123967970528964,-16.67790820007469
team2,NO_CUT_SLICE_BALANCED,12,-6.106770850881885,-17.958163491704084
team2,NO_CUT,13,-4.862375474447214,-13.355277298474308
team2,NO_CUT_SLICE_BALANCED,13,-1.8681831108332607,-11.68978292919989
team2,NO_CUT,14,-2.7799472024271688,-13.164818027009954
team2,NO_CUT_SLICE_BALANCED,14,-2.0002756135268074,-16.35131615881352
team2,NO_CUT,15,-2.76271578559897,-16.66900901987495
team2,NO_CUT_SLICE_BALANCED,15,-3.9602731711508192,-23.305430503383512
team2,NO_CUT,16,-2.8204332850384453,-4.509912283956959
team2,NO_CUT_SLICE_BALANCED,16,-1.8060075521350891,-5.36312343149386
team2,NO_CUT,17,-4.607795971662989,-15.5426403887979
team2,NO_CUT_SLICE_BALANCED,17,-0.935994043158896,-14.666235664533783
team2,NO_CUT,18,-3.579701274717316,-13.209349304807365
team2,NO_CUT_SLICE_BALANCED,18,-2.8613810532232664,-14.81062060032741
team2,NO_CUT,19,-3.8570457794963744,-14.658183055601151
team2,NO_CUT_SLICE_BALANCED,19,-4.22301214593918,-13.191220680555915
team2,NO_CUT,20,-4.894863371121807,-14.220447864245939
team2,NO_CUT_SLICE_BALANCED,20,-3.228180016590855,-18.52558829597628
team2,NO_CUT,21,-2.637985950618564,-14.705615143966256
team2,NO_CUT_SLICE_BALANCED,21,-1.258945103644975,-16.430767212088064
team2,NO_CUT,22,-3.4671030293926015,-12.213024498362525
team2,NO_CUT_SLICE_BALANCED,22,-3.0307446062271928,-17.310146650866287
team2,NO_CUT,23,-2.418274731865222,-10.47897117861914
team2,NO_CUT_SLICE_BALANCED,23,-2.1064372508257083,-13.48139339179911
team2,NO_CUT,24,-3.951518934710703,-15.35401682894091
team2,NO_CUT_SLICE_BALANCED,24,-5.063461995242911,-12.653231290230487
