budget,draw,median_year_pct,total_return_pct,max_dd_pct,trades
team1,0,-1.7009734089618243,-4.941873489981114,6.997803032618818,328857
team2,0,-2.551460113442737,-7.412810234971669,10.496704548928236,328857
team1,1,-1.184608825501988,-4.51826060350678,5.359052676876677,328608
team2,1,-1.7769132382529818,-6.777390905260171,8.038579015315008,328608
team1,2,-0.7590352873428198,-3.1470178386193988,4.789971700592066,330300
team2,2,-1.1385529310142297,-4.720526757929099,7.184957550888092,330300
team1,3,-0.5026920306833687,-2.5334241677057654,5.207413302011545,330689
team2,3,-0.7540380460250532,-3.8001362515586488,7.811119953017318,330689
team1,4,-0.8981386581071863,-5.669923132985968,7.428778951044597,338438
team2,4,-1.3472079871607796,-8.504884699478955,11.143168426566891,338438
team1,5,-1.2512139329019003,-5.4890210392019085,7.177240151313517,331111
team2,5,-1.8768208993528508,-8.233531558802863,10.765860226970272,331111
team1,6,-0.5733620538787926,-2.5813008862889513,4.778515472225758,337666
team2,6,-0.8600430808181887,-3.871951329433426,7.167773208338644,337666
team1,7,-0.65979994205718,-1.9780202619514906,4.192599500330628,339692
team2,7,-0.9896999130857691,-2.9670303929272346,6.288899250495936,339692
team1,8,-0.8686547681273902,-3.4485416828596804,4.9740797231106155,331689
team2,8,-1.3029821521910847,-5.172812524289519,7.461119584665926,331689
team1,9,-1.3476553462558514,-4.8539530341312656,6.712792727475923,336342
team2,9,-2.021483019383777,-7.280929551196899,10.069189091213895,336342
team1,10,-0.899841513542592,-4.396641245920558,5.966643395489058,329609
team2,10,-1.3497622703138883,-6.594961868880838,8.949965093233594,329609
team1,11,-0.9452645506694587,-4.019127084738412,5.704767591276822,336427
team2,11,-1.4178968260041882,-6.028690627107616,8.557151386915223,336427
team1,12,-0.9935328292426338,-2.9215965955545755,4.706579372614622,330693
team2,12,-1.4902992438639502,-4.382394893331863,7.059869058921933,330693
team1,13,-1.1718650424219779,-4.752901767781725,6.128160087165953,335401
team2,13,-1.757797563632967,-7.129352651672585,9.192240130748921,335401
team1,14,-0.25153077054918704,-0.20306987128674409,3.2460193728314666,329940
team2,14,-0.3772961558237806,-0.3046048069301167,4.869029059247205,329940
team1,15,-1.1439654190051678,-4.627235386800575,6.57061187218695,331736
team2,15,-1.7159481285077518,-6.9408530802008634,9.855917808280424,331736
team1,16,-1.2099168730584584,-4.054256192242763,5.704995898147583,328557
team2,16,-1.8148753095876877,-6.081384288364141,8.55749384722138,328557
team1,17,-1.188005188938581,-4.174893343910803,5.838881445303323,337709
team2,17,-1.782007783407871,-6.2623400158662035,8.758322167954988,337709
team1,18,-0.2987430139993883,-2.1909797122783154,4.8062543171588885,336016
team2,18,-0.4481145209990822,-3.286469568417474,7.209381475738338,336016
team1,19,-1.2478000290725466,-4.632137896538168,6.498090468880615,336382
team2,19,-1.87170004360882,-6.948206844807253,9.74713570332092,336382
team1,20,-0.7202448849648688,-2.524353262479361,4.079190387929813,336894
team2,20,-1.0803673274473033,-3.7865298937190426,6.118785581894728,336894
team1,21,-1.0368768655722533,-3.880978783264359,5.665265108508141,341036
team2,21,-1.5553152983583802,-5.82146817489654,8.49789766276222,341036
team1,22,-0.5107988305192985,-4.272337660129518,6.129859064538291,342326
team2,22,-0.7661982457789475,-6.408506490194276,9.194788596807438,342326
team1,23,-1.1261213542857529,-4.638289102840364,6.462070809730192,330557
team2,23,-1.6891820314286297,-6.957433654260548,9.693106214595272,330557
team1,24,-0.9108419624762691,-3.6769181057934137,5.198282226597081,343617
team2,24,-1.3662629437144036,-5.5153771586901215,7.797423339895619,343617
