slice,inside,trades,mean_R,sum_R,win_rate,R_per_year
A-chop,False,24342,-0.06421861937687702,-1563.2096328719404,0.36508914633144357,-312.6419265743881
A-chop,True,13878,0.14376339595793317,1995.1484091041966,0.4280876206946246,399.0296818208393
A-trend,False,89962,-0.025853982349452173,-2325.8759601214165,0.34176652364331606,-465.1751920242833
A-trend,True,62526,-0.015276989357258242,-955.2090365519288,0.3486229728432972,-191.04180731038576
B-chop,False,23342,-0.012130804121090586,-283.15722979449646,0.3008311198697627,-56.63144595889929
B-chop,True,14330,0.13411208588243095,1921.8261906952357,0.3440334961618981,384.36523813904716
B-trend,False,106456,-0.011245504818173643,-1197.1514609234935,0.3010069888028857,-239.4302921846987
B-trend,True,71984,0.0021580284994710043,155.34352350592079,0.31005501222493886,31.068704701184156
A-chop,neither,7771,-0.018393702687966543,-142.937463588188,0.38141809290953543,-28.5874927176376
A-chop,ranging,14018,0.14185198811402022,1988.4811693823353,0.4277357682979027,397.6962338764671
A-chop,trend-in-range,6572,-0.16174613567018384,-1062.9956036244482,0.3344491783323189,-212.59912072488964
A-chop,trending,9859,-0.035562361896484714,-350.6093259374428,0.372248706765392,-70.12186518748857
A-trend,neither,30986,-0.04793598997383051,-1485.344585329112,0.33424772477893244,-297.0689170658224
A-trend,ranging,60534,-0.04270427628640849,-2585.0606607214513,0.3334489708263125,-517.0121321442903
A-trend,trend-in-range,25784,-0.06556974366067242,-1690.6502705467776,0.3190350605026373,-338.1300541093555
A-trend,trending,35184,0.07048574692826272,2479.9705199239957,0.39154160982264663,495.99410398479915
B-chop,neither,7663,0.02127503887897417,163.03062292957907,0.30810387576667103,32.606124585915815
B-chop,ranging,14462,0.13093609304412038,1893.597777604069,0.34248375051860047,378.7195555208138
B-chop,trend-in-range,6245,-0.058461690488699945,-365.09325710193116,0.2877502001601281,-73.01865142038623
B-chop,trending,9302,-0.005683313538053938,-52.86618253097773,0.3054181896366373,-10.573236506195546
B-trend,neither,35622,-0.018306453073720808,-652.1124713920826,0.3020043793161529,-130.42249427841654
B-trend,ranging,72210,-0.026831640984440106,-1937.5127954864201,0.2956238748095832,-387.502559097284
B-trend,trend-in-range,30276,-0.03201214454424743,-969.1996882216351,0.2816422248645792,-193.83993764432702
B-trend,trending,40332,0.062407443659688706,2517.017017682565,0.34044927105028266,503.403403536513
