slice,inside,trades,mean_R,sum_R,win_rate,R_per_year
A-chop,False,3998,-0.08362138460150895,-334.3182956368328,0.3034017008504252,-66.86365912736656
A-chop,True,257814,-0.08391183096550961,-21633.644788541893,0.30444816805914343,-4326.728957708378
A-trend,False,1080342,-0.0393838023817692,-42547.9758327253,0.2905848333213001,-8509.59516654506
B-chop,False,2816,-0.16439306415587882,-462.9308686629547,0.24644886363636365,-92.58617373259094
B-chop,True,254650,-0.04231021341487458,-10774.295846097812,0.2774710386805419,-2154.8591692195623
B-trend,False,1349814,-0.026052748384592067,-35166.36450799976,0.271709287353665,-7033.272901599952
A-chop,neither,53701,-0.00267398541112182,-143.59569056265286,0.329733152082829,-28.719138112530572
A-chop,ranging,98218,-0.05816877473490025,-5713.220716912433,0.3117249384023295,-1142.6441433824866
A-chop,trend-in-range,44673,-0.16427233249070386,-7338.537909357214,0.27999015065028093,-1467.7075818714427
A-chop,trending,65220,-0.13450795411448066,-8772.608767346428,0.2893590923029746,-1754.5217534692856
A-trend,neither,212042,0.003035273164977586,643.6053924481773,0.31311249658086604,128.72107848963546
A-trend,ranging,448924,-0.04169131024907065,-18716.22976225379,0.29009810123762597,-3743.2459524507585
A-trend,trend-in-range,175854,-0.07295040514505324,-12828.620546378193,0.2722656294426058,-2565.7241092756385
A-trend,trending,243504,-0.04788660319788531,-11660.579425097865,0.2850425455023326,-2332.115885019573
B-chop,neither,52172,-0.0029243809704909444,-152.57080399245356,0.2908264969715556,-30.514160798490714
B-chop,ranging,101839,-0.02961914482012695,-3016.3840893369083,0.2814442404187001,-603.2768178673816
B-chop,trend-in-range,42753,-0.0969523331239004,-4145.003098046114,0.25834444366477205,-829.0006196092229
B-chop,trending,60700,-0.06468351771419084,-3926.289525251384,0.271334431630972,-785.2579050502768
B-trend,neither,262388,-0.0070570296305869544,-1851.6798907104499,0.28093129258960015,-370.33597814208997
B-trend,ranging,551518,-0.02351872221219567,-12970.998637025732,0.2741379247821467,-2594.1997274051464
B-trend,trend-in-range,224176,-0.05147032367120669,-11538.411279316431,0.2508564699164942,-2307.682255863286
B-trend,trending,311732,-0.028246297142889266,-8805.274700947157,0.27464617042844497,-1761.0549401894314
