# VOTE-TIMING LEAK (HANDOFF 0d, 15 Sep 2026): built with entry-day votes -- every number in this file is contaminated and may not be quoted. Readers pass comment='#'.
slice,inside,trades,mean_R,sum_R,win_rate,R_per_year
A-chop,False,162231,-0.12056360018674718,-19559.153421896182,0.2938464288576166,-3911.8306843792366
A-chop,True,99581,-0.024189450420085586,-2408.809662282543,0.32167783010815315,-481.7619324565086
A-trend,False,866066,-0.036920603900521404,-31975.67973770897,0.29093394729731914,-6395.135947541794
A-trend,True,214276,-0.049339618506115214,-10572.296095016343,0.2891737758778398,-2114.4592190032686
B-chop,False,154845,-0.06957122031536069,-10772.755609732025,0.26879137201717845,-2154.551121946405
B-chop,True,102621,-0.004526082429802315,-464.4711050287434,0.28971652975511836,-92.89422100574868
B-trend,False,1075968,-0.024998262446225987,-26897.330447740882,0.2711316693433262,-5379.466089548177
B-trend,True,273846,-0.030195927858208203,-8269.034060258884,0.2739788056060706,-1653.806812051777
A-chop,neither,48762,-0.03967431140139719,-1934.5987725549298,0.3178294573643411,-386.91975451098597
A-chop,ranging,99581,-0.024189450420085586,-2408.809662282543,0.32167783010815315,-481.7619324565086
A-chop,trend-in-range,50271,-0.20499051163490825,-10305.078010398473,0.26804718426130375,-2061.0156020796944
A-chop,trending,56718,-0.12265004858961902,-6956.465455906012,0.2937339116329913,-1391.2930911812023
A-trend,neither,182086,-0.022171213733827307,-4037.067623937679,0.2980459782740024,-807.4135247875358
A-trend,ranging,453292,-0.01758676298386651,-7971.938966482819,0.3012826169444861,-1594.3877932965638
A-trend,trend-in-range,198932,-0.09336457134665252,-18573.20090713228,0.2593700359921983,-3714.640181426456
A-trend,trending,214276,-0.049339618506115214,-10572.296095016343,0.2891737758778398,-2114.4592190032686
B-chop,neither,46797,-0.03277382123951339,-1533.716512545508,0.2795692031540483,-306.7433025091016
B-chop,ranging,102621,-0.004526082429802315,-464.4711050287434,0.28971652975511836,-92.89422100574868
B-chop,trend-in-range,48424,-0.10934471569630602,-5294.9085128779225,0.2535519577069222,-1058.9817025755844
B-chop,trending,52725,-0.06894351339568325,-3635.0467437873995,0.272375533428165,-727.0093487574799
B-trend,neither,223954,-0.028426004185556616,-6366.117341372146,0.27202461219714763,-1273.2234682744293
B-trend,ranging,558120,-0.0038907540260226265,-2171.507637003748,0.28459291908550133,-434.30152740074965
B-trend,trend-in-range,252960,-0.07300009722392667,-18466.10459376449,0.23581198608475648,-3693.220918752898
B-trend,trending,273846,-0.030195927858208203,-8269.034060258884,0.2739788056060706,-1653.806812051777
