window,state,pair_bars,agreement,expected,kappa,coverage,share_of_bars,disagreeing_bars,disagreement_runs,median_run,share_of_bars_in_runs_ge5,share_of_bars_in_runs_ge20,episodes,episodes_untouched,episodes_partly_relabelled,episodes_fully_relabelled,share_fully_relabelled,shipped_window
90,ALL,168692,0.8121250563156522,0.2672884394682216,0.7435894916848395,0.9813925081433225,,31693,3541,7.0,0.9286593254030858,0.2502445334932004,5637,2180,2569,888,0.15753060138371475,106
90,trending,48516,0.8590568060021436,,,,0.2876010717757807,31693,3541,7.0,0.9286593254030858,0.2502445334932004,5637,2180,2569,888,0.15753060138371475,106
90,ranging,56227,0.8612410407811194,,,,0.33331159746757405,31693,3541,7.0,0.9286593254030858,0.2502445334932004,5637,2180,2569,888,0.15753060138371475,106
90,trend-in-range,30827,0.7317611185000162,,,,0.18274132738956203,31693,3541,7.0,0.9286593254030858,0.2502445334932004,5637,2180,2569,888,0.15753060138371475,106
90,neither,33122,0.7347986232715416,,,,0.19634600336708322,31693,3541,7.0,0.9286593254030858,0.2502445334932004,5637,2180,2569,888,0.15753060138371475,106
106,ALL,168712,1.0,0.2657591403182313,1.0,0.9813401582131224,,0,0,,,,5637,5637,0,0,0.0,106
106,trending,48532,1.0,,,,0.28766181421594195,0,0,,,,5637,5637,0,0,0.0,106
106,ranging,56228,1.0,,,,0.333278012233866,0,0,,,,5637,5637,0,0,0.0,106
106,trend-in-range,30830,1.0,,,,0.18273744606192802,0,0,,,,5637,5637,0,0,0.0,106
106,neither,33122,1.0,,,,0.19632272748826401,0,0,,,,5637,5637,0,0,0.0,106
120,ALL,168634,0.8352882574095378,0.26435193764131415,0.7760998077499831,0.9809329920893439,,27776,3340,7.0,0.9178427419354839,0.1927923387096774,5637,2328,2495,814,0.1444030512684052,106
120,trending,48523,0.8509778867753437,,,,0.28774149934176974,27776,3340,7.0,0.9178427419354839,0.1927923387096774,5637,2328,2495,814,0.1444030512684052,106
120,ranging,56187,0.864239058857031,,,,0.3331890366118339,27776,3340,7.0,0.9178427419354839,0.1927923387096774,5637,2328,2495,814,0.1444030512684052,106
120,trend-in-range,30808,0.7935276551545053,,,,0.18269150942277357,27776,3340,7.0,0.9178427419354839,0.1927923387096774,5637,2328,2495,814,0.1444030512684052,106
120,neither,33116,0.8020292305834038,,,,0.19637795462362276,27776,3340,7.0,0.9178427419354839,0.1927923387096774,5637,2328,2495,814,0.1444030512684052,106
