L,churn,duration,separation,lag21,lag63
4,470.4408400914951,2.0,0.023505380445644763,5.0,7.0
5,426.47119983364524,2.0,0.02796647494216084,5.0,7.0
6,391.6510709087128,2.0,0.021320777816401154,5.0,8.0
7,361.87876897483886,2.0,0.030074727192860445,5.0,8.0
8,339.39488459139113,2.0,0.027958126581631326,5.0,9.0
9,319.04761904761904,2.0,0.025205313422699216,5.0,9.0
10,302.0898315658141,2.0,0.030916827926918494,5.0,9.0
11,286.0885839051778,3.0,0.021285125935146892,5.0,10.0
12,270.9970887918486,3.0,0.023939351903758344,5.0,10.0
13,259.7785402370555,3.0,0.031046490364292023,5.0,10.0
14,248.40403410272407,3.0,0.020952818054554984,5.0,11.0
15,240.49698482012892,3.0,0.02160224097901131,5.0,11.0
16,230.82241630276565,3.0,0.024410902374317228,5.0,11.0
17,223.72634643377,3.0,0.031235743015106454,5.0,11.0
18,215.7413183614057,3.0,0.02893449454949376,5.0,11.0
19,207.95903514244125,4.0,0.03182269577070365,4.0,11.0
20,201.6531503431067,4.0,0.030717064109883035,4.0,12.0
21,196.9276356830942,4.0,0.027403704003920698,3.0,12.0
22,192.9143273029736,4.0,0.023453615625461832,5.0,12.0
23,188.485132044084,4.0,0.023790161489260664,6.0,12.0
24,183.59846121854855,4.0,0.02447393981157278,6.0,12.0
25,178.68579746309004,4.0,0.020095697543571572,7.0,12.0
26,175.62902890413807,4.0,0.0230359014865765,8.0,12.0
27,172.34352256186318,4.0,0.024047324087380223,8.0,12.0
28,168.4653774173425,4.0,0.014286445393462327,9.0,12.0
29,163.82823871906842,4.0,0.016579450515349092,9.0,12.0
30,161.23934289873154,5.0,0.019407990385463897,10.0,12.0
31,159.50301517987108,5.0,0.020228597803423565,11.0,12.0
32,156.23830318153463,5.0,0.01934952129550685,12.0,12.0
33,155.0374298190892,5.0,0.0199934476717962,12.0,12.0
34,152.50051985859847,5.0,0.022277458227862035,13.0,12.0
35,149.76606363069246,5.0,0.021814473092999,13.0,13.0
36,148.55479309627782,5.0,0.023364848451790293,14.0,13.0
37,147.06799750467871,5.0,0.019721840733557094,14.0,13.0
38,145.66437928883343,5.0,0.01708810747595907,15.0,13.0
39,144.25556248700354,5.0,0.017700436296789662,15.0,13.0
40,143.86046995217302,5.0,0.01931256957103908,16.0,13.0
41,143.82407985028073,5.0,0.023308160960517216,16.0,13.0
42,143.7720939904346,5.0,0.02350817741850117,16.0,13.0
43,143.8968600540653,5.0,0.020183407322957342,17.0,13.0
44,142.95591599085049,5.0,0.031196285070100416,17.0,13.0
45,142.97671033478895,5.0,0.025147398744418265,17.0,13.0
46,142.4880432522354,5.0,0.019792306007661603,18.0,13.0
47,142.03576627157412,5.0,0.016157742342771425,18.0,13.0
48,142.98190892077355,5.0,0.014971531452588782,19.0,13.0
49,143.15346225826576,5.0,0.015689525774107038,19.0,13.0
50,143.3925972135579,5.0,0.02597081656701042,19.0,13.0
51,143.096277812435,5.0,0.022980021996862776,20.0,12.0
52,144.30234976086504,5.0,0.022856319990691987,21.0,12.0
53,143.4705760033271,5.0,0.018637415978242727,21.0,12.0
54,144.69224370971097,5.0,0.016670939910398225,22.0,12.0
55,144.84820128924932,5.0,0.015869660627742782,23.0,12.0
56,143.70971095861927,5.0,0.015545546462655685,24.0,12.0
57,140.36702017051363,5.0,0.017383445178647206,26.0,13.0
58,134.65377417342484,5.0,0.017703032912116806,28.0,14.0
59,123.2896652110626,5.0,0.01691062688050457,31.0,15.0
60,92.67519234768143,8.0,0.01901558371457862,44.0,27.0
61,121.456647879708,5.0,0.017275486398659945,38.0,17.0
62,129.15487977369165,5.0,0.019657443496101518,37.0,13.0
63,130.8015560964447,5.0,0.02006058051047674,36.0,11.0
64,130.02996129998752,5.0,0.01633711308712746,37.0,13.0
65,127.74425137862866,5.0,0.015955575756519652,37.0,14.0
66,125.14048451548452,6.0,0.025682658502663575,38.0,15.0
67,122.34861888803314,6.0,0.026190217661136023,39.0,17.0
68,119.75371611774993,6.0,0.022744960347109183,40.0,18.0
69,117.40791638036937,6.0,0.02076588728287329,41.0,20.0
70,113.96813827571845,6.0,0.022012931319060514,42.0,21.0
71,112.16753795846958,6.0,0.022556467030739935,43.0,22.0
72,109.02283047952339,7.0,0.023292687750014085,45.0,24.0
73,106.69493114439884,7.0,0.02293934700587516,46.0,25.0
74,104.87685447574596,7.0,0.02729235119238177,47.0,27.0
75,102.24028342190267,7.0,0.026533848548762062,49.0,29.0
76,101.07757722289382,7.0,0.02353398079631261,50.0,30.0
77,98.8253319713994,7.0,0.02697072780470114,51.0,32.0
78,96.86952714535902,7.0,0.029773977219149678,53.0,33.0
79,95.01741143107367,8.0,0.026969566236558246,54.0,35.0
80,93.60271115745569,8.0,0.03283549232674293,55.0,36.0
81,91.98423127463863,8.0,0.03266374948127998,56.0,37.0
